Regija,YearMonth,SO2,PM10,NO2
Koroška,2003-04,10.0,,
Osrednjeslovenska,2003-04,7.5,39.0,15.5
Pomurska,2003-04,5.0,43.0,11.0
Posavska,2003-04,21.0,33.0,
Podravska,2003-04,7.0,47.5,34.0
Koroška,2003-05,12.0,,
Goriška,2003-05,7.0,37.0,24.0
Zasavska,2003-05,35.5,46.5,33.0
Savinjska,2003-05,16.75,35.5,10.333333333333334
Pomurska,2003-05,6.0,34.0,12.0
Podravska,2003-05,6.0,46.5,36.0
Osrednjeslovenska,2003-05,6.0,41.0,14.5
Posavska,2003-05,52.5,33.0,
Podravska,2003-06,8.0,45.5,36.0
Posavska,2003-06,33.5,27.0,
Pomurska,2003-06,5.0,36.0,12.0
Osrednjeslovenska,2003-06,9.0,44.0,12.5
Koroška,2003-06,11.0,,
Savinjska,2003-06,17.0,33.0,9.666666666666666
Goriška,2003-06,8.0,36.0,20.0
Zasavska,2003-06,36.857142857142854,45.5,15.5
Zasavska,2003-07,29.285714285714285,35.5,15.5
Goriška,2003-07,6.0,33.0,17.0
Koroška,2003-07,18.0,,
Savinjska,2003-07,19.25,28.0,8.0
Pomurska,2003-07,4.0,30.0,12.0
Podravska,2003-07,6.0,35.5,29.0
Osrednjeslovenska,2003-07,8.0,34.0,11.5
Posavska,2003-07,36.0,25.0,
Osrednjeslovenska,2003-08,5.0,45.0,14.0
Posavska,2003-08,57.5,29.0,
Pomurska,2003-08,6.0,37.0,13.0
Podravska,2003-08,5.0,40.5,28.0
Goriška,2003-08,10.0,40.0,19.0
Zasavska,2003-08,6.857142857142857,43.5,32.0
Koroška,2003-08,15.0,,
Savinjska,2003-08,19.0,36.0,9.666666666666666
Savinjska,2003-09,14.125,32.5,12.333333333333334
Koroška,2003-09,8.0,,
Zasavska,2003-09,30.714285714285715,41.5,16.5
Goriška,2003-09,8.0,33.0,26.0
Pomurska,2003-09,4.0,37.0,13.0
Podravska,2003-09,10.0,41.0,32.0
Posavska,2003-09,32.0,26.0,
Osrednjeslovenska,2003-09,7.5,38.0,18.5
Osrednjeslovenska,2003-10,13.0,36.0,17.0
Posavska,2003-10,17.0,25.0,
Podravska,2003-10,9.0,40.5,34.0
Pomurska,2003-10,5.0,31.0,11.0
Koroška,2003-10,9.0,,
Savinjska,2003-10,12.125,30.5,11.0
Goriška,2003-10,5.0,29.0,29.0
Zasavska,2003-10,26.857142857142858,39.0,15.5
Osrednjeslovenska,2003-11,11.0,43.0,18.0
Zasavska,2003-11,24.857142857142858,43.0,14.0
Savinjska,2003-11,15.285714285714286,35.5,12.666666666666666
