Regija,YearMonth,SO2,PM10,NO2
Obalno-kraška,2007-10,,32.0,
Zasavska,2007-10,6.428571428571429,38.333333333333336,17.0
Goriška,2007-10,5.0,27.0,28.0
Posavska,2007-10,5.0,24.0,
Savinjska,2007-10,3.75,31.0,8.5
Podravska,2007-10,4.0,43.0,34.0
Zasavska,2007-11,9.0,51.333333333333336,21.0
Podravska,2007-11,4.0,46.0,44.0
Jugovzhodna Slovenija,2007-11,,12.0,
Goriška,2007-11,9.0,29.5,33.0
Osrednjeslovenska,2007-11,6.0,31.5,21.5
Obalno-kraška,2007-11,,19.0,
Koroška,2007-11,4.0,,
Pomurska,2007-11,6.0,32.0,22.0
Savinjska,2007-11,5.5,36.5,10.25
Posavska,2007-11,5.0,22.0,
Obalno-kraška,2007-12,,29.0,
Posavska,2007-12,8.0,39.0,
Savinjska,2007-12,8.125,49.5,16.25
Koroška,2007-12,10.0,,
Pomurska,2007-12,8.0,47.0,25.0
Goriška,2007-12,13.0,32.5,34.0
Osrednjeslovenska,2007-12,5.5,49.5,22.0
Podravska,2007-12,4.0,53.0,44.0
Jugovzhodna Slovenija,2007-12,,15.0,
Zasavska,2007-12,10.714285714285714,60.333333333333336,19.0
Koroška,2008-01,6.0,,
Goriška,2008-01,11.0,32.0,33.0
Posavska,2008-01,8.0,27.0,
Osrednjeslovenska,2008-01,5.0,54.0,23.0
Savinjska,2008-01,6.285714285714286,42.0,15.75
Zasavska,2008-01,11.0,57.333333333333336,23.5
Podravska,2008-01,5.0,50.0,42.0
Pomurska,2008-01,11.0,53.0,26.0
Jugovzhodna Slovenija,2008-01,,13.0,
Obalno-kraška,2008-01,,28.0,34.0
Obalno-kraška,2008-02,,41.0,39.0
Jugovzhodna Slovenija,2008-02,,17.0,
Pomurska,2008-02,8.0,43.0,24.0
Podravska,2008-02,3.0,50.5,48.0
Goriška,2008-02,10.0,60.666666666666664,41.0
Posavska,2008-02,7.0,33.0,
Koroška,2008-02,7.0,,
Osrednjeslovenska,2008-02,5.5,48.0,21.0
Zasavska,2008-02,11.428571428571429,55.333333333333336,22.0
Savinjska,2008-02,6.142857142857143,40.0,16.0
Savinjska,2008-03,5.142857142857143,21.5,10.0
Zasavska,2008-03,10.428571428571429,33.333333333333336,18.0
Osrednjeslovenska,2008-03,4.0,24.0,16.0
Koroška,2008-03,5.0,,
Posavska,2008-03,7.0,16.0,
Pomurska,2008-03,6.0,23.0,17.0
Podravska,2008-03,2.0,31.0,38.0
Goriška,2008-03,9.0,22.666666666666668,28.0
Jugovzhodna Slovenija,2008-03,,11.0,
Obalno-kraška,2008-03,,22.0,23.0
Obalno-kraška,2008-04,,18.0,20.0
Jugovzhodna Slovenija,2008-04,,13.0,
Goriška,2008-04,7.0,21.333333333333332,29.0
Posavska,2008-04,7.0,17.0,
Savinjska,2008-04,5.0,20.0,8.25
Zasavska,2008-04,6.571428571428571,26.0,16.0
Pomurska,2008-04,5.0,21.0,15.0
Podravska,2008-04,2.0,29.0,34.0
Koroška,2008-04,6.0,,
Osrednjeslovenska,2008-04,2.0,20.0,15.0
Podravska,2008-05,2.0,32.0,27.0
Koroška,2008-05,6.0,,
Pomurska,2008-05,7.0,24.0,11.0
Goriška,2008-05,7.0,23.666666666666668,24.0
Jugovzhodna Slovenija,2008-05,,17.0,
Obalno-kraška,2008-05,,24.0,16.0
Savinjska,2008-05,3.7142857142857144,25.0,6.5
Posavska,2008-05,9.0,24.0,
Zasavska,2008-05,2.857142857142857,26.666666666666668,13.0
Osrednjeslovenska,2008-05,1.5,24.5,11.5
Podravska,2008-06,1.0,29.0,28.0
Koroška,2008-06,3.0,,
Zasavska,2008-06,4.285714285714286,26.0,14.0
Posavska,2008-06,9.0,17.0,
Obalno-kraška,2008-06,,21.0,14.0
Pomurska,2008-06,8.0,22.0,10.0
Goriška,2008-06,9.0,21.0,24.0
Jugovzhodna Slovenija,2008-06,,15.0,
Osrednjeslovenska,2008-06,1.5,23.5,9.0
Savinjska,2008-06,3.142857142857143,19.5,6.0
Zasavska,2008-07,6.428571428571429,26.0,15.0
Jugovzhodna Slovenija,2008-07,,17.0,
Podravska,2008-07,1.0,27.0,26.0
Osrednjeslovenska,2008-07,1.0,21.0,11.5
Koroška,2008-07,3.0,,
Savinjska,2008-07,3.857142857142857,18.0,7.75
Goriška,2008-07,9.0,20.666666666666668,20.0
Obalno-kraška,2008-07,,0.0,14.0
Pomurska,2008-07,5.0,21.0,11.0
Posavska,2008-07,11.0,17.0,
Obalno-kraška,2008-08,,0.0,14.0
Goriška,2008-08,8.0,20.0,22.0
Osrednjeslovenska,2008-08,1.5,24.0,13.0
Koroška,2008-08,3.0,,
Savinjska,2008-08,4.142857142857143,19.0,6.25
Podravska,2008-08,1.0,26.0,25.0
Posavska,2008-08,3.0,16.0,
Zasavska,2008-08,6.285714285714286,26.0,14.5
Jugovzhodna Slovenija,2008-08,,17.0,
Pomurska,2008-08,4.0,19.0,10.0
Podravska,2008-09,1.0,30.0,28.0
Obalno-kraška,2008-09,,16.0,13.0
Koroška,2008-09,3.0,,
Osrednjeslovenska,2008-09,2.0,24.0,15.0
Posavska,2008-09,3.0,19.0,
Savinjska,2008-09,5.0,24.0,6.75
Pomurska,2008-09,4.0,25.0,10.0
Zasavska,2008-09,7.0,32.333333333333336,13.5
Jugovzhodna Slovenija,2008-09,,23.0,
Goriška,2008-09,8.0,19.0,25.0
Pomurska,2008-10,4.0,36.0,15.0
Jugovzhodna Slovenija,2008-10,,22.0,
Zasavska,2008-10,8.142857142857142,49.0,19.0
Goriška,2008-10,9.0,28.333333333333332,35.0
Podravska,2008-10,2.0,38.5,34.0
Posavska,2008-10,3.0,23.0,
Savinjska,2008-10,4.0,29.5,6.5
Obalno-kraška,2008-10,,31.0,19.0
Osrednjeslovenska,2008-10,2.0,37.0,21.5
Koroška,2008-10,4.0,,
Obalno-kraška,2008-11,,24.0,23.0
Podravska,2008-11,3.0,36.0,35.0
Savinjska,2008-11,4.0,28.0,6.5
Osrednjeslovenska,2008-11,4.0,37.0,24.5
Koroška,2008-11,3.0,,
Posavska,2008-11,2.0,18.0,
Jugovzhodna Slovenija,2008-11,,15.0,
Goriška,2008-11,0.0,25.666666666666668,37.0
Pomurska,2008-11,6.0,35.0,23.0
Zasavska,2008-11,6.571428571428571,49.333333333333336,23.0
Zasavska,2008-12,5.857142857142857,33.333333333333336,18.5
Podravska,2008-12,2.0,31.5,38.0
Jugovzhodna Slovenija,2008-12,,14.0,
Goriška,2008-12,6.0,23.0,39.0
Osrednjeslovenska,2008-12,1.0,27.0,21.5
Posavska,2008-12,3.0,16.0,
Savinjska,2008-12,4.142857142857143,25.0,13.5
Pomurska,2008-12,8.0,32.0,22.0
Koroška,2008-12,3.0,,
Obalno-kraška,2008-12,,21.0,24.0
Obalno-kraška,2009-01,,25.0,23.0
Osrednjeslovenska,2009-01,10.0,57.0,43.0
Jugovzhodna Slovenija,2009-01,,32.0,
Zasavska,2009-01,10.571428571428571,63.333333333333336,20.5
Goriška,2009-01,8.0,29.333333333333332,42.0
Pomurska,2009-01,,56.0,25.0
Savinjska,2009-01,4.857142857142857,55.0,16.333333333333332
Koroška,2009-01,5.0,,
Posavska,2009-01,9.0,41.0,11.0
Podravska,2009-01,13.0,61.5,46.0
Osrednjeslovenska,2009-02,6.5,48.75,43.666666666666664
Savinjska,2009-02,3.857142857142857,31.5,15.666666666666666
Pomurska,2009-02,,29.0,17.0
Goriška,2009-02,4.0,34.0,43.0
Podravska,2009-02,11.0,34.5,42.0
Jugovzhodna Slovenija,2009-02,,16.0,
Koroška,2009-02,5.0,,
Obalno-kraška,2009-02,,26.0,26.0
Zasavska,2009-02,6.428571428571429,44.333333333333336,14.5
Posavska,2009-02,7.5,22.0,3.0
Osrednjeslovenska,2009-03,4.5,27.75,34.0
Savinjska,2009-03,3.2857142857142856,24.5,14.0
Obalno-kraška,2009-03,,27.0,19.0
Koroška,2009-03,4.0,,
Posavska,2009-03,10.0,22.0,7.0
Zasavska,2009-03,6.142857142857143,36.0,16.0
Jugovzhodna Slovenija,2009-03,,13.0,
Podravska,2009-03,4.0,29.5,38.0
Goriška,2009-03,4.0,26.333333333333332,31.0
Pomurska,2009-03,,23.0,14.0
Savinjska,2009-04,3.2857142857142856,28.5,12.0
Obalno-kraška,2009-04,,25.0,16.0
Podravska,2009-04,4.0,33.5,31.0
Goriška,2009-04,5.0,23.0,21.0
Pomurska,2009-04,,32.0,13.0
Osrednjeslovenska,2009-04,5.0,30.5,32.0
Koroška,2009-04,4.0,,
Jugovzhodna Slovenija,2009-04,,20.0,
Posavska,2009-04,5.0,24.0,6.0
Zasavska,2009-04,5.714285714285714,32.666666666666664,16.5
Jugovzhodna Slovenija,2009-05,,16.0,
Podravska,2009-05,3.0,26.5,24.0
Obalno-kraška,2009-05,,27.0,14.0
Posavska,2009-05,6.5,22.0,5.0
Zasavska,2009-05,3.3333333333333335,28.333333333333332,11.5
Osrednjeslovenska,2009-05,4.5,31.5,23.0
Koroška,2009-05,3.0,,
Savinjska,2009-05,3.142857142857143,24.0,8.333333333333334
Pomurska,2009-05,,22.0,9.0
Goriška,2009-05,6.0,23.666666666666668,16.0
Jugovzhodna Slovenija,2009-06,,11.0,
Koroška,2009-06,4.0,,
Osrednjeslovenska,2009-06,3.5,21.0,25.0
Pomurska,2009-06,,18.0,9.0
Goriška,2009-06,2.0,15.0,17.0
Zasavska,2009-06,5.166666666666667,21.666666666666668,10.5
Obalno-kraška,2009-06,,18.0,13.0
Posavska,2009-06,6.5,12.0,6.0
Podravska,2009-06,2.0,19.5,31.0
Savinjska,2009-06,3.5714285714285716,14.5,6.0
Obalno-kraška,2009-07,,21.0,17.0
Podravska,2009-07,3.0,20.5,25.0
Koroška,2009-07,3.0,,
Savinjska,2009-07,5.571428571428571,18.5,6.333333333333333
Goriška,2009-07,1.0,16.666666666666668,19.0
Jugovzhodna Slovenija,2009-07,,14.0,
Pomurska,2009-07,,21.0,9.0
Osrednjeslovenska,2009-07,4.0,23.0,21.666666666666668
Zasavska,2009-07,4.666666666666667,22.0,9.0
Posavska,2009-07,6.0,15.0,7.0
Pomurska,2009-08,,22.0,9.0
Koroška,2009-08,1.0,,
Osrednjeslovenska,2009-08,4.0,25.25,22.0
Podravska,2009-08,2.0,22.0,23.0
Savinjska,2009-08,3.0,20.0,6.666666666666667
Zasavska,2009-08,4.666666666666667,25.333333333333332,9.0
Jugovzhodna Slovenija,2009-08,,12.0,
Goriška,2009-08,6.0,17.333333333333332,21.0
Obalno-kraška,2009-08,,21.0,15.0
Posavska,2009-08,7.0,20.0,6.0
Jugovzhodna Slovenija,2009-09,,17.0,
Osrednjeslovenska,2009-09,4.0,30.5,28.0
Koroška,2009-09,1.0,,
Pomurska,2009-09,,28.0,11.0
Goriška,2009-09,3.0,23.333333333333332,25.0
Podravska,2009-09,2.0,30.0,29.0
Savinjska,2009-09,4.428571428571429,27.0,9.0
Obalno-kraška,2009-09,,27.0,17.0
Posavska,2009-09,10.0,27.0,5.0
Zasavska,2009-09,5.833333333333333,29.333333333333332,9.0
Koroška,2009-10,2.0,,
Obalno-kraška,2009-10,,22.0,15.0
Savinjska,2009-10,4.428571428571429,24.5,12.666666666666666
Posavska,2009-10,8.5,21.0,4.0
Pomurska,2009-10,,26.0,15.0
Zasavska,2009-10,5.166666666666667,29.666666666666668,11.0
Osrednjeslovenska,2009-10,3.0,26.0,27.666666666666668
Goriška,2009-10,5.0,18.666666666666668,28.0
Podravska,2009-10,4.0,25.5,32.0
Jugovzhodna Slovenija,2009-10,,13.0,
Obalno-kraška,2009-11,,24.0,24.0
Savinjska,2009-11,6.142857142857143,29.0,14.333333333333334
Jugovzhodna Slovenija,2009-11,,11.0,
Goriška,2009-11,2.0,32.666666666666664,34.0
Posavska,2009-11,10.0,22.0,8.0
Koroška,2009-11,1.0,,
Pomurska,2009-11,,33.0,19.0
Podravska,2009-11,9.0,32.0,36.0
Zasavska,2009-11,6.5,32.333333333333336,13.0
Osrednjeslovenska,2009-11,2.0,30.75,30.666666666666668
Zasavska,2009-12,7.333333333333333,36.0,13.0
Koroška,2009-12,,,
Pomurska,2009-12,,38.0,22.0
Jugovzhodna Slovenija,2009-12,,12.0,
Obalno-kraška,2009-12,,23.0,26.0
Goriška,2009-12,5.0,22.666666666666668,35.0
Osrednjeslovenska,2009-12,4.0,32.75,34.666666666666664
Podravska,2009-12,8.0,30.0,34.0
Savinjska,2009-12,6.428571428571429,29.0,19.666666666666668
Posavska,2009-12,12.0,18.0,11.0
Savinjska,2010-01,6.0,65.5,21.0
Podravska,2010-01,,52.0,43.0
Pomurska,2010-01,,57.0,
Goriška,2010-01,,29.333333333333332,37.0
Jugovzhodna Slovenija,2010-01,3.9,40.5,3.6
Gorenjska,2010-01,,60.0,
Obalno-kraška,2010-01,,32.0,26.0
Posavska,2010-01,8.5,63.0,4.0
Osrednjeslovenska,2010-01,5.333333333333333,96.75,47.666666666666664
Koroška,2010-01,2.0,64.0,
Zasavska,2010-01,10.142857142857142,61.25,18.0
Savinjska,2010-02,6.285714285714286,60.0,20.333333333333332
Obalno-kraška,2010-02,,29.0,26.0
Posavska,2010-02,12.0,71.0,3.0
Jugovzhodna Slovenija,2010-02,2.5,34.5,2.7
Gorenjska,2010-02,,53.0,
Koroška,2010-02,2.0,44.0,
Osrednjeslovenska,2010-02,5.333333333333333,66.75,56.0
Podravska,2010-02,,47.5,49.0
Zasavska,2010-02,9.428571428571429,53.25,19.25
Pomurska,2010-02,,55.0,
Goriška,2010-02,,29.0,40.0
Gorenjska,2010-03,,32.0,
Jugovzhodna Slovenija,2010-03,1.0,25.0,1.9
Obalno-kraška,2010-03,,38.0,25.0
Koroška,2010-03,3.0,25.0,
Osrednjeslovenska,2010-03,4.333333333333333,40.25,38.0
Podravska,2010-03,,31.5,38.0
Goriška,2010-03,,34.333333333333336,32.0
Pomurska,2010-03,,31.0,
Zasavska,2010-03,7.571428571428571,41.75,19.75
Posavska,2010-03,12.0,43.0,3.0
Savinjska,2010-03,4.428571428571429,40.0,13.333333333333334
Savinjska,2010-04,4.142857142857143,34.5,9.666666666666666
Obalno-kraška,2010-04,,22.0,18.0
Zasavska,2010-04,6.428571428571429,31.75,20.75
Posavska,2010-04,9.5,41.0,2.0
Goriška,2010-04,,20.666666666666668,25.0
Osrednjeslovenska,2010-04,3.6666666666666665,34.25,34.0
Jugovzhodna Slovenija,2010-04,0.6,18.5,1.5
Pomurska,2010-04,,21.0,
Podravska,2010-04,,30.0,29.0
Koroška,2010-04,1.0,19.0,
Gorenjska,2010-04,,31.0,
Gorenjska,2010-05,,17.0,
Osrednjeslovenska,2010-05,2.6666666666666665,23.25,26.333333333333332
Obalno-kraška,2010-05,,18.0,13.0
Zasavska,2010-05,5.428571428571429,23.0,11.5
Goriška,2010-05,,16.0,24.0
Pomurska,2010-05,,16.0,
Jugovzhodna Slovenija,2010-05,0.6,13.5,1.2
Posavska,2010-05,13.0,68.0,1.0
Podravska,2010-05,,22.0,27.0
Koroška,2010-05,3.0,15.0,
Savinjska,2010-05,4.714285714285714,25.5,6.666666666666667
Koroška,2010-06,1.0,17.0,
Podravska,2010-06,,22.5,26.0
Goriška,2010-06,,15.5,21.0
Osrednjeslovenska,2010-06,3.0,28.5,24.333333333333332
Jugovzhodna Slovenija,2010-06,1.3,14.5,1.3
Pomurska,2010-06,,20.0,
Gorenjska,2010-06,,18.0,
Zasavska,2010-06,4.142857142857143,28.25,8.75
Obalno-kraška,2010-06,,21.0,16.0
Posavska,2010-06,9.5,31.0,2.0
Savinjska,2010-06,4.857142857142857,39.0,8.0
Pomurska,2010-07,,21.0,
Osrednjeslovenska,2010-07,2.3333333333333335,35.5,23.666666666666668
Jugovzhodna Slovenija,2010-07,0.8,17.5,1.4
Zasavska,2010-07,4.285714285714286,31.0,7.75
Gorenjska,2010-07,,21.0,
Savinjska,2010-07,4.428571428571429,30.0,8.333333333333334
Obalno-kraška,2010-07,,25.0,18.0
Posavska,2010-07,8.5,35.0,1.0
Koroška,2010-07,1.0,19.0,
Podravska,2010-07,,26.5,27.0
Goriška,2010-07,,19.333333333333332,22.0
Pomurska,2010-08,,17.0,
Posavska,2010-08,12.5,28.0,1.0
Jugovzhodna Slovenija,2010-08,1.1,14.5,1.4
Koroška,2010-08,1.0,14.0,
Obalno-kraška,2010-08,,20.0,19.0
Zasavska,2010-08,6.0,23.75,9.0
Gorenjska,2010-08,,14.0,
Savinjska,2010-08,6.142857142857143,25.5,7.0
Osrednjeslovenska,2010-08,2.6666666666666665,28.0,23.333333333333332
Goriška,2010-08,,16.333333333333332,19.0
Podravska,2010-08,,21.5,27.0
Pomurska,2010-09,,18.0,
Osrednjeslovenska,2010-09,2.3333333333333335,31.0,25.333333333333332
Goriška,2010-09,,12.333333333333334,23.0
Zasavska,2010-09,7.714285714285714,25.75,11.0
Obalno-kraška,2010-09,,20.0,22.0
Jugovzhodna Slovenija,2010-09,0.9,14.5,1.3
Koroška,2010-09,1.0,13.0,
Gorenjska,2010-09,,18.0,
Posavska,2010-09,10.0,39.0,3.0
Podravska,2010-09,,22.5,29.0
Savinjska,2010-09,3.4285714285714284,33.0,10.666666666666666
Obalno-kraška,2010-10,,29.0,20.0
Gorenjska,2010-10,,30.0,
Jugovzhodna Slovenija,2010-10,0.9,26.0,1.5
Osrednjeslovenska,2010-10,2.6666666666666665,39.5,29.0
Goriška,2010-10,,19.666666666666668,27.0
Posavska,2010-10,9.5,44.0,4.0
Podravska,2010-10,,35.5,33.0
Koroška,2010-10,1.0,26.0,
Pomurska,2010-10,,32.0,
Savinjska,2010-10,3.857142857142857,44.0,17.0
Zasavska,2010-10,5.714285714285714,40.0,13.75
Jugovzhodna Slovenija,2010-11,0.6,21.5,3.1
Posavska,2010-11,8.5,40.0,3.0
Pomurska,2010-11,,32.0,
Koroška,2010-11,1.0,31.0,
Savinjska,2010-11,4.428571428571429,35.0,14.333333333333334
Podravska,2010-11,,27.0,36.0
Gorenjska,2010-11,,27.0,
Zasavska,2010-11,5.142857142857143,36.75,17.0
Obalno-kraška,2010-11,,24.0,26.0
Osrednjeslovenska,2010-11,2.3333333333333335,35.5,30.666666666666668
Goriška,2010-11,,25.333333333333332,34.0
Goriška,2010-12,,28.0,43.0
Zasavska,2010-12,7.285714285714286,63.25,21.5
Savinjska,2010-12,5.142857142857143,72.0,20.333333333333332
Jugovzhodna Slovenija,2010-12,,36.0,
Pomurska,2010-12,,41.0,
Posavska,2010-12,11.0,70.0,3.0
Obalno-kraška,2010-12,,22.0,28.0
Osrednjeslovenska,2010-12,3.3333333333333335,67.5,48.333333333333336
Koroška,2010-12,3.0,27.0,
Gorenjska,2010-12,,44.0,
Podravska,2010-12,,35.5,47.0
Koroška,2011-01,5.0,64.0,
Gorenjska,2011-01,,43.0,
Pomurska,2011-01,,50.0,20.0
Zasavska,2011-01,6.628571428571428,44.75,15.333333333333334
Obalno-kraška,2011-01,,35.0,32.0
Posavska,2011-01,4.15,25.0,7.0
Goriška,2011-01,,32.0,35.0
Jugovzhodna Slovenija,2011-01,1.7,33.5,
Podravska,2011-01,3.7,43.0,31.5
Savinjska,2011-01,4.828571428571428,42.5,18.0
Osrednjeslovenska,2011-01,4.5,42.5,37.0
Podravska,2011-02,4.7,55.0,30.0
Koroška,2011-02,4.8,63.0,
Osrednjeslovenska,2011-02,5.566666666666666,53.5,36.333333333333336
Savinjska,2011-02,6.171428571428572,55.0,20.333333333333332
Goriška,2011-02,,38.0,39.0
Gorenjska,2011-02,,55.0,
Jugovzhodna Slovenija,2011-02,2.7,42.5,
Zasavska,2011-02,9.614285714285714,60.5,17.333333333333332
Posavska,2011-02,6.45,44.0,12.0
Obalno-kraška,2011-02,,44.0,35.0
Pomurska,2011-02,,67.0,22.0
Podravska,2011-03,4.4,40.0,31.0
Koroška,2011-03,5.3,45.0,
Posavska,2011-03,6.3,32.0,9.0
Obalno-kraška,2011-03,,33.0,25.0
Goriška,2011-03,,33.0,31.0
Savinjska,2011-03,5.285714285714286,39.5,18.333333333333332
Osrednjeslovenska,2011-03,5.0,37.75,34.0
Jugovzhodna Slovenija,2011-03,2.4,29.5,2.6
Gorenjska,2011-03,,39.0,
Pomurska,2011-03,,48.0,19.0
Zasavska,2011-03,7.471428571428571,44.25,14.333333333333334
Koroška,2011-04,0.7,30.0,
Posavska,2011-04,3.4,24.0,6.0
Pomurska,2011-04,,24.0,14.0
Goriška,2011-04,,21.0,27.0
Obalno-kraška,2011-04,,24.0,24.0
Savinjska,2011-04,3.3000000000000003,25.5,13.0
Jugovzhodna Slovenija,2011-04,0.6,18.5,2.6
Podravska,2011-04,2.0,24.0,24.5
Osrednjeslovenska,2011-04,3.0,29.25,30.0
Zasavska,2011-04,6.1000000000000005,28.75,9.666666666666666
Gorenjska,2011-04,,24.0,
Gorenjska,2011-05,,19.0,
Savinjska,2011-05,3.6142857142857143,18.0,10.0
Goriška,2011-05,,18.0,20.0
Posavska,2011-05,2.8000000000000003,19.0,5.0
Osrednjeslovenska,2011-05,2.9,27.5,27.0
Obalno-kraška,2011-05,,23.0,16.0
Pomurska,2011-05,,21.0,12.0
Jugovzhodna Slovenija,2011-05,0.6,19.5,2.1
Koroška,2011-05,1.8,23.0,
Zasavska,2011-05,5.914285714285714,25.0,9.666666666666666
Podravska,2011-05,2.3,23.0,19.0
Osrednjeslovenska,2011-06,2.066666666666667,22.0,25.0
Pomurska,2011-06,,15.0,8.0
Goriška,2011-06,,14.666666666666666,19.0
Obalno-kraška,2011-06,,18.0,14.0
Posavska,2011-06,2.75,14.0,6.0
Jugovzhodna Slovenija,2011-06,0.5,15.0,1.2
Podravska,2011-06,1.2,20.5,16.0
Zasavska,2011-06,5.985714285714286,20.5,10.666666666666666
Koroška,2011-06,0.8,19.0,
Savinjska,2011-06,3.685714285714286,14.0,9.0
Gorenjska,2011-06,,15.0,
Podravska,2011-07,1.6,17.5,16.0
Jugovzhodna Slovenija,2011-07,0.6,13.5,1.4
Osrednjeslovenska,2011-07,3.3333333333333335,21.5,21.666666666666668
Pomurska,2011-07,,14.0,10.0
Posavska,2011-07,3.15,14.0,5.0
Goriška,2011-07,,13.0,16.0
Obalno-kraška,2011-07,,18.0,13.0
Zasavska,2011-07,6.3999999999999995,19.0,8.666666666666666
Gorenjska,2011-07,,16.0,
Savinjska,2011-07,4.414285714285715,13.5,8.666666666666666
Koroška,2011-07,1.0,16.0,
Podravska,2011-08,2.3,20.5,15.5
Zasavska,2011-08,7.2,23.5,6.666666666666667
Koroška,2011-08,2.2,17.0,
Jugovzhodna Slovenija,2011-08,0.6,15.5,1.0
Pomurska,2011-08,,18.0,12.0
Obalno-kraška,2011-08,,23.0,16.0
Osrednjeslovenska,2011-08,1.8999999999999997,20.0,24.666666666666668
Goriška,2011-08,,16.666666666666668,19.0
Posavska,2011-08,2.95,16.0,3.0
Savinjska,2011-08,5.457142857142857,17.0,9.0
Gorenjska,2011-08,,19.0,
Gorenjska,2011-09,,21.0,
Koroška,2011-09,1.1,18.0,
Podravska,2011-09,3.3,21.0,17.0
Jugovzhodna Slovenija,2011-09,0.6,18.0,1.5
Obalno-kraška,2011-09,,23.0,16.0
Osrednjeslovenska,2011-09,2.8666666666666667,24.5,30.333333333333332
Pomurska,2011-09,,20.0,12.0
Zasavska,2011-09,8.27142857142857,24.25,7.333333333333333
Savinjska,2011-09,5.328571428571428,19.0,12.666666666666666
Posavska,2011-09,3.85,17.0,6.0
Goriška,2011-09,,18.333333333333332,28.0
Posavska,2011-10,3.85,17.0,8.0
Zasavska,2011-10,6.8428571428571425,29.75,10.0
Koroška,2011-10,0.8,26.0,
Gorenjska,2011-10,,24.0,
Savinjska,2011-10,3.685714285714286,25.5,12.333333333333334
Goriška,2011-10,,16.333333333333332,28.0
Pomurska,2011-10,,29.0,17.0
Osrednjeslovenska,2011-10,2.5,26.25,31.333333333333332
Obalno-kraška,2011-10,,18.0,16.0
Jugovzhodna Slovenija,2011-10,0.4,20.0,1.9
Podravska,2011-10,3.2,25.0,20.5
Obalno-kraška,2011-11,,35.0,25.0
Gorenjska,2011-11,,50.0,
Zasavska,2011-11,11.157142857142857,52.75,12.333333333333334
Koroška,2011-11,1.3,49.0,
Podravska,2011-11,4.4,48.0,30.0
Jugovzhodna Slovenija,2011-11,1.5,40.5,4.0
Savinjska,2011-11,4.814285714285715,47.5,18.0
Osrednjeslovenska,2011-11,4.1000000000000005,48.25,38.0
Pomurska,2011-11,,55.0,22.0
Goriška,2011-11,,33.0,36.0
Posavska,2011-11,5.05,27.0,18.0
Podravska,2011-12,2.7,30.0,26.0
Obalno-kraška,2011-12,,27.0,28.0
Osrednjeslovenska,2011-12,2.6,38.0,37.333333333333336
Goriška,2011-12,,30.333333333333332,36.0
Pomurska,2011-12,,42.0,20.0
Posavska,2011-12,4.65,16.0,15.0
Savinjska,2011-12,5.6000000000000005,31.0,18.333333333333332
Jugovzhodna Slovenija,2011-12,0.2,24.0,3.4
Gorenjska,2011-12,,40.0,
Zasavska,2011-12,7.028571428571429,35.0,10.0
Koroška,2011-12,3.2,53.0,
Gorenjska,2012-01,,35.0,
Podravska,2012-01,7.0,32.0,25.5
Jugovzhodna Slovenija,2012-01,5.0,29.5,3.0
Osrednjeslovenska,2012-01,3.0,37.5,35.666666666666664
Savinjska,2012-01,5.857142857142857,34.5,18.0
Obalno-kraška,2012-01,,29.0,27.0
Zasavska,2012-01,7.25,36.6,12.75
Koroška,2012-01,4.0,55.0,
Posavska,2012-01,5.5,13.0,11.0
Goriška,2012-01,,32.0,35.0
Pomurska,2012-01,,38.0,19.0
Koroška,2012-02,5.0,61.0,
Jugovzhodna Slovenija,2012-02,10.0,39.0,4.0
Gorenjska,2012-02,,45.0,
Osrednjeslovenska,2012-02,7.666666666666667,43.0,32.333333333333336
Podravska,2012-02,7.0,41.0,30.0
Zasavska,2012-02,11.0,43.8,12.0
Pomurska,2012-02,,55.0,24.0
Posavska,2012-02,7.5,21.0,12.0
Savinjska,2012-02,6.428571428571429,46.5,19.333333333333332
Obalno-kraška,2012-02,,34.0,22.0
Goriška,2012-02,,31.333333333333332,25.0
Zasavska,2012-03,8.5,41.2,15.8
Osrednjeslovenska,2012-03,6.666666666666667,37.25,32.0
Obalno-kraška,2012-03,,32.0,25.0
Savinjska,2012-03,6.142857142857143,34.5,17.333333333333332
Pomurska,2012-03,,33.0,19.0
Koroška,2012-03,2.0,37.0,
Gorenjska,2012-03,,32.0,
Jugovzhodna Slovenija,2012-03,8.0,26.0,2.0
Posavska,2012-03,6.0,31.0,8.0
Goriška,2012-03,,30.333333333333332,29.0
Podravska,2012-03,4.0,33.0,31.0
Gorenjska,2012-04,,15.0,
Zasavska,2012-04,5.25,17.8,9.8
Posavska,2012-04,3.0,16.0,4.0
Pomurska,2012-04,,19.0,17.0
Obalno-kraška,2012-04,,20.0,13.0
Goriška,2012-04,,14.333333333333334,19.0
Savinjska,2012-04,6.142857142857143,18.5,10.333333333333334
Koroška,2012-04,2.0,22.0,
Podravska,2012-04,4.0,21.0,25.5
Jugovzhodna Slovenija,2012-04,6.0,15.0,1.0
Osrednjeslovenska,2012-04,5.0,23.75,24.333333333333332
Savinjska,2012-05,4.857142857142857,18.0,10.0
Obalno-kraška,2012-05,,17.0,15.0
Posavska,2012-05,3.5,16.0,4.0
Goriška,2012-05,,14.333333333333334,19.0
Gorenjska,2012-05,,16.0,
Koroška,2012-05,0.0,18.0,
Podravska,2012-05,4.0,19.5,18.0
Pomurska,2012-05,,18.0,15.0
Osrednjeslovenska,2012-05,4.0,21.25,24.0
Jugovzhodna Slovenija,2012-05,6.0,14.5,1.0
Zasavska,2012-05,4.875,18.4,8.0
