Postaja,Leto,Mesec,NO2
skale,1998,Sep,6.0
kovk,1998,Sep,5.0
vnajnarje,1998,Sep,4.0
eis celje,1998,Sep,
skale,1998,Sep,60.0
ljubljana f.,1998,Okt,44.0
maribor,1998,Okt,36.0
celje,1998,Okt,23.0
trbovlje,1998,Okt,24.0
zavodnje,1998,Okt,7.0
skale,1998,Okt,8.0
kovk,1998,Okt,5.0
vnajnarje,1998,Okt,5.0
eis celje,1998,Okt,48.0
skale,1998,Okt,40.0
ljubljana f.,1998,Nov,47.0
maribor,1998,Nov,36.0
celje,1998,Nov,32.0
trbovlje,1998,Nov,29.0
zavodnje,1998,Nov,7.0
skale,1998,Nov,9.0
kovk,1998,Nov,7.0
vnajnarje,1998,Nov,5.0
eis celje,1998,Nov,54.0
skale,1998,Nov,46.0
ljubljana f.,1998,Dec,60.0
maribor,1998,Dec,45.0
celje,1998,Dec,58.0
trbovlje,1998,Dec,39.0
zavodnje,1998,Dec,13.0
skale,1998,Dec,15.0
kovk,1998,Dec,10.0
vnajnarje,1998,Dec,10.0
eis celje,1998,Dec,
skale,1998,Dec,102.0
ljubljana f.,1999,Jan,89.0
maribor,1999,Jan,39.0
celje,1999,Jan,28.0
trbovlje,1999,Jan,29.0
zavodnje,1999,Jan,15.0
skale,1999,Jan,13.0
kovk,1999,Jan,16.0
vnajnarje,1999,Jan,13.0
eis celje,1999,Jan,
ljubljana f.,1999,Feb,84.0
maribor,1999,Feb,53.0
celje,1999,Feb,40.0
trbovlje,1999,Feb,33.0
zavodnje,1999,Feb,9.0
skale,1999,Feb,10.0
kovk,1999,Feb,15.0
vnajnarje,1999,Feb,8.0
eis celje,1999,Feb,75.0
ljubljana f.,1999,Mar,56.0
maribor,1999,Mar,46.0
celje,1999,Mar,28.0
trbovlje,1999,Mar,28.0
zavodnje,1999,Mar,7.0
skale,1999,Mar,10.0
kovk,1999,Mar,9.0
vnajnarje,1999,Mar,6.0
eis celje,1999,Mar,51.0
ljubljana f.,1999,Apr,40.0
maribor,1999,Apr,39.0
celje,1999,Apr,27.0
trbovlje,1999,Apr,26.0
zavodnje,1999,Apr,5.0
skale,1999,Apr,8.0
kovk,1999,Apr,10.0
vnajnarje,1999,Apr,4.0
eis celje,1999,Apr,47.0
ljubljana f.,1999,Maj,40.0
maribor,1999,Maj,43.0
celje,1999,Maj,22.0
trbovlje,1999,Maj,23.0
zavodnje,1999,Maj,4.0
skale,1999,Maj,6.0
kovk,1999,Maj,6.0
vnajnarje,1999,Maj,4.0
eis celje,1999,Maj,40.0
ljubljana f.,1999,Jun,40.0
maribor,1999,Jun,35.0
celje,1999,Jun,18.0
trbovlje,1999,Jun,23.0
zavodnje,1999,Jun,3.0
skale,1999,Jun,4.0
kovk,1999,Jun,4.0
vnajnarje,1999,Jun,3.0
eis celje,1999,Jun,
ljubljana f.,1999,Jul,38.0
maribor,1999,Jul,26.0
celje,1999,Jul,22.0
trbovlje,1999,Jul,21.0
zavodnje,1999,Jul,3.0
skale,1999,Jul,3.0
kovk,1999,Jul,4.0
vnajnarje,1999,Jul,3.0
eis celje,1999,Jul,34.0
ljubljana f.,1999,Avg,43.0
maribor,1999,Avg,28.0
celje,1999,Avg,19.0
trbovlje,1999,Avg,19.0
zavodnje,1999,Avg,1.0
skale,1999,Avg,4.0
kovk,1999,Avg,10.0
vnajnarje,1999,Avg,2.0
eis celje,1999,Avg,33.0
ljubljana f.,1999,Sep,49.0
maribor,1999,Sep,38.0
