Postaja,Ura,Dan
Ljubljana Bežigrad,0,0
Maribor,0,0
Celje,0,0
Trbovlje,0,0
Hrastnik,0,0
Zagorje,0,0
Murska S.-Rakičan,0,0
Nova Gorica,0,0
OMS Ljubljana (Vnajnarje),0,0
Šoštanj,1,0
Topolšica,0,0
Veliki Vrh,6,0
Zavodnje,0,0
Velenje,0,0
Graška Gora,0,0
Pesje,0,0
Skale,0,0
Kovk,0,0
Dobovec,0,0
Kum,0,0
Ravenska Vas,1,0
