Postaja,Ura,Dan
Ljubljana Bežigrad,0,0
Maribor,0,0
Celje,0,0
Trbovlje,17,1
Hrastnik,12,0
Zagorje,17,1
Murska S.-Rakičan,0,0
Nova Gorica,0,0
Šoštanj,22,0
Topolšica,0,0
Veliki Vrh,56,4
Zavodnje,9,1
Velenje,0,0
Graška Gora,2,0
Pesje,0,0
Skale,0,0
Kovk,94,21
Dobovec,129,13
Kum,12,0
Ravenska Vas,205,35
Vnajnarje,0,0
EIS-Celje,0,0
EIS Krško,72,17
EIS TEB (sv.Mohor),1,0
