Postaja,Ura,Dan
Ljubljana Bežigrad,0,0
Maribor,0,0
Celje,0,0
Trbovlje,1,0
Hrastnik,0,0
Zagorje,0,0
Murska S.-Rakičan,0,0
Nova Gorica,0,0
OMS Lj. (Vnajnarje),0,0
EIS Celje,0,0
EIS Krško,44,4
Šoštanj,12,1
Topolšica,0,0
Veliki Vrh,28,0
Zavodnje,1,0
Velenje,0,0
Graška Gora,0,0
Pesje,0,0
Skale,0,0
Kovk,3,0
Dobovec,3,1
Kum,0,0
Ravenska Vas,1,0
EIS TEB (sv.Mohor),1,0
