Postaja,Ura
CE bolnica,0
Iskrba,0
Koper,0
LJ Bežigrad,0
LJ Celovška,0
MB Titova,0
MB Vrbanski plato,0
MS Rakičan,0
NG Grčna,0
Novo mesto,0
Zagorje,0
LJ Center,0
Zadobrova,0
CE Gaji,0
Sv.Mohor,0
MB Tezno,0
Škale,0
Šoštanj,0
Zavodnje,0
Mobilna TEŠ,0
