Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
ljubljana b.,9.0,5.0,4.0,3.0,6.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0
ljubljana center,11.0,8.0,5.0,7.0,3.0,4.0,5.0,5.0,5.0,4.0,2.0,5.0
maribor center,13.0,11.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,9.0,8.0
celje,6.0,4.0,5.0,5.0,3.0,3.0,6.0,2.0,4.0,8.0,7.0,6.0
trbovlje,5.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
hrastnik,8.0,6.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,4.0
zagorje,9.0,9.0,7.0,6.0,,,,,,,,
nova gorica,8.0,4.0,4.0,5.0,6.0,2.0,1.0,6.0,3.0,5.0,2.0,5.0
vnajnarje,,,,,,,,,,,,
šoštanj,3.0,3.0,4.0,4.0,5.0,6.0,8.0,3.0,5.0,1.0,3.0,5.0
topolšica,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,7.0,8.0
veliki vrh,7.0,9.0,6.0,5.0,4.0,4.0,5.0,2.0,3.0,3.0,7.0,8.0
zavodnje,4.0,4.0,3.0,3.0,4.0,3.0,7.0,7.0,9.0,9.0,9.0,7.0
velenje,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0
graška gora,5.0,5.0,4.0,4.0,3.0,4.0,3.0,1.0,1.0,2.0,1.0,
pesje,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,7.0,9.0
skale,9.0,2.0,1.0,1.0,1.0,5.0,6.0,4.0,5.0,4.0,8.0,9.0
kovk,10.0,7.0,7.0,4.0,2.0,12.0,8.0,7.0,11.0,9.0,11.0,11.0
dobovec,18.0,8.0,7.0,6.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,6.0
kum,14.0,3.0,4.0,6.0,2.0,3.0,3.0,3.0,6.0,4.0,4.0,7.0
ravenska vas,10.0,5.0,6.0,10.0,6.0,4.0,7.0,8.0,9.0,8.0,8.0,12.0
brestanica-sv.mohor,13.0,11.0,16.0,6.0,9.0,9.0,8.0,10.0,18.0,14.0,13.0,15.0
