Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bežigrad,4,4,5*,5,4,5,3,3,3,4,6,7.0
Celje,6,8,4,3,5,4,2,3,3,5,9,8.0
Trbovlje,4,5,7,8,7,4,4,5,5,7,8,6.0
Zagorje,4,4,4,4,2,1,1,2,2,5,3,3.0
Hrastnik,3,2,4,2,5,2,3,5,9,8,4,3.0
Vnajnarje,9,3,6,7,7,6,6,4,6,5,4,5.0
Šoštanj,4,4,5,6,4,2,4,4,6,5,1,
Topolšica,5,4,3,5,7,5,5,8,4,5,5,1.0
Zavodnje,3,3,4,3,4,1,1,2,1,1,2,4.0
Veliki vrh,5,3,5,3,2,2,6,9,1,2,2,5.0
Graška gora,3,2,3,2,5,7,7,6,2,3,3,3.0
Velenje,7,3,2,4,3,2,4,6,3,4,2,2.0
Pesje,9,8,8,9,6,4,4,4,3,5,6,9.0
Škale,5,4,5,3,7,5,7,8,3,4,4,4.0
Kovk,7,5,6,5,7,8,6,8,7,9,6,1.0
Dobovec,5,3,7,7,3,7,8,10,3,6,6,2.0
Kum,5,2,4,7,5,4,4,4,5,6,3,2.0
Ravenska vas,5,6,5,8,7,7,6,9,5,5,8,6.0
Sv. Mohor,4,5,6,6,6,5,6,5,5,4,5,4.0
LJ Center,3,2,3,2,3,2,1,1,1,2,3,2.0
AMP Gaji,5,7,8,3,1,0,2,3,4,6,7,8.0
Zelena trava,4,6,6,8,9,10,2,3,4,4,3,3.0
