Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
lj bežigrad,5.0,7.0,7.0,7.0,8.0,6.0,5.0,4.0,3.0,3.0,9.0,8.0
celje,8.0,4.0,6.0,6.0,8.0,5.0,3.0,4.0,6.0,9.0,5.0,7.0
trbovlje,11.0,8.0,6.0,4.0,8.0,4.0,7.0,7.0,11.0,7.0,9.0,6.0
zagorje,5.0,5.0,7.0,4.0,7.0,3.0,4.0,2.0,3.0,4.0,4.0,7.0
hrastnik,8.0,5.0,7.0,4.0,4.0,5.0,7.0,7.0,6.0,6.0,6.0,5.0
iskrba,0.5,0.1,0.4,0.4,0.3,0.2,0.3,0.2,0.4,0.1,0.2,0.3
vnajnarje,5.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0,3.0,5.0,3.0,3.0
šoštanj,3.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0
topolšica,2.0,4.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,5.0,4.0,2.0
zavodnje,5.0,0.0,0.0,2.0,1.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0
veliki vrh,3.0,4.0,4.0,5.0,2.0,2.0,4.0,1.0,4.0,2.0,1.0,2.0
graška gora,4.0,2.0,2.0,3.0,2.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0
velenje,5.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,1.0,4.0,5.0,2.0
pesje,9.0,9.0,10.0,5.0,4.0,4.0,5.0,6.0,3.0,5.0,7.0,5.0
škale,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0
kovk,6.0,3.0,4.0,5.0,6.0,8.0,9.0,4.0,7.0,5.0,5.0,4.0
dobovec,6.0,7.0,7.0,7.0,7.0,10.0,12.0,6.0,11.0,6.0,4.0,9.0
kum,3.0,7.0,3.0,5.0,6.0,6.0,5.0,3.0,2.0,6.0,7.0,7.0
ravenska vas,6.0,5.0,8.0,5.0,9.0,8.0,6.0,4.0,6.0,5.0,5.0,9.0
sv. mohor,4.0,4.0,4.0,4.0,0.0,0.0,5.0,5.0,4.0,3.0,4.0,4.0
lj center,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0
amp gaji,5.0,3.0,4.0,5.0,5.0,4.0,2.0,3.0,4.0,4.0,5.0,6.0
