Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
lj bežigrad,4,3,6,4,2,4,3,5,5,6,3,3.0
celje,9,7,4,3,2,2,2,2,3,2,4,5.0
trbovlje,8,9,6,3,2,2,3,3,3,6,4,5.0
zagorje,5,5,5,5,3,1,3,7,3,6,6,5.0
hrastnik,8,11,9,8,3,3,4,6,3,3,4,5.0
šoštanj,4,3,5,4,2,4,5,6,1,5,2,4.0
topolšica,4,2,2,2,2,2,4,4,3,2,1,2.0
veliki vrh,9,9,3,2,0,4,3,5,2,3,6,5.0
zavodnje,6,4,3,2,4,8,8,7,4,3,4,4.0
graška gora,2,3,2,3,5,1,2,3,4,2,4,6.0
velenje,1,1,1,1,1,1,2,1,0,1,1,2.0
pesje,5,5,5,4,4,4,5,5,4,4,4,5.0
škale,11,11,6,7,7,3,8,7,6,6,5,7.0
kovk,9,10,9,10,8,6,10,3,9,9,10,8.0
dobovec,7,6,6,4,4,8,7,7,8,9,7,11.0
kum,5,5,10,3,7,2,6,3,4,6,3,3.0
ravenska vas,6,10,6,8,8,4,9,14,11,13,8,10.0
sv. mohor,7,6,4,4,3,4,3,4,3,4,4,4.0
lj center,2,1,2,4,2,3,3,2,2,1,2,2.0
vnajnarje,5,5,4,2,2,4,3,4,5,2,1,4.0
zelena trava,4,5,6,2,4,6,9,12,13,11,6,8.0
amp gaji,16,8,7,8,6,3,3,1,3,4,5,
