Postaja,Dan
LJ Bežigrad,30
Maribor,35
Celje,49
MS Rakičan,44
Nova Gorica,24
Trbovlje,39
Zagorje,46
Hrastnik,19
Koper,18
Iskrba,3
Žerjav,9
LJ Biotehniška,32
Kranj,28
Novo mesto,33
Velenje,19
LJ Gospodarsko,39
NG Grčna,21
CE Mariborska,57
Pesje,20
Škale,9
Šoštanj,14
LJ Center,51
Vnajnarje,8
CE Gaji,39
MB Vrbanski,21
Miklavž,39
Ptuj,38
Ruše,17
Morsko,6
Gorenje polje,7
