Postaja,Dan
Ljubljana Bežigrad,37
Ljubljana Figovec,101
Maribor,54
Celje,37
Trbovlje,73
Zagorje,107
Murska S.-Rakičan,42
Nova Gorica,35
Koper,12
MO Maribor,52
Pesje,9
Škale,12
Prapretno,25
Iskrba,0
Morsko,16
Gorenje Polje,24
