Postaja,Dan
CE bolnica,23
CE Mariborska,34
Hrastnik,7
Iskrba,0
Koper,17
Kranj,8
LJ Bežigrad,18
LJ Biotehniška,12
LJ Celovška,3
LJ Gospodarsko,16
MB Titova,15
MB Vrbanski,3
MS Cankarjeva,19
MS Rakičan,11
NG Grčna,14
NG Vojkova,16
Novo mesto,10
Ptuj,14
Trbovlje,18
Velenje,0
Zagorje,24
Žerjav,5
Pesje,2
Škale,2
Šoštanj,2
LJ Center,37
Medvode,2
CE Gaji,17
MB Tezno,9
Miklavž,24
Spuhlja,25
Ruše,12
Grosuplje,32
Morsko,7
Gorenje polje,9
