Postaja,Dan
Ljubljana Bež,71
Maribor,103
Celje,97
Trbovlje,160
Zagorje,150
Nova Gorica,43
Murska S.-Rakičan,67
EIS-Celje,89
MO Maribor,111
Pesje,23
Škale,15
Prapretno,15
Iskrba,5
