Postaja,Dan
Ljubljana Bežigrad,19
Maribor,25
Celje,41
MS Rakičan,33
Nova Gorica,19
Trbovlje,33
Zagorje,38
Hrastnik,10
Koper,16
Iskrba,0
Žerjav,3
LJ Biotehniška fakulteta,12
Kranj,12
Novo mesto,22
Velenje,15
Pesje,12
Škale,5
Šoštanj,0
Prapretno,2
Kovk,0
Dobovec,0
Ljubljana center,55
Zelena trava,1
Vnajnarje,0
AMP Gaji,41
Vrbanski plato,10
Morsko,8
Gorenje Polje,11
