Postaja,Dan presežek
CE bolnica,13
CE Ljubljanska,13
Hrastnik,1
Iskrba,0
Koper,12
Kranj,5
LJ Bežigrad,11
LJ Celovška,11
LJ Vič,11
MB Titova,3
MB Vrbanski,0
MS Cankarjeva,39
MS Rakičan,10
NG Grčna,9
NG Vojkova,10
Novo mesto,0
Ptuj,9
Trbovlje,8
Velenje,0
Zagorje,11
Žerjav,2
Mobilna TEŠ,0
Pesje,0
Škale,0
Šoštanj,0
Zavodnje,0
Velenje,0
LJ Center,27
Zadobrova,1
Medvode,5
Sv. Mohor,1
MB Tezno,4
Morsko,0
Gorenje Polje,2
Miklavž,8
Spuhlja,17
Ruše,0
