Postaja,Dan
Ljubljana Bežigrad,63
Ljubljana BF (R),51
Maribor center (R),64
Kranj (R),55
Novo mesto (R),69
Celje (R),73
Trbovlje (R),68
Zagorje (R),75
Hrastnik (R),51
Murska S. Rakičan (R),71
Nova Gorica (R),28
Koper,21
Žerjav (R),79
Iskrba (R),3
Ljubljana center,94
Maribor Vrbanski p.,25
Vnajnarje (R),25
Pesje,6
Škale,16
Prapretno,49
Morsko (R),13
Gorenje Polje (R),18
