Postaja,Dan
LJ Bežigrad,36
Maribor,43
Celje,53
MS Rakičan,42
Nova Gorica,15
Trbovlje,38
Zagorje,51
Hrastnik,25
Koper,11
Iskrba,0
Žerjav,19
LJ Biotehniška,40
Kranj,27
Novo mesto,41
Velenje,10
Pesje,8
Škale,1
Šoštanj,3
Prapretno,1
LJ Center,66
Vnajnarje,2
AMP Gaji,45
MB Vrbanski,21
Miklavž,45
Morsko,6
Gorenje polje,3
