Postaja,Dan
lj Bežigrad,43
Maribor,34
Celje,70
MS Rakičan,47
Nova Gorica,24
Trbovlje,50
Zagorje,70
Hrastnik,22
Koper,28
Iskrba,0
Žerjav,7
lj Biotehniška,35
Kranj,17
Novo mesto,40
Velenje,9
Pesje,9
Škale,0
Šoštanj,0
Prapretno,0
Kovk,0
Dobovec,0
lj Center,85
Zelena trava,1
Vnajnarje,1
AMP Gaji,76
MB Vrbanski,3
Morsko,7
Gorenje polje,12
