Postaja,Dan
Ljubljana Bež,51
Maribor,117
Celje,62
Trbovlje,92
Zagorje,110
Murska S.-Rakičan,58
Nova Gorica,50
Koper,48
EIS-Celje,92
MO Maribor,132
Vnajnarje,20
Pesje,24
Škale,19
Prapretno,33
Iskrba,5
