Postaja,Dan
Ljubljana Bežigrad,22
Maribor Center,36
Celje,51
MS Rakičan,38
Nova Gorica,12
Trbovlje,50
Zagorje,48
Hrastnik,15
Koper,10
Žerjav,37
LJ Biotehnična fakulteta,24
Kranj,28
Novo mesto,49
Velenje,8
Pesje,6
Škale,0
Šoštanj,0
Prapretno,3
Kovk,1
Dobovec,1
Ljubljana Center,74
Zelena trava,0
Vnajnarje,3
AMP Gaji,35
MB Vrbanski pl.,7
Morsko,3
Gorenje Polje,5
