Postaja,Dan
CE bolnica,12
CE Ljubljanska,8
Hrastnik,1
IB Gregorčičeva,6
IB Rečica,3
Iskrba,0
Koper,12
Kranj,6
LJ Bežigrad,14
LJ Celovška,16
LJ Vič,10
MB Titova,1
MB Vrbanski,0
MS Cankarjeva,33
MS Rakičan,6
NG Grčna,13
NG Vojkova,15
Novo mesto,0
Ptuj,8
Trbovlje,7
Velenje,0
Zagorje,5
Žerjav,8
Pesje,0
Škale,0
Šoštanj,0
Mobilna TEŠ,0
LJ Center,22
Zadobrova,9
Medvode,4
MB Tezno,4
Radvanje,0
Pobrežje,0
Miklavž,7
Spuhlja,19
Ruše,0
Morsko,6
Gorenje polje,11
