Postaja,Dan presežek
Ljubljana Bežigrad,50
Maribor,117
Celje,62
Trbovlje,92
Zagorje,110
Nova Gorica,50
Murska S.-Rakičan,58
Koper,48
Iskrba,5
Pesje,24
Škale,19
Prapretno,33
OMS Lj. (Vnajnarje),20
MO Maribor,132
EIS Celje,92
