Postaja,Dan
LJ Bežigrad,16
Maribor,13
Celje,23
MS Rakičan,14
Nova Gorica,10
Trbovlje,16
Zagorje,28
Hrastnik,9
Koper,8
Iskrba,2
Žerjav,1
LJ Biotehniška,8
Kranj,8
Novo mesto,10
Velenje,2
LJ Gospodarsko,21
NG Grčna,10
MS Cankarjeva,28
CE Mariborska,43
Pesje,1
Škale,1
Šoštanj,1
LJ Center,37
Medvode,2
CE Gaji,25
MB Vrbanski,0
Miklavž,31
Ptuj,15
Ruše,11
Morsko,5
Gorenje polje,7
