Postaja,Dan
LJ Bežigrad,28
Maribor,30
Celje,35
MS Rakičan,34
Nova Gorica,6
Trbovlje,37
Zagorje,55
Hrastnik,11
Koper,4
Iskrba,2
Žerjav,5
LJ Biotehniška,16
Kranj,13
Novo mesto,31
Velenje,2
LJ Gospodarsko,20
NG Grčna,5
MS Cankarjeva,46
CE Mariborska,45
Pesje,3
Škale,3
Šoštanj,4
LJ Center,51
Medvode,7
CE Gaji,43
MB Vrbanski,12
Miklavž,35
Ptuj,25
Ruše,15
Morsko,3
Gorenje polje,3
