Postaja,Dan
Ljubljana Bežigrad,43
Ljubljana BF (R),32
Maribor center (R),47
Kranj (R),37
Novo mesto (R),60
Celje,58
Trbovlje (R),64
Zagorje (R),68
Hrastnik (R),30
Murska S.-Rakičan,52
Nova Gorica,25
Koper,15
Žerjav (R),29
Iskrba (R),5
Ljubljana center,74
Maribor Tabor,38
Vnajnarje (R),2
Pesje,10
Škale,12
Prapretno,29
Morsko (R),5
Gorenje Polje (R),13
