Postaja,Dan
Ljubljana Bež,48
Maribor,92
Celje,51
Trbovlje,83
Zagorje,100
Murska S.-Rakičan,37
Nova Gorica,40
Koper,19
EIS-Celje,67
MO Maribor,94
Vnajnarje,10
Pesje,14
Škale,11
Prapretno,36
Iskrba,0
Morsko,18
Gorenje Polje,16
