Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
lj bežigrad,7.0,5.0,2.0,3.0,5.0,3,3.0,3,5.0,3,4,4.0
celje,4.0,3.0,6.0,3.0,5.0,3,5.0,5,4.0,2,3,3.0
trbovlje,5.0,5.0,5.0,5.0,6.0,4,3.0,3,4.0,4,4,4.0
zagorje,3.0,3.0,3.0,4.0,3.0,3,1.0,1,1.0,2,3,3.0
hrastnik*,2.0,2.0,1.0,1.0,1.0,1,1.0,2,3.0,/,/,
iskrba,0.6,0.8,0.6,0.6,0.5,1,0.7,1,0.7,0.7,0.7,0.6
šoštanj,2.0,3.0,2.0,3.0,3.0,2,3.0,3,2.0,3,3,2.0
topolšica,4.0,6.0,4.0,3.0,4.0,3,4.0,2,2.0,2,3,2.0
zavodnje,4.0,4.0,4.0,4.0,2.0,5,5.0,5,4.0,3,1,3.0
veliki vrh,4.0,4.0,3.0,2.0,2.0,2,3.0,4,3.0,2,1,2.0
graška gora,4.0,4.0,4.0,4.0,4.0,5,6.0,2,3.0,4,4,4.0
velenje,3.0,3.0,3.0,5.0,2.0,1,4.0,4,1.0,3,4,3.0
pesje,2.0,3.0,3.0,4.0,6.0,3,5.0,7,3.0,3,3,3.0
škale,6.0,5.0,5.0,6.0,5.0,6,5.0,7,5.0,5,2,3.0
sv. mohor,5.0,6.0,6.0,6.0,7.0,8,7.0,6,4.0,4,4,4.0
lj center,9.0,4.0,3.0,4.0,3.0,3,6.0,7,5.0,4,4,4.0
ce gaji,8.0,6.0,5.0,10.0,11.0,9,5.0,4,6.0,13,12,9.0
