Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
ljubljana b.,4.0,6.0,5.0,3.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,6.0
maribor,5.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0
celje,7.0,7.0,5.0,3.0,1.0,6.0,6.0,5.0,5.0,5.0,4.0,6.0
trbovlje,4.0,5.0,7.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,5.0
hrastnik,7.0,6.0,7.0,5.0,3.0,4.0,6.0,5.0,5.0,8.0,7.0,9.0
zagorje,8.0,6.0,6.0,5.0,5.0,2.0,3.0,3.0,5.0,4.0,7.0,3.0
murska s.-rakičan,6.0,5.0,5.0,7.0,3.0,4.0,4.0,7.0,4.0,4.0,6.0,8.0
nova gorica,8.0,5.0,5.0,8.0,8.0,5.0,7.0,6.0,6.0,5.0,9.0,13.0
oms lj. (vnajnarje),11.0,7.0,5.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,6.0,5.0
eis celje,,,,,,,,,,,,
šoštanj,6.0,11.0,7.0,7.0,14.0,21.0,22.0,7.0,5.0,2.0,4.0,4.0
topolšica,3.0,3.0,3.0,6.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,4.0
veliki vrh,27.0,17.0,12.0,15.0,13.0,13.0,16.0,12.0,6.0,11.0,9.0,14.0
zavodnje,11.0,6.0,3.0,7.0,5.0,6.0,9.0,3.0,4.0,4.0,5.0,10.0
velenje,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,5.0
graška gora,7.0,7.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,2.0,4.0,10.0
pesje,4.0,4.0,4.0,6.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0,8.0
škale,6.0,5.0,4.0,5.0,3.0,3.0,3.0,0.0,1.0,0.0,3.0,6.0
kovk,14.0,14.0,10.0,3.0,3.0,8.0,10.0,8.0,10.0,6.0,9.0,12.0
dobovec,6.0,6.0,5.0,3.0,0.0,9.0,5.0,9.0,9.0,8.0,12.0,17.0
kum,4.0,5.0,4.0,5.0,5.0,5.0,8.0,8.0,3.0,8.0,13.0,11.0
ravenska vas,12.0,15.0,27.0,15.0,13.0,13.0,13.0,8.0,9.0,9.0,12.0,18.0
eis teb (sv.mohor),13.0,24.0,26.0,18.0,9.0,8.0,14.0,17.0,5.0,3.0,13.0,16.0
