Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana F.,31.0,52.0,40.0,31.0,35.0,31.0,30.0,,,,38.0,43.0
Maribor,45.0,57.0,40.0,34.0,36.0,34.0,30.0,31.0,35.0,42.0,41.0,42.0
Celje,42.0,23.0,26.0,,,,,,,,,
Trbovlje,,,28.0,27.0,26.0,26.0,26.0,27.0,32.0,28.0,34.0,32.0
Zavodnje,15.0,9.0,7.0,6.0,4.0,4.0,4.0,4.0,6.0,8.0,8.0,7.0
Razbor,15.0,9.0,7.0,6.0,6.0,,,,,,,
Škale,,,,,,7.0,5.0,4.0,6.0,8.0,10.0,11.0
Kovk,3.0,,0.0,0.0,0.0,2.0,6.0,4.0,3.0,6.0,11.0,11.0
Vnajnarje,11.0,9.0,5.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,1.0,1.0
EIS Celje,50.0,53.0,44.0,37.0,42.0,35.0,36.0,38.0,42.0,45.0,,
