Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana F.,33,22,20,20,19,42,36,9,6,35,22,23
Ljubljana B.,33,18,31,24,21,35,25,8,11,31,25,34
Maribor,28,18,22,18,24,11,13,9,11,17,36,28
Celje,30,45,34,15,27,11,17,40,25,44,43,102
Trbovlje,46,27,35,25,33,18,8,27,20,101,73,246
Hrastnik,38,50,59,38,43,65,17,13,50,51,55,184
Zagorje,21,86,35,59,77,61,10,13,25,75,83,391
Šoštanj,167,295,407,268,287,320,305,169,373,309,204,526
Topolšica,17,68,14,33,42,29,24,42,24,43,43,85
Veliki Vrh,229,165,113,120,184,110,123,148,188,267,224,269
Zavodnje,37,95,82,56,100,50,45,71,48,140,130,120
Velenje,15,10,8,7,11,10,6,13,6,30,12,55
Graška Gora,44,36,62,126,76,42,39,112,61,40,57,101
Škale,23,38,59,49,33,20,33,66,50,41,34,37
Kovk,228,293,227,273,195,200,19,45,239,221,32,28
Dobovec,158,395,154,242,281,102,16,18,273,1067,632,1516
Kum,23,59,71,22,46,64,17,13,70,212,229,51
Ravenska vas,48,171,193,161,175,163,113,64,121,188,195,601
Vnajnarje,32,27,56,29,33,16,22,7,11,56,23,43
EIS Celje,/,40,/,7,6,6,4,11,/,14,14,32
EIS Krško,135,189,240,214,157,112,118,191,135,175,95,72
