Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana B.,38,14,24,25,17,28,22,11,19,15,23,29
Maribor,35,37,18,27,11,11,14,15,4,25,8,15
Celje,111,44,31,11,28,26,21,12,12,22,25,21
Trbovlje,328,35,42,47,38,73,45,25,23,29,32,42
Hrastnik,172,38,67,120,235,137,201,41,54,74,53,76
Zagorje,315,81,66,67,40,78,66,9,62,54,92,95
Nova Gorica,25,16,15,18,20,8,11,6,6,13,13,15
Murska S.-Rakičan,16,11,9,8,12,6,8,5,5,8,8,15
Šoštanj,189,530,134,263,553,213,450,201,119,454,198,72
Topolšica,124,254,61,42,57,31,51,39,37,26,19,30
Veliki Vrh,344,250,270,221,210,156,290,222,179,245,145,162
Zavodnje,184,442,103,41,87,49,18,28,36,30,109,158
Velenje,57,39,26,14,16,22,57,19,17,25,19,37
Graška Gora,150,196,113,85,97,96,66,94,115,76,48,29
Škale,131,93,57,36,84,27,60,28,30,57,35,34
Kovk,26,28,37,9,28,20,23,2,18,17,192,258
Dobovec,695,177,116,216,176,223,107,9,66,320,155,165
Kum,151,126,93,139,140,118,79,/,/,/,/,/
Ravenska vas,580,169,410,293,321,352,199,99,145,101,193,247
Vnajnarje,31,30,27,53,32,16,31,15,30,18,52,30
EIS Krško,213,146,232,273,145,112,77,103,120,149,285,157
