Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana F.,98,144,108,67,33,31,13,33,15,85,104,31
Ljubljana B.,96,163,109,74,36,30,23,24,19,65,100,84
Maribor,48,52,41,34,27,15,11,19,17,34,39,69
Celje,115,92,64,30,21,23,24,23,37,52,89,117
Trbovlje,128,136,75,50,52,53,45,88,56,57,99,116
Hrastnik,94,87,33,106,58,34,95,51,89,117,99,123
Zagorje,171,127,155,30,53,21,52,140,65,45,101,68
Šoštanj,199,214,168,346,256,366,116,77,346,146,363,164
Topolšica,94,112,178,95,88,66,36,42,88,40,127,184
Veliki Vrh,472,374,162,98,106,184,104,110,101,181,304,276
Zavodnje,164,211,151,245,89,162,84,142,96,146,150,401
Velenje,82,66,113,22,12,27,36,31,21,21,75,11
Graška Gora,189,170,243,246,97,63,147,76,129,268,126,102
Škale,81,113,274,147,58,81,38,24,50,100,106,140
Kovk,375,325,325,289,174,225,273,87,242,153,124,150
Dobovec,648,220,242,184,250,100,307,326,257,528,577,499
Kum,45,66,80,34,86,29,85,25,50,42,103,63
Ravenska vas,354,377,222,233,255,206,211,331,293,192,274,283
Vnajnarje,74,121,73,79,48,17,23,37,31,51,126,75
EIS Celje,130,117,69,35,36,31,26,19,/,40,81,118
EIS Krško,244,363,101,97,170,106,89,79,43,56,60,139
Škale,147,113,85,67,15,14,13,17,17,55,75,83
