Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana F.,56,43,16,47,16,18,14,9,11,14,10,24
Ljubljana B.,67,30,34,16,17,13,17,26,16,32,12,25
Maribor,75,47,52,14,14,16,11,12,19,15,15,16
Celje,165,57,30,31,17,43,30,34,16,18,31,43
Trbovlje,134,65,44,36,79,84,29,50,30,34,17,35
Hrastnik,133,90,60,91,67,80,50,40,58,43,93,70
Zagorje,157,97,56,59,61,141,20,21,32,14,10,122
Šoštanj,185,267,308,283,265,345,134,289,131,194,560,133
Topolšica,255,74,141,41,91,137,23,76,18,14,8,17
Veliki Vrh,383,252,208,215,110,140,104,150,156,109,298,217
Zavodnje,344,254,313,80,149,185,66,85,35,20,56,43
Velenje,60,41,52,10,27,57,30,13,8,9,31,9
Graška Gora,143,343,173,160,259,165,175,170,56,51,92,28
Škale,112,101,87,98,105,75,93,139,39,11,48,42
Kovk,172,243,304,157,360,244,99,40,174,135,178,233
Dobovec,841,329,176,114,187,114,71,33,137,80,230,415
Kum,80,165,91,43,27,26,41,36,57,98,44,26
Ravenska vas,185,129,164,178,248,353,162,118,190,132,100,110
Vnajnarje,47,24,12,26,42,30,19,8,46,24,49,33
EIS Celje,120,60,38,39,35,50,35,29,18,12,/,/
EIS Krško,126,317,154,165,149,159,124,156,11,111,103,91
