Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana B.,35,35,30,14,10,15,17,12,15,59,26,24
Maribor,15,30,25,12,12,21,12,13,19,13,18,35
Celje,72,29,23,13,13,12,11,9,29,63,34,49
Trbovlje,46,57,79,37,79,100,69,25,95,46,55,66
Hrastnik,41,21,93,41,37,9,57,9,44,56,49,42
Zagorje,77,136,102,52,44,63,74,10,112,99,68,113
Nova Gorica,12,16,14,20,21,19,15,23,11,10,10,13
Murska S.-Rakičan,29,19,9,8,10,10,8,8,11,8,9,13
Šoštanj,32,167,105,103,288,151,131,136,90,184,175,106
Topolšica,25,68,82,26,44,30,50,75,45,24,36,50
Veliki Vrh,249,179,130,113,161,116,155,210,108,76,222,413
Zavodnje,47,78,182,28,92,57,51,62,81,37,50,43
Velenje,66,25,26,20,21,19,26,10,10,22,15,32
Graška Gora,24,41,38,34,59,25,88,49,32,73,45,43
Pesje,82,40,47,10,30,30,32,32,33,19,38,63
Škale,51,37,33,28,37,33,75,41,17,28,41,40
Kovk,170,192,383,227,298,205,152,9,170,282,321,328
Dobovec,332,141,250,77,224,91,149,8,262,148,57,121
Kum,156,/,/,/,/,/,120,14,94,38,43,41
Ravenska vas,204,215,279,132,197,201,180,37,135,199,266,325
Vnajnarje,37,46,47,28,32,24,19,7,18,49,46,51
EIS Celje,38,15,14,7,7,7,5,4,/,30,/,16
EIS Krško,193,39,266,113,175,166,152,205,138,81,236,338
