Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bežigrad,34,38,32,26,19,18,19,19,26,31,36,37
Maribor,46,44,42,36,33,30,31,29,33,34,44,44
Celje,29,28,27,20,15,17,19,17,22,25,33,29
Trbovlje,20,22,28,25,16,19,21,17,20,22,27,27
Murska S.-Rakičan,25,20,17,16,12,11,13,13,13,16,22,25
Nova Gorica,32,29,23,20,19,19,19,18,19,28,33,34
Vnajnarje,9,9,6,3,3,2,1,3,3,4,7,7
Zavodnje,4,7,2,0,1,2,4,1,2,4,6,4
Škale,18,18,11,6,6,5,5,4,2,1,0,24
Kovk,20,17,12,11,10,7,10,11,7,12,15,11
EIS TEB (Sv.Mohor),7,3,2,1,1,3,7,7,5,4,2,8
