Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana B.,77,65,83,101,39,51,18,41,69,43,83,129
Maribor,37,39,38,38,31,41,64,27,38,24,57,35
Celje,134,105,200,103,102,82,87,167,107,156,265,396
Trbovlje,140,262,521,291,314,28,117,305,312,189,398,317
Hrastnik,318,104,974,584,298,49,49,407,466,473,262,1799
Zagorje,628,555,484,659,426,382,105,446,403,183,736,1165
Nova Gorica,67,22,53,60,74,66,71,28,24,24,44,89
Murska S.-Rakičan,22,28,45,25,16,23,13,17,32,25,26,28
Šoštanj,774,119,680,478,535,692,787,722,616,937,464,469
Topolšica,130,83,134,108,126,117,272,160,161,291,143,277
Veliki Vrh,1083,911,619,547,755,597,1329,541,635,523,675,1132
Zavodnje,164,142,110,96,141,133,680,274,79,121,199,215
Velenje,73,57,121,58,66,53,32,96,62,72,50,164
Graška Gora,113,170,147,216,238,78,121,102,101,99,144,463
Pesje,154,80,198,195,66,77,50,113,143,114,111,153
Škale,183,139,138,220,93,43,74,212,152,184,125,190
Kovk,472,1351,988,1477,742,183,444,727,755,797,877,1514
Dobovec,710,1771,1133,1078,1166,1652,426,1569,1416,553,1939,4056
Kum,250,1210,410,414,284,254,319,316,140,202,393,142
Ravenska vas,603,557,1041,629,1081,562,272,827,517,242,1057,1779
Vnajnarje,264,64,327,185,126,62,23,36,204,95,79,159
EIS Celje,78,877,65,43,53,22,28,46,/,/,101,226
EIS Krško,763,877,637,857,656,466,380,541,733,399,527,355
EIS TEB,1385,114,100,94,97,/,98,94,133,287,63,657
