Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana B.,157,61,72,96,50,125,53,23,50,51,42,79
Maribor,84,89,51,69,24,27,38,50,11,56,30,31
Celje,224,183,129,48,210,197,110,81,87,87,152,58
Trbovlje,811,233,316,339,307,416,329,293,262,380,213,192
Hrastnik,763,425,464,804,2168,976,1184,265,352,255,268,351
Zagorje,788,219,478,493,287,405,438,45,350,284,501,346
Nova Gorica,38,50,55,64,54,34,40,38,18,38,51,31
Murska S.-Rakičan,58,28,22,28,24,16,19,10,14,29,24,35
Šoštanj,985,1959,1176,1533,1351,1314,1453,880,939,2000,1356,385
Topolšica,534,1350,407,291,485,433,491,278,280,301,123,94
Veliki Vrh,1450,1015,928,888,740,1250,1411,1079,803,946,882,397
Zavodnje,694,1536,694,308,461,391,70,105,120,107,462,704
Velenje,328,280,106,50,65,303,725,193,60,166,150,145
Graška Gora,1024,948,382,541,676,947,408,763,896,288,156,138
Škale,421,522,292,224,356,221,417,165,142,178,213,107
Kovk,158,69,122,50,112,98,87,12,57,60,702,616
Dobovec,4043,1455,1386,1355,1117,1340,964,91,513,835,857,853
Kum,749,864,494,566,826,531,342,/,/,/,/,/
Ravenska vas,1120,411,1803,1300,2047,2093,1306,365,569,519,561,518
Vnajnarje,107,99,102,195,133,248,188,38,86,71,177,101
EIS Krško,1040,555,770,1223,688,1404,439,648,323,664,1080,695
