Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana F.,468,50,88,98,83,270,179,50,99,281,41,76
Ljubljana B.,89,42,69,200,148,273,155,37,43,148,81,77
Maribor,48,42,47,37,63,180,23,22,47,37,71,48
Celje,86,666,99,73,311,65,34,83,135,260,149,360
Trbovlje,154,194,145,341,435,117,48,502,116,552,510,547
Hrastnik,105,216,324,354,230,439,121,90,303,731,407,708
Zagorje,45,393,166,322,718,305,33,74,157,666,645,1111
Šoštanj,869,740,1663,1345,1166,1820,1331,1057,1666,1684,2099,1435
Topolšica,88,835,178,229,291,259,165,271,186,307,467,240
Veliki Vrh,942,961,385,747,1055,910,802,1216,1569,1185,813,1070
Zavodnje,329,673,869,228,954,228,290,559,267,550,374,357
Velenje,33,75,36,37,97,70,36,157,26,187,79,159
Graška Gora,140,190,260,614,386,436,235,553,311,639,255,990
Škale,145,375,362,173,204,104,502,300,306,302,233,174
Kovk,562,849,703,454,939,1451,142,206,1189,813,103,68
Dobovec,1104,1982,838,2784,911,1053,138,136,1584,3378,2239,3978
Kum,67,518,274,153,112,685,31,118,539,268,673,310
Ravenska vas,216,522,837,797,1130,510,346,479,509,862,558,1397
Vnajnarje,224,115,196,276,240,102,173,30,55,374,165,148
EIS Celje,/,355,/,32,29,28,11,25,/,80,49,132
EIS Krško,492,1151,851,1473,990,530,942,750,483,413,359,452
