Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana B.,73,81,75,34,59,85,49,26,42,202,86,52
Maribor,37,46,39,37,33,70,25,23,44,24,44,59
Celje,197,167,116,69,67,78,56,48,135,618,177,168
Trbovlje,151,439,460,206,383,758,495,172,727,559,382,363
Hrastnik,171,130,473,313,401,94,264,58,416,507,326,209
Zagorje,304,651,553,226,415,521,340,38,554,613,403,693
Nova Gorica,22,31,43,126,72,62,108,131,60,47,56,36
Murska S.-Rakičan,55,35,31,17,39,33,15,15,26,16,25,20
Šoštanj,256,987,829,814,1379,1102,825,1392,726,856,481,469
Topolšica,69,704,812,124,197,204,266,405,337,150,182,234
Veliki Vrh,1006,1002,1190,797,890,787,746,1051,1320,653,815,682
Zavodnje,371,486,947,231,732,237,219,361,691,179,194,102
Velenje,361,88,96,79,66,84,93,131,84,172,96,221
Graška Gora,141,132,205,410,407,229,439,242,226,824,168,123
Pesje,394,149,495,174,187,133,184,229,99,60,239,182
Škale,191,253,229,111,265,154,349,207,396,167,309,128
Kovk,686,583,969,954,1429,981,394,90,1806,1173,853,1716
Dobovec,2197,1806,992,617,2910,1370,1246,158,1864,883,357,1334
Kum,286,/,/,/,/,/,1538,29,918,83,85,103
Ravenska vas,407,972,836,676,1378,1205,1010,203,999,744,680,1190
Vnajnarje,80,130,169,187,210,149,160,23,123,232,182,128
EIS Celje,94,72,66,38,39,45,47,27,/,289,/,67
EIS Krško,781,211,1002,596,1010,587,1051,785,681,938,880,1427
