Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana F.,348,466,755,396,667,919,746,67,57,449,80,259
Ljubljana B.,427,387,818,272,1005,793,1593,109,70,1064,97,158
Maribor,142,211,146,107,83,40,85,50,52,80,126,90
Celje,393,307,975,235,129,263,161,138,150,299,350,211
Trbovlje,1806,680,465,736,558,473,413,694,767,679,397,361
Hrastnik,1930,502,1264,560,847,500,325,552,560,425,706,166
Zagorje,914,542,756,611,414,722,642,902,684,637,424,274
Šoštanj,461,553,657,1503,757,685,1121,756,888,1536,1371,139
Topolšica,278,416,1050,790,461,188,282,536,845,643,880,170
Veliki Vrh,853,845,1119,1060,750,460,592,950,1038,668,1720,1196
Zavodnje,1300,2154,1154,997,436,209,472,512,659,1182,877,1294
Velenje,462,87,206,672,114,54,111,39,119,84,324,83
Graška Gora,1579,638,872,1431,977,375,788,433,694,779,801,656
Razbor,816,893,1291,516,707,/,/,/,/,/,/,/
Škale,/,/,/,/,/,449,321,265,393,1100,817,458
Kovk,3000,883,1427,927,1497,1091,1023,1491,949,1039,814,778
Dobovec,6072,1863,3013,836,1304,1865,2387,2432,939,2940,3843,1500
Kum,872,223,1647,864,744,606,931,3640,219,329,2490,1862
Ravenska vas,2578,1239,1279,1059,898,950,2018,1262,1922,732,1373,688
Vnajnarje,317,516,463,397,262,453,469,284,474,602,312,313
EIS Celje,361,214,947,284,116,174,160,118,187,367,246,178
EIS Krško,766,917,828,2687,616,529,678,156,606,288,809,613
