Postaja,Regija,Leto,Mesec,PM10,SO2,NO2,NOX
graska gora,Koroška,1997,Jun,,17.0,,
hrastnik,Zasavska,1997,Jun,,18.0,,
kovk,Zasavska,1997,Jun,,51.0,2.0,3.0
kum,Zasavska,1997,Jun,,12.0,,
ljubljana b.,Osrednjeslovenska,1997,Jun,,36.0,,
ljubljana f.,Osrednjeslovenska,1997,Jun,,20.0,31.0,49.0
maribor,Podravska,1997,Jun,,9.0,34.0,47.0
ravenska vas,Zasavska,1997,Jun,,80.0,,
razbor,Posavska,1997,Jun,,,,
skale,Savinjska,1997,Jun,,12.0,7.0,8.0
sostanj,Savinjska,1997,Jun,,33.0,,
topolsica,Savinjska,1997,Jun,,9.0,,
trbovlje,Zasavska,1997,Jun,,21.0,26.0,44.0
velenje,Savinjska,1997,Jun,,5.0,,
veliki vrh,Savinjska,1997,Jun,,20.0,,
vnajnarje,Osrednjeslovenska,1997,Jun,,14.0,3.0,4.0
zagorje,Zasavska,1997,Jun,,27.0,,
zavodnje,Savinjska,1997,Jun,,14.0,4.0,5.0
celje,Savinjska,1997,Jul,,13.0,,
dobovec,Zasavska,1997,Jul,,58.0,,
eis celje,Savinjska,1997,Jul,,17.0,36.0,
eis krsko,Posavska,1997,Jul,,47.0,,
graska gora,Koroška,1997,Jul,,33.0,,
hrastnik,Zasavska,1997,Jul,,13.0,,
kovk,Zasavska,1997,Jul,,68.0,6.0,7.0
kum,Zasavska,1997,Jul,,31.0,,
ljubljana b.,Osrednjeslovenska,1997,Jul,,48.0,,
ljubljana f.,Osrednjeslovenska,1997,Jul,,24.0,30.0,48.0
maribor,Podravska,1997,Jul,,9.0,30.0,41.0
ravenska vas,Zasavska,1997,Jul,,51.0,,
razbor,Posavska,1997,Jul,,,,
skale,Savinjska,1997,Jul,,15.0,5.0,5.0
sostanj,Savinjska,1997,Jul,,28.0,,
topolsica,Savinjska,1997,Jul,,11.0,,
trbovlje,Zasavska,1997,Jul,,18.0,26.0,44.0
velenje,Savinjska,1997,Jul,,4.0,,
