Postaja,Regija,Leto,Mesec,PM10,SO2,NO2,NOX
kovk,Zasavska,2004,Avg,,61.0,14.0,16.0
kum,Zasavska,2004,Avg,,6.0,,
ljubljana b.,Osrednjeslovenska,2004,Avg,,5.0,18.0,22.0
ljubljana bez.,Osrednjeslovenska,2004,Avg,38.0,,,
maribor,Podravska,2004,Avg,43.0,6.0,28.0,39.0
mo maribor,Podravska,2004,Avg,31.0,,,
murska s.-rakican,Pomurska,2004,Avg,27.0,5.0,9.0,11.0
nova gorica,Goriška,2004,Avg,34.0,3.0,20.0,25.0
pesje,Posavska,2004,Avg,24.0,6.0,,
prapretno,Zasavska,2004,Avg,29.0,,,
ravenska vas,Zasavska,2004,Avg,,34.0,,
skale,Savinjska,2004,Avg,21.0,6.0,4.0,5.0
sostanj,Savinjska,2004,Avg,,16.0,,
sv.mohor,Posavska,2004,Avg,,,2.0,3.0
topolsica,Savinjska,2004,Avg,,3.0,,
trbovlje,Zasavska,2004,Avg,32.0,8.0,22.0,35.0
velenje,Savinjska,2004,Avg,,5.0,,
veliki vrh,Savinjska,2004,Avg,,20.0,,
vnajnarje,Osrednjeslovenska,2004,Avg,,3.0,3.0,4.0
zagorje,Zasavska,2004,Avg,37.0,11.0,,
zavodnje,Savinjska,2004,Avg,,7.0,4.0,5.0
celje,Savinjska,2004,Sep,38.0,6.0,21.0,33.0
dobovec,Zasavska,2004,Sep,,37.0,,
eis celje,Savinjska,2004,Sep,,,,
eis krsko,Posavska,2004,Sep,,21.0,,
eis teb,Savinjska,2004,Sep,,9.0,,
eis-celje,Savinjska,2004,Sep,30.0,,,
graska gora,Koroška,2004,Sep,,6.0,,
hrastnik,Zasavska,2004,Sep,,16.0,,
kovk,Zasavska,2004,Sep,,50.0,6.0,8.0
kum,Zasavska,2004,Sep,,3.0,,
ljubljana b.,Osrednjeslovenska,2004,Sep,,7.0,24.0,34.0
ljubljana bez.,Osrednjeslovenska,2004,Sep,39.0,,,
maribor,Podravska,2004,Sep,43.0,6.0,25.0,43.0
mo maribor,Podravska,2004,Sep,33.0,,,
murska s.-rakican,Pomurska,2004,Sep,29.0,4.0,10.0,13.0
nova gorica,Goriška,2004,Sep,34.0,7.0,20.0,32.0
pesje,Posavska,2004,Sep,24.0,7.0,,
prapretno,Zasavska,2004,Sep,28.0,,,
ravenska vas,Zasavska,2004,Sep,,39.0,,
skale,Savinjska,2004,Sep,22.0,7.0,5.0,7.0
sostanj,Savinjska,2004,Sep,,14.0,,
sv.mohor,Posavska,2004,Sep,,,2.0,4.0
topolsica,Savinjska,2004,Sep,,4.0,,
trbovlje,Zasavska,2004,Sep,40.0,8.0,25.0,46.0
velenje,Savinjska,2004,Sep,,5.0,,
veliki vrh,Savinjska,2004,Sep,,34.0,,
vnajnarje,Osrednjeslovenska,2004,Sep,,10.0,3.0,3.0
zagorje,Zasavska,2004,Sep,40.0,18.0,,
zavodnje,Savinjska,2004,Sep,,5.0,2.0,4.0
celje,Savinjska,2004,Okt,36.0,9.0,20.0,39.0
dobovec,Zasavska,2004,Okt,,12.0,,
eis celje,Savinjska,2004,Okt,,,,
eis krsko,Posavska,2004,Okt,,29.0,,
eis teb,Savinjska,2004,Okt,,10.0,,
eis-celje,Savinjska,2004,Okt,31.0,,,
graska gora,Koroška,2004,Okt,,4.0,,
hrastnik,Zasavska,2004,Okt,,12.0,,
kovk,Zasavska,2004,Okt,,81.0,14.0,19.0
kum,Zasavska,2004,Okt,,2.0,,
ljubljana b.,Osrednjeslovenska,2004,Okt,,5.0,23.0,44.0
ljubljana bez.,Osrednjeslovenska,2004,Okt,36.0,,,
maribor,Podravska,2004,Okt,45.0,8.0,28.0,66.0
mo maribor,Podravska,2004,Okt,35.0,,,
murska s.-rakican,Pomurska,2004,Okt,29.0,4.0,10.0,16.0
nova gorica,Goriška,2004,Okt,33.0,7.0,20.0,43.0
pesje,Posavska,2004,Okt,24.0,4.0,,
prapretno,Zasavska,2004,Okt,25.0,,,
ravenska vas,Zasavska,2004,Okt,,19.0,,
skale,Savinjska,2004,Okt,22.0,7.0,7.0,8.0
sostanj,Savinjska,2004,Okt,,12.0,,
sv.mohor,Posavska,2004,Okt,,,2.0,3.0
topolsica,Savinjska,2004,Okt,,4.0,,
trbovlje,Zasavska,2004,Okt,37.0,6.0,24.0,52.0
velenje,Savinjska,2004,Okt,,4.0,,
veliki vrh,Savinjska,2004,Okt,,27.0,,
vnajnarje,Osrednjeslovenska,2004,Okt,,6.0,,3.0
zagorje,Zasavska,2004,Okt,45.0,6.0,,
zavodnje,Savinjska,2004,Okt,,5.0,2.0,3.0
celje,Savinjska,2004,Nov,25.0,12.0,28.0,62.0
dobovec,Zasavska,2004,Nov,,52.0,,
eis celje,Savinjska,2004,Nov,,4.0,37.0,
eis krsko,Posavska,2004,Nov,,25.0,,
eis teb,Savinjska,2004,Nov,,6.0,,
eis-celje,Savinjska,2004,Nov,36.0,,,
graska gora,Koroška,2004,Nov,,4.0,,
hrastnik,Zasavska,2004,Nov,,14.0,,
kovk,Zasavska,2004,Nov,,65.0,12.0,13.0
kum,Zasavska,2004,Nov,,6.0,,
ljubljana b.,Osrednjeslovenska,2004,Nov,,9.0,31.0,67.0
ljubljana bez.,Osrednjeslovenska,2004,Nov,45.0,,,
maribor,Podravska,2004,Nov,44.0,10.0,33.0,74.0
mo maribor,Podravska,2004,Nov,44.0,,,
murska s.-rakican,Pomurska,2004,Nov,29.0,6.0,13.0,22.0
nova gorica,Goriška,2004,Nov,38.0,10.0,31.0,68.0
pesje,Posavska,2004,Nov,21.0,9.0,,
prapretno,Zasavska,2004,Nov,28.0,,,
ravenska vas,Zasavska,2004,Nov,,49.0,,
skale,Savinjska,2004,Nov,22.0,9.0,12.0,14.0
sostanj,Savinjska,2004,Nov,,9.0,,
sv.mohor,Posavska,2004,Nov,,,5.0,8.0
topolsica,Savinjska,2004,Nov,,4.0,,
trbovlje,Zasavska,2004,Nov,34.0,22.0,22.0,53.0
velenje,Savinjska,2004,Nov,,6.0,,
veliki vrh,Savinjska,2004,Nov,,40.0,,
vnajnarje,Osrednjeslovenska,2004,Nov,,10.0,9.0,10.0
zagorje,Zasavska,2004,Nov,50.0,26.0,,
zavodnje,Savinjska,2004,Nov,,11.0,4.0,7.0
celje,Savinjska,2004,Dec,34.0,21.0,29.0,63.0
dobovec,Zasavska,2004,Dec,,120.0,,
eis celje,Savinjska,2004,Dec,,10.0,,
eis krsko,Posavska,2004,Dec,,21.0,,
eis teb,Savinjska,2004,Dec,,9.0,,
eis-celje,Savinjska,2004,Dec,40.0,,,
graska gora,Koroška,2004,Dec,,10.0,,
hrastnik,Zasavska,2004,Dec,,58.0,,
kovk,Zasavska,2004,Dec,,105.0,31.0,31.0
kum,Zasavska,2004,Dec,,3.0,,
ljubljana b.,Osrednjeslovenska,2004,Dec,,13.0,35.0,82.0
ljubljana bez.,Osrednjeslovenska,2004,Dec,52.0,,,
maribor,Podravska,2004,Dec,49.0,8.0,31.0,72.0
mo maribor,Podravska,2004,Dec,49.0,,,
murska s.-rakican,Pomurska,2004,Dec,41.0,6.0,13.0,22.0
nova gorica,Goriška,2004,Dec,36.0,16.0,37.0,81.0
pesje,Posavska,2004,Dec,29.0,13.0,,
prapretno,Zasavska,2004,Dec,37.0,,,
ravenska vas,Zasavska,2004,Dec,,118.0,,
skale,Savinjska,2004,Dec,31.0,13.0,14.0,21.0
sostanj,Savinjska,2004,Dec,,12.0,,
sv.mohor,Posavska,2004,Dec,,,7.0,9.0
topolsica,Savinjska,2004,Dec,,13.0,,
trbovlje,Zasavska,2004,Dec,82.0,16.0,30.0,81.0
velenje,Savinjska,2004,Dec,,11.0,,
veliki vrh,Savinjska,2004,Dec,,37.0,,
vnajnarje,Osrednjeslovenska,2004,Dec,,16.0,10.0,12.0
zagorje,Zasavska,2004,Dec,63.0,66.0,,
zavodnje,Savinjska,2004,Dec,,15.0,14.0,22.0
celje,Savinjska,2005,Jan,52.0,14.0,37.0,88.0
dobovec,Zasavska,2005,Jan,,66.0,,
eis celje,Savinjska,2005,Jan,,6.0,,
eis krsko,Posavska,2005,Jan,,73.0,,
eis teb,Savinjska,2005,Jan,,7.0,8.0,9.0
eis-celje,Savinjska,2005,Jan,47.0,,,
graska gora,Koroška,2005,Jan,,6.0,,
hrastnik,Zasavska,2005,Jan,,12.0,,
kovk,Zasavska,2005,Jan,,48.0,12.0,11.0
kum,Zasavska,2005,Jan,,10.0,,
ljubljana b.,Osrednjeslovenska,2005,Jan,,8.0,42.0,106.0
ljubljana bez.,Osrednjeslovenska,2005,Jan,60.0,,,
maribor,Podravska,2005,Jan,57.0,11.0,32.0,67.0
mo maribor,Podravska,2005,Jan,50.0,,,
murska s.-rakican,Pomurska,2005,Jan,50.0,6.0,14.0,26.0
nova gorica,Goriška,2005,Jan,40.0,8.0,34.0,69.0
pesje,Posavska,2005,Jan,26.0,8.0,,
prapretno,Zasavska,2005,Jan,21.0,,,
ravenska vas,Zasavska,2005,Jan,,61.0,,
skale,Savinjska,2005,Jan,22.0,8.0,7.0,8.0
sostanj,Savinjska,2005,Jan,,7.0,,
topolsica,Savinjska,2005,Jan,,6.0,,
trbovlje,Zasavska,2005,Jan,72.0,12.0,26.0,52.0
velenje,Savinjska,2005,Jan,,8.0,,
veliki vrh,Savinjska,2005,Jan,,51.0,,
vnajnarje,Osrednjeslovenska,2005,Jan,,9.0,7.0,9.0
zagorje,Zasavska,2005,Jan,70.0,20.0,,
zavodnje,Savinjska,2005,Jan,,14.0,11.0,17.0
celje,Savinjska,2005,Feb,67.0,16.0,43.0,67.0
dobovec,Zasavska,2005,Feb,,25.0,,
eis celje,Savinjska,2005,Feb,,7.0,,
eis krsko,Posavska,2005,Feb,,21.0,,
eis teb,Savinjska,2005,Feb,,14.0,,4.0
eis-celje,Savinjska,2005,Feb,57.0,,,
graska gora,Koroška,2005,Feb,,9.0,,
hrastnik,Zasavska,2005,Feb,,15.0,,
kovk,Zasavska,2005,Feb,,31.0,10.0,10.0
kum,Zasavska,2005,Feb,,9.0,,
ljubljana b.,Osrednjeslovenska,2005,Feb,,15.0,35.0,47.0
ljubljana bez.,Osrednjeslovenska,2005,Feb,50.0,,,
maribor,Podravska,2005,Feb,60.0,14.0,40.0,66.0
mo maribor,Podravska,2005,Feb,60.0,,,
murska s.-rakican,Pomurska,2005,Feb,63.0,12.0,23.0,33.0
nova gorica,Goriška,2005,Feb,37.0,9.0,32.0,53.0
pesje,Posavska,2005,Feb,38.0,11.0,,
prapretno,Zasavska,2005,Feb,30.0,,,
ravenska vas,Zasavska,2005,Feb,,191.0,,
skale,Savinjska,2005,Feb,31.0,12.0,9.0,10.0
sostanj,Savinjska,2005,Feb,,10.0,,
topolsica,Savinjska,2005,Feb,,7.0,,
trbovlje,Zasavska,2005,Feb,76.0,20.0,27.0,40.0
velenje,Savinjska,2005,Feb,,7.0,,
veliki vrh,Savinjska,2005,Feb,,35.0,,
vnajnarje,Osrednjeslovenska,2005,Feb,,22.0,5.0,7.0
zagorje,Zasavska,2005,Feb,71.0,36.0,,
zavodnje,Savinjska,2005,Feb,,15.0,8.0,12.0
celje,Savinjska,2005,Mar,59.0,13.0,43.0,61.0
dobovec,Zasavska,2005,Mar,,28.0,,
eis celje,Savinjska,2005,Mar,,5.0,,
eis krsko,Posavska,2005,Mar,,59.0,,
eis teb,Savinjska,2005,Mar,,15.0,,5.0
eis-celje,Savinjska,2005,Mar,51.0,,,
graska gora,Koroška,2005,Mar,,9.0,,
hrastnik,Zasavska,2005,Mar,,17.0,,
kovk,Zasavska,2005,Mar,,62.0,16.0,16.0
kum,Zasavska,2005,Mar,,14.0,,
ljubljana b.,Osrednjeslovenska,2005,Mar,,11.0,35.0,42.0
ljubljana bez.,Osrednjeslovenska,2005,Mar,48.0,,,
maribor,Podravska,2005,Mar,61.0,10.0,43.0,65.0
mo maribor,Podravska,2005,Mar,58.0,,,
murska s.-rakican,Pomurska,2005,Mar,52.0,9.0,17.0,20.0
nova gorica,Goriška,2005,Mar,43.0,12.0,34.0,50.0
pesje,Posavska,2005,Mar,40.0,9.0,,
prapretno,Zasavska,2005,Mar,32.0,,,
ravenska vas,Zasavska,2005,Mar,,98.0,,
skale,Savinjska,2005,Mar,32.0,12.0,5.0,6.0
sostanj,Savinjska,2005,Mar,,14.0,,
topolsica,Savinjska,2005,Mar,,7.0,,
trbovlje,Zasavska,2005,Mar,74.0,25.0,33.0,46.0
velenje,Savinjska,2005,Mar,,6.0,,
veliki vrh,Savinjska,2005,Mar,,24.0,,
vnajnarje,Osrednjeslovenska,2005,Mar,,11.0,4.0,6.0
zagorje,Zasavska,2005,Mar,77.0,23.0,,
zavodnje,Savinjska,2005,Mar,,10.0,4.0,5.0
celje,Savinjska,2005,Apr,39.0,5.0,18.0,24.0
dobovec,Zasavska,2005,Apr,,4.0,,
eis celje,Savinjska,2005,Apr,,1.0,,
eis krsko,Posavska,2005,Apr,,44.0,,
eis teb,Savinjska,2005,Apr,,12.0,3.0,4.0
eis-celje,Savinjska,2005,Apr,28.0,,,
graska gora,Koroška,2005,Apr,,7.0,,
hrastnik,Zasavska,2005,Apr,,8.0,,
kovk,Zasavska,2005,Apr,,17.0,9.0,10.0
kum,Zasavska,2005,Apr,,1.0,,
ljubljana b.,Osrednjeslovenska,2005,Apr,,4.0,24.0,28.0
ljubljana bez.,Osrednjeslovenska,2005,Apr,28.0,,,
maribor,Podravska,2005,Apr,34.0,7.0,30.0,42.0
mo maribor,Podravska,2005,Apr,35.0,,,
murska s.-rakican,Pomurska,2005,Apr,28.0,5.0,13.0,16.0
nova gorica,Goriška,2005,Apr,32.0,9.0,21.0,31.0
pesje,Posavska,2005,Apr,23.0,5.0,,
prapretno,Zasavska,2005,Apr,29.0,,,
ravenska vas,Zasavska,2005,Apr,,34.0,,
skale,Savinjska,2005,Apr,21.0,9.0,3.0,4.0
sostanj,Savinjska,2005,Apr,,17.0,,
topolsica,Savinjska,2005,Apr,,3.0,,
trbovlje,Zasavska,2005,Apr,54.0,9.0,22.0,29.0
velenje,Savinjska,2005,Apr,,4.0,,
veliki vrh,Savinjska,2005,Apr,,24.0,,
vnajnarje,Osrednjeslovenska,2005,Apr,,5.0,3.0,4.0
zagorje,Zasavska,2005,Apr,43.0,7.0,,
zavodnje,Savinjska,2005,Apr,,8.0,2.0,3.0
celje,Savinjska,2005,Maj,35.0,6.0,17.0,22.0
dobovec,Zasavska,2005,Maj,,1.0,,
eis celje,Savinjska,2005,Maj,,1.0,43.0,
eis krsko,Posavska,2005,Maj,,63.0,,
eis teb,Savinjska,2005,Maj,,,4.0,6.0
eis-celje,Savinjska,2005,Maj,24.0,,,
graska gora,Koroška,2005,Maj,,4.0,,
hrastnik,Zasavska,2005,Maj,,4.0,,
kovk,Zasavska,2005,Maj,,3.0,,10.0
kum,Zasavska,2005,Maj,,1.0,,
ljubljana b.,Osrednjeslovenska,2005,Maj,,2.0,19.0,22.0
ljubljana bez.,Osrednjeslovenska,2005,Maj,25.0,,,
maribor,Podravska,2005,Maj,31.0,5.0,32.0,46.0
mo maribor,Podravska,2005,Maj,33.0,,,
murska s.-rakican,Pomurska,2005,Maj,23.0,4.0,9.0,12.0
nova gorica,Goriška,2005,Maj,29.0,7.0,21.0,27.0
pesje,Posavska,2005,Maj,21.0,3.0,,
prapretno,Zasavska,2005,Maj,28.0,,,
ravenska vas,Zasavska,2005,Maj,,18.0,,
skale,Savinjska,2005,Maj,18.0,7.0,1.0,2.0
sostanj,Savinjska,2005,Maj,,8.0,,
topolsica,Savinjska,2005,Maj,,3.0,,
trbovlje,Zasavska,2005,Maj,50.0,9.0,24.0,32.0
velenje,Savinjska,2005,Maj,,3.0,,
veliki vrh,Savinjska,2005,Maj,,11.0,,
vnajnarje,Osrednjeslovenska,2005,Maj,,3.0,2.0,3.0
zagorje,Zasavska,2005,Maj,37.0,4.0,,
zavodnje,Savinjska,2005,Maj,,8.0,1.0,2.0
celje,Savinjska,2005,Jun,33.0,5.0,16.0,18.0
dobovec,Zasavska,2005,Jun,,22.0,,
eis celje,Savinjska,2005,Jun,,0.0,32.0,
eis krsko,Posavska,2005,Jun,,30.0,,
eis teb,Savinjska,2005,Jun,,,2.0,3.0
eis-celje,Savinjska,2005,Jun,22.0,,,
graska gora,Koroška,2005,Jun,,6.0,,
hrastnik,Zasavska,2005,Jun,,8.0,,
kovk,Zasavska,2005,Jun,,36.0,10.0,11.0
kum,Zasavska,2005,Jun,,5.0,,
ljubljana b.,Osrednjeslovenska,2005,Jun,,2.0,26.0,31.0
ljubljana bez.,Osrednjeslovenska,2005,Jun,26.0,,,
maribor,Podravska,2005,Jun,26.0,4.0,28.0,39.0
mo maribor,Podravska,2005,Jun,32.0,,,
murska s.-rakican,Pomurska,2005,Jun,26.0,2.0,12.0,14.0
nova gorica,Goriška,2005,Jun,28.0,6.0,18.0,22.0
pesje,Posavska,2005,Jun,21.0,4.0,,
prapretno,Zasavska,2005,Jun,30.0,,,
ravenska vas,Zasavska,2005,Jun,,25.0,,
skale,Savinjska,2005,Jun,19.0,8.0,1.0,2.0
sostanj,Savinjska,2005,Jun,,10.0,,
topolsica,Savinjska,2005,Jun,,5.0,,
trbovlje,Zasavska,2005,Jun,47.0,10.0,24.0,33.0
velenje,Savinjska,2005,Jun,,3.0,,
veliki vrh,Savinjska,2005,Jun,,19.0,,
vnajnarje,Osrednjeslovenska,2005,Jun,,3.0,3.0,4.0
zagorje,Zasavska,2005,Jun,40.0,5.0,,
zavodnje,Savinjska,2005,Jun,,9.0,2.0,2.0
celje,Savinjska,2005,Jul,31.0,3.0,16.0,17.0
dobovec,Zasavska,2005,Jul,,40.0,,
eis celje,Savinjska,2005,Jul,,1.0,31.0,
eis krsko,Posavska,2005,Jul,,26.0,,
eis teb,Savinjska,2005,Jul,,15.0,,2.0
eis-celje,Savinjska,2005,Jul,27.0,,,
graska gora,Koroška,2005,Jul,,5.0,,
hrastnik,Zasavska,2005,Jul,,8.0,,
kovk,Zasavska,2005,Jul,,45.0,9.0,11.0
kum,Zasavska,2005,Jul,,8.0,,
ljubljana b.,Osrednjeslovenska,2005,Jul,,3.0,22.0,26.0
ljubljana bez.,Osrednjeslovenska,2005,Jul,26.0,,,
maribor,Podravska,2005,Jul,34.0,4.0,25.0,37.0
mo maribor,Podravska,2005,Jul,33.0,,,
murska s.-rakican,Pomurska,2005,Jul,25.0,4.0,10.0,12.0
nova gorica,Goriška,2005,Jul,34.0,7.0,16.0,20.0
pesje,Posavska,2005,Jul,22.0,6.0,,
prapretno,Zasavska,2005,Jul,29.0,,,
ravenska vas,Zasavska,2005,Jul,,16.0,,
skale,Savinjska,2005,Jul,20.0,9.0,0.0,1.0
sostanj,Savinjska,2005,Jul,,14.0,,
topolsica,Savinjska,2005,Jul,,6.0,,
trbovlje,Zasavska,2005,Jul,43.0,16.0,20.0,27.0
velenje,Savinjska,2005,Jul,,4.0,,
veliki vrh,Savinjska,2005,Jul,,28.0,,
vnajnarje,Osrednjeslovenska,2005,Jul,,5.0,3.0,4.0
zagorje,Zasavska,2005,Jul,45.0,5.0,,
zavodnje,Savinjska,2005,Jul,,17.0,1.0,2.0
celje,Savinjska,2005,Avg,28.0,5.0,15.0,18.0
dobovec,Zasavska,2005,Avg,,43.0,,
eis celje,Savinjska,2005,Avg,,0.0,29.0,
eis krsko,Posavska,2005,Avg,,16.0,,
eis teb,Savinjska,2005,Avg,,,1.0,2.0
eis-celje,Savinjska,2005,Avg,21.0,,,
graska gora,Koroška,2005,Avg,,7.0,,
hrastnik,Zasavska,2005,Avg,,13.0,,
kovk,Zasavska,2005,Avg,,40.0,8.0,10.0
kum,Zasavska,2005,Avg,,15.0,,
ljubljana b.,Osrednjeslovenska,2005,Avg,,2.0,20.0,25.0
ljubljana bez.,Osrednjeslovenska,2005,Avg,20.0,,,
maribor,Podravska,2005,Avg,27.0,4.0,24.0,39.0
mo maribor,Podravska,2005,Avg,29.0,,,
murska s.-rakican,Pomurska,2005,Avg,22.0,4.0,10.0,12.0
nova gorica,Goriška,2005,Avg,26.0,4.0,13.0,19.0
pesje,Posavska,2005,Avg,18.0,4.0,,
prapretno,Zasavska,2005,Avg,22.0,,,
ravenska vas,Zasavska,2005,Avg,,15.0,,
skale,Savinjska,2005,Avg,13.0,8.0,0.0,1.0
sostanj,Savinjska,2005,Avg,,9.0,,
topolsica,Savinjska,2005,Avg,,4.0,,
trbovlje,Zasavska,2005,Avg,35.0,9.0,19.0,30.0
velenje,Savinjska,2005,Avg,,3.0,,
veliki vrh,Savinjska,2005,Avg,,43.0,,
vnajnarje,Osrednjeslovenska,2005,Avg,,5.0,2.0,2.0
zagorje,Zasavska,2005,Avg,35.0,9.0,,
zavodnje,Savinjska,2005,Avg,,13.0,1.0,2.0
celje,Savinjska,2005,Sep,35.0,7.0,15.0,26.0
dobovec,Zasavska,2005,Sep,,24.0,,
eis celje,Savinjska,2005,Sep,,0.0,36.0,
eis krsko,Posavska,2005,Sep,,24.0,,
eis teb,Savinjska,2005,Sep,,,3.0,4.0
eis-celje,Savinjska,2005,Sep,28.0,,,
graska gora,Koroška,2005,Sep,,8.0,,
hrastnik,Zasavska,2005,Sep,,10.0,,
kovk,Zasavska,2005,Sep,,39.0,8.0,10.0
kum,Zasavska,2005,Sep,,4.0,,
ljubljana b.,Osrednjeslovenska,2005,Sep,,3.0,22.0,35.0
ljubljana bez.,Osrednjeslovenska,2005,Sep,26.0,,,
maribor,Podravska,2005,Sep,32.0,7.0,26.0,50.0
mo maribor,Podravska,2005,Sep,38.0,,,
murska s.-rakican,Pomurska,2005,Sep,28.0,2.0,11.0,14.0
nova gorica,Goriška,2005,Sep,33.0,5.0,20.0,33.0
pesje,Posavska,2005,Sep,26.0,5.0,,
prapretno,Zasavska,2005,Sep,25.0,,,
ravenska vas,Zasavska,2005,Sep,,17.0,,
skale,Savinjska,2005,Sep,20.0,10.0,0.0,1.0
sostanj,Savinjska,2005,Sep,,19.0,,
topolsica,Savinjska,2005,Sep,,7.0,,
trbovlje,Zasavska,2005,Sep,41.0,19.0,17.0,32.0
velenje,Savinjska,2005,Sep,,3.0,,
veliki vrh,Savinjska,2005,Sep,,38.0,,
vnajnarje,Osrednjeslovenska,2005,Sep,,8.0,2.0,3.0
zagorje,Zasavska,2005,Sep,42.0,13.0,,
zavodnje,Savinjska,2005,Sep,,17.0,1.0,2.0
celje,Savinjska,2005,Okt,45.0,7.0,26.0,49.0
dobovec,Zasavska,2005,Okt,,14.0,,
eis celje,Savinjska,2005,Okt,,,,
eis krsko,Posavska,2005,Okt,,32.0,,
eis teb,Savinjska,2005,Okt,,5.0,,4.0
eis-celje,Savinjska,2005,Okt,54.0,,,
graska gora,Koroška,2005,Okt,,3.0,,
hrastnik,Zasavska,2005,Okt,,10.0,,
kovk,Zasavska,2005,Okt,,32.0,10.0,11.0
kum,Zasavska,2005,Okt,,3.0,,
ljubljana b.,Osrednjeslovenska,2005,Okt,,4.0,23.0,45.0
ljubljana bez.,Osrednjeslovenska,2005,Okt,44.0,,,
maribor,Podravska,2005,Okt,57.0,12.0,27.0,59.0
mo maribor,Podravska,2005,Okt,58.0,,,
murska s.-rakican,Pomurska,2005,Okt,43.0,3.0,15.0,22.0
nova gorica,Goriška,2005,Okt,38.0,7.0,24.0,45.0
pesje,Posavska,2005,Okt,31.0,4.0,,
prapretno,Zasavska,2005,Okt,36.0,,,
ravenska vas,Zasavska,2005,Okt,,17.0,,
skale,Savinjska,2005,Okt,30.0,6.0,4.0,8.0
sostanj,Savinjska,2005,Okt,,5.0,,
topolsica,Savinjska,2005,Okt,,4.0,,
trbovlje,Zasavska,2005,Okt,59.0,17.0,25.0,57.0
velenje,Savinjska,2005,Okt,,4.0,,
veliki vrh,Savinjska,2005,Okt,,32.0,,
vnajnarje,Osrednjeslovenska,2005,Okt,,10.0,3.0,4.0
zagorje,Zasavska,2005,Okt,58.0,11.0,,
zavodnje,Savinjska,2005,Okt,,11.0,2.0,4.0
celje,Savinjska,2005,Nov,42.0,10.0,33.0,60.0
dobovec,Zasavska,2005,Nov,,6.0,,
eis celje,Savinjska,2005,Nov,,,48.0,
eis krsko,Posavska,2005,Nov,,10.0,,
eis teb,Savinjska,2005,Nov,,,,7.0
eis-celje,Savinjska,2005,Nov,52.0,,,
graska gora,Koroška,2005,Nov,,6.0,,
hrastnik,Zasavska,2005,Nov,,11.0,,
kovk,Zasavska,2005,Nov,,13.0,14.0,20.0
kum,Zasavska,2005,Nov,,1.0,,
ljubljana b.,Osrednjeslovenska,2005,Nov,,4.0,28.0,66.0
ljubljana bez.,Osrednjeslovenska,2005,Nov,36.0,,,
maribor,Podravska,2005,Nov,51.0,9.0,39.0,100.0
mo maribor,Podravska,2005,Nov,53.0,,,
murska s.-rakican,Pomurska,2005,Nov,43.0,5.0,20.0,28.0
nova gorica,Goriška,2005,Nov,32.0,5.0,22.0,52.0
pesje,Posavska,2005,Nov,28.0,5.0,,
prapretno,Zasavska,2005,Nov,29.0,,,
ravenska vas,Zasavska,2005,Nov,,11.0,,
skale,Savinjska,2005,Nov,19.0,7.0,17.0,18.0
sostanj,Savinjska,2005,Nov,,8.0,,
topolsica,Savinjska,2005,Nov,,5.0,,
trbovlje,Zasavska,2005,Nov,46.0,12.0,24.0,50.0
velenje,Savinjska,2005,Nov,,5.0,,
veliki vrh,Savinjska,2005,Nov,,39.0,,
vnajnarje,Osrednjeslovenska,2005,Nov,,5.0,4.0,5.0
zagorje,Zasavska,2005,Nov,49.0,7.0,,
zavodnje,Savinjska,2005,Nov,,10.0,3.0,5.0
celje,Savinjska,2005,Dec,44.0,13.0,39.0,82.0
dobovec,Zasavska,2005,Dec,,2.0,,
eis celje,Savinjska,2005,Dec,,4.0,60.0,
eis krsko,Posavska,2005,Dec,,32.0,,
eis teb,Savinjska,2005,Dec,,,,6.0
eis-celje,Savinjska,2005,Dec,57.0,,,
graska gora,Koroška,2005,Dec,,6.0,,
hrastnik,Zasavska,2005,Dec,,10.0,,
kovk,Zasavska,2005,Dec,,5.0,11.0,12.0
kum,Zasavska,2005,Dec,,1.0,,
ljubljana b.,Osrednjeslovenska,2005,Dec,,8.0,40.0,96.0
ljubljana bez.,Osrednjeslovenska,2005,Dec,48.0,,,
maribor,Podravska,2005,Dec,39.0,7.0,47.0,96.0
mo maribor,Podravska,2005,Dec,39.0,,,
murska s.-rakican,Pomurska,2005,Dec,41.0,6.0,18.0,38.0
nova gorica,Goriška,2005,Dec,34.0,6.0,30.0,75.0
pesje,Posavska,2005,Dec,21.0,3.0,,
prapretno,Zasavska,2005,Dec,27.0,,,
ravenska vas,Zasavska,2005,Dec,,15.0,,
skale,Savinjska,2005,Dec,17.0,5.0,15.0,17.0
sostanj,Savinjska,2005,Dec,,5.0,,
topolsica,Savinjska,2005,Dec,,3.0,,
trbovlje,Zasavska,2005,Dec,58.0,16.0,25.0,56.0
velenje,Savinjska,2005,Dec,,4.0,,
veliki vrh,Savinjska,2005,Dec,,47.0,,
vnajnarje,Osrednjeslovenska,2005,Dec,,6.0,11.0,13.0
zagorje,Zasavska,2005,Dec,62.0,8.0,,
zavodnje,Savinjska,2005,Dec,,15.0,5.0,7.0
celje,Savinjska,2006,Jan,75.0,13.0,51.0,94.0
dobovec,Zasavska,2006,Jan,,8.0,,
eis celje,Savinjska,2006,Jan,,4.0,,
eis krsko,Posavska,2006,Jan,,17.0,,
eis teb,Savinjska,2006,Jan,,29.0,,
eis teb (sv.mohor),Savinjska,2006,Jan,,,7.0,8.0
eis-celje,Savinjska,2006,Jan,90.0,,,
graska gora,Koroška,2006,Jan,,9.0,,
hrastnik,Zasavska,2006,Jan,,15.0,,
