Postaja,Regija,Datum,SO2
ljubljana f.,Osrednjeslovenska,1998-07-31,13
ljubljana b.,Osrednjeslovenska,1998-07-31,23
vnajnarje,Osrednjeslovenska,1998-07-31,23
maribor,Podravska,1998-07-31,11
eis krsko,Posavska,1998-07-31,89
celje,Savinjska,1998-07-31,24
sostanj,Savinjska,1998-07-31,116
topolsica,Savinjska,1998-07-31,36
veliki vrh,Savinjska,1998-07-31,104
zavodnje,Savinjska,1998-07-31,84
velenje,Savinjska,1998-07-31,36
skale,Savinjska,1998-07-31,38
eis celje,Savinjska,1998-07-31,26
skale,Savinjska,1998-07-31,13
trbovlje,Zasavska,1998-07-31,45
hrastnik,Zasavska,1998-07-31,95
zagorje,Zasavska,1998-07-31,52
kovk,Zasavska,1998-07-31,273
dobovec,Zasavska,1998-07-31,307
kum,Zasavska,1998-07-31,85
ravenska vas,Zasavska,1998-07-31,211
graska gora,Koroška,1998-08-31,76
ljubljana f.,Osrednjeslovenska,1998-08-31,33
ljubljana b.,Osrednjeslovenska,1998-08-31,24
vnajnarje,Osrednjeslovenska,1998-08-31,37
maribor,Podravska,1998-08-31,19
eis krsko,Posavska,1998-08-31,79
celje,Savinjska,1998-08-31,23
sostanj,Savinjska,1998-08-31,77
topolsica,Savinjska,1998-08-31,42
veliki vrh,Savinjska,1998-08-31,110
zavodnje,Savinjska,1998-08-31,142
velenje,Savinjska,1998-08-31,31
skale,Savinjska,1998-08-31,24
eis celje,Savinjska,1998-08-31,19
skale,Savinjska,1998-08-31,17
trbovlje,Zasavska,1998-08-31,88
hrastnik,Zasavska,1998-08-31,51
zagorje,Zasavska,1998-08-31,140
kovk,Zasavska,1998-08-31,87
dobovec,Zasavska,1998-08-31,326
kum,Zasavska,1998-08-31,25
ravenska vas,Zasavska,1998-08-31,331
graska gora,Koroška,1998-09-30,129
ljubljana f.,Osrednjeslovenska,1998-09-30,15
ljubljana b.,Osrednjeslovenska,1998-09-30,19
vnajnarje,Osrednjeslovenska,1998-09-30,31
maribor,Podravska,1998-09-30,17
eis krsko,Posavska,1998-09-30,43
celje,Savinjska,1998-09-30,37
sostanj,Savinjska,1998-09-30,346
topolsica,Savinjska,1998-09-30,88
veliki vrh,Savinjska,1998-09-30,101
zavodnje,Savinjska,1998-09-30,96
velenje,Savinjska,1998-09-30,21
skale,Savinjska,1998-09-30,50
eis celje,Savinjska,1998-09-30,-
skale,Savinjska,1998-09-30,17
trbovlje,Zasavska,1998-09-30,56
hrastnik,Zasavska,1998-09-30,89
zagorje,Zasavska,1998-09-30,65
kovk,Zasavska,1998-09-30,242
dobovec,Zasavska,1998-09-30,257
kum,Zasavska,1998-09-30,50
ravenska vas,Zasavska,1998-09-30,293
graska gora,Koroška,1998-10-31,268
ljubljana f.,Osrednjeslovenska,1998-10-31,85
ljubljana b.,Osrednjeslovenska,1998-10-31,65
vnajnarje,Osrednjeslovenska,1998-10-31,51
maribor,Podravska,1998-10-31,34
eis krsko,Posavska,1998-10-31,56
celje,Savinjska,1998-10-31,52
sostanj,Savinjska,1998-10-31,146
topolsica,Savinjska,1998-10-31,40
veliki vrh,Savinjska,1998-10-31,181
zavodnje,Savinjska,1998-10-31,146
velenje,Savinjska,1998-10-31,21
skale,Savinjska,1998-10-31,100
eis celje,Savinjska,1998-10-31,40
skale,Savinjska,1998-10-31,55
trbovlje,Zasavska,1998-10-31,57
hrastnik,Zasavska,1998-10-31,117
zagorje,Zasavska,1998-10-31,45
kovk,Zasavska,1998-10-31,153
dobovec,Zasavska,1998-10-31,528
kum,Zasavska,1998-10-31,42
ravenska vas,Zasavska,1998-10-31,192
graska gora,Koroška,1998-11-30,126
ljubljana f.,Osrednjeslovenska,1998-11-30,104
ljubljana b.,Osrednjeslovenska,1998-11-30,100
vnajnarje,Osrednjeslovenska,1998-11-30,126
maribor,Podravska,1998-11-30,39
eis krsko,Posavska,1998-11-30,60
celje,Savinjska,1998-11-30,89
sostanj,Savinjska,1998-11-30,363
topolsica,Savinjska,1998-11-30,127
veliki vrh,Savinjska,1998-11-30,304
zavodnje,Savinjska,1998-11-30,150
velenje,Savinjska,1998-11-30,75
skale,Savinjska,1998-11-30,106
eis celje,Savinjska,1998-11-30,81
skale,Savinjska,1998-11-30,75
trbovlje,Zasavska,1998-11-30,99
hrastnik,Zasavska,1998-11-30,99
zagorje,Zasavska,1998-11-30,101
kovk,Zasavska,1998-11-30,124
dobovec,Zasavska,1998-11-30,577
kum,Zasavska,1998-11-30,103
ravenska vas,Zasavska,1998-11-30,274
graska gora,Koroška,1998-12-31,102
ljubljana f.,Osrednjeslovenska,1998-12-31,31
ljubljana b.,Osrednjeslovenska,1998-12-31,84
vnajnarje,Osrednjeslovenska,1998-12-31,75
maribor,Podravska,1998-12-31,69
eis krsko,Posavska,1998-12-31,139
celje,Savinjska,1998-12-31,117
sostanj,Savinjska,1998-12-31,164
topolsica,Savinjska,1998-12-31,184
veliki vrh,Savinjska,1998-12-31,276
zavodnje,Savinjska,1998-12-31,401
velenje,Savinjska,1998-12-31,11
skale,Savinjska,1998-12-31,140
eis celje,Savinjska,1998-12-31,118
skale,Savinjska,1998-12-31,83
trbovlje,Zasavska,1998-12-31,116
hrastnik,Zasavska,1998-12-31,123
zagorje,Zasavska,1998-12-31,68
kovk,Zasavska,1998-12-31,150
dobovec,Zasavska,1998-12-31,499
kum,Zasavska,1998-12-31,63
ravenska vas,Zasavska,1998-12-31,283
graska gora,Koroška,1999-01-31,190.0
ljubljana f.,Osrednjeslovenska,1999-01-31,35.0
ljubljana b.,Osrednjeslovenska,1999-01-31,68.0
vnajnarje,Osrednjeslovenska,1999-01-31,66.0
maribor,Podravska,1999-01-31,61.0
eis krsko,Posavska,1999-01-31,109.0
celje,Savinjska,1999-01-31,103.0
sostanj,Savinjska,1999-01-31,192.0
topolsica,Savinjska,1999-01-31,163.0
veliki vrh,Savinjska,1999-01-31,556.0
zavodnje,Savinjska,1999-01-31,352.0
velenje,Savinjska,1999-01-31,212.0
skale,Savinjska,1999-01-31,293.0
eis celje,Savinjska,1999-01-31,116.0
trbovlje,Zasavska,1999-01-31,342.0
hrastnik,Zasavska,1999-01-31,383.0
zagorje,Zasavska,1999-01-31,398.0
kovk,Zasavska,1999-01-31,816.0
dobovec,Zasavska,1999-01-31,998.0
kum,Zasavska,1999-01-31,36.0
ravenska vas,Zasavska,1999-01-31,960.0
graska gora,Koroška,1999-02-28,152.0
ljubljana f.,Osrednjeslovenska,1999-02-28,42.0
ljubljana b.,Osrednjeslovenska,1999-02-28,76.0
vnajnarje,Osrednjeslovenska,1999-02-28,33.0
maribor,Podravska,1999-02-28,62.0
eis krsko,Posavska,1999-02-28,257.0
celje,Savinjska,1999-02-28,57.0
sostanj,Savinjska,1999-02-28,252.0
topolsica,Savinjska,1999-02-28,184.0
veliki vrh,Savinjska,1999-02-28,226.0
