Postaja,Regija,Leto,Mesec,Snov,Vrednost
razbor,Posavska,1997,Mar,NOX,9.0
skale,Savinjska,1997,Mar,NOX,
kovk,Zasavska,1997,Mar,NOX,1.0
vnajnarje,Osrednjeslovenska,1997,Mar,NOX,5.0
ljubljana f.,Osrednjeslovenska,1997,Apr,SO2,20.0
ljubljana b.,Osrednjeslovenska,1997,Apr,SO2,30.0
maribor,Podravska,1997,Apr,SO2,20.0
celje,Savinjska,1997,Apr,SO2,24.0
trbovlje,Zasavska,1997,Apr,SO2,37.0
hrastnik,Zasavska,1997,Apr,SO2,22.0
zagorje,Zasavska,1997,Apr,SO2,37.0
sostanj,Savinjska,1997,Apr,SO2,34.0
topolsica,Savinjska,1997,Apr,SO2,22.0
veliki vrh,Savinjska,1997,Apr,SO2,56.0
zavodnje,Savinjska,1997,Apr,SO2,31.0
velenje,Savinjska,1997,Apr,SO2,10.0
graska gora,Koroška,1997,Apr,SO2,37.0
razbor,Posavska,1997,Apr,SO2,26.0
skale,Savinjska,1997,Apr,SO2,
kovk,Zasavska,1997,Apr,SO2,70.0
dobovec,Zasavska,1997,Apr,SO2,37.0
kum,Zasavska,1997,Apr,SO2,31.0
ravenska vas,Zasavska,1997,Apr,SO2,87.0
vnajnarje,Osrednjeslovenska,1997,Apr,SO2,15.0
eis celje,Savinjska,1997,Apr,SO2,25.0
eis krsko,Posavska,1997,Apr,SO2,81.0
ljubljana f.,Osrednjeslovenska,1997,Apr,NO2,31.0
maribor,Podravska,1997,Apr,NO2,34.0
celje,Savinjska,1997,Apr,NO2,
trbovlje,Zasavska,1997,Apr,NO2,27.0
zavodnje,Savinjska,1997,Apr,NO2,6.0
razbor,Posavska,1997,Apr,NO2,6.0
skale,Savinjska,1997,Apr,NO2,
kovk,Zasavska,1997,Apr,NO2,0.0
vnajnarje,Osrednjeslovenska,1997,Apr,NO2,4.0
eis celje,Savinjska,1997,Apr,NO2,37.0
ljubljana f.,Osrednjeslovenska,1997,Apr,NOX,45.0
maribor,Podravska,1997,Apr,NOX,46.0
celje,Savinjska,1997,Apr,NOX,
trbovlje,Zasavska,1997,Apr,NOX,50.0
zavodnje,Savinjska,1997,Apr,NOX,7.0
razbor,Posavska,1997,Apr,NOX,7.0
skale,Savinjska,1997,Apr,NOX,
kovk,Zasavska,1997,Apr,NOX,0.0
vnajnarje,Osrednjeslovenska,1997,Apr,NOX,4.0
ljubljana f.,Osrednjeslovenska,1997,Maj,SO2,20.0
ljubljana b.,Osrednjeslovenska,1997,Maj,SO2,30.0
maribor,Podravska,1997,Maj,SO2,15.0
celje,Savinjska,1997,Maj,SO2,16.0
trbovlje,Zasavska,1997,Maj,SO2,21.0
hrastnik,Zasavska,1997,Maj,SO2,19.0
zagorje,Zasavska,1997,Maj,SO2,25.0
sostanj,Savinjska,1997,Maj,SO2,46.0
topolsica,Savinjska,1997,Maj,SO2,16.0
veliki vrh,Savinjska,1997,Maj,SO2,35.0
zavodnje,Savinjska,1997,Maj,SO2,26.0
velenje,Savinjska,1997,Maj,SO2,7.0
graska gora,Koroška,1997,Maj,SO2,45.0
razbor,Posavska,1997,Maj,SO2,27.0
skale,Savinjska,1997,Maj,SO2,
kovk,Zasavska,1997,Maj,SO2,106.0
dobovec,Zasavska,1997,Maj,SO2,41.0
kum,Zasavska,1997,Maj,SO2,20.0
ravenska vas,Zasavska,1997,Maj,SO2,62.0
vnajnarje,Osrednjeslovenska,1997,Maj,SO2,15.0
eis celje,Savinjska,1997,Maj,SO2,18.0
eis krsko,Posavska,1997,Maj,SO2,58.0
ljubljana f.,Osrednjeslovenska,1997,Maj,NO2,35.0
maribor,Podravska,1997,Maj,NO2,36.0
celje,Savinjska,1997,Maj,NO2,
trbovlje,Zasavska,1997,Maj,NO2,26.0
zavodnje,Savinjska,1997,Maj,NO2,4.0
razbor,Posavska,1997,Maj,NO2,6.0
skale,Savinjska,1997,Maj,NO2,
kovk,Zasavska,1997,Maj,NO2,0.0
vnajnarje,Osrednjeslovenska,1997,Maj,NO2,4.0
eis celje,Savinjska,1997,Maj,NO2,42.0
ljubljana f.,Osrednjeslovenska,1997,Maj,NOX,54.0
maribor,Podravska,1997,Maj,NOX,47.0
celje,Savinjska,1997,Maj,NOX,
trbovlje,Zasavska,1997,Maj,NOX,42.0
zavodnje,Savinjska,1997,Maj,NOX,6.0
razbor,Posavska,1997,Maj,NOX,6.0
skale,Savinjska,1997,Maj,NOX,
kovk,Zasavska,1997,Maj,NOX,1.0
vnajnarje,Osrednjeslovenska,1997,Maj,NOX,3.0
ljubljana f.,Osrednjeslovenska,1997,Jun,SO2,20.0
ljubljana b.,Osrednjeslovenska,1997,Jun,SO2,36.0
maribor,Podravska,1997,Jun,SO2,9.0
celje,Savinjska,1997,Jun,SO2,7.0
trbovlje,Zasavska,1997,Jun,SO2,21.0
hrastnik,Zasavska,1997,Jun,SO2,18.0
zagorje,Zasavska,1997,Jun,SO2,27.0
sostanj,Savinjska,1997,Jun,SO2,33.0
topolsica,Savinjska,1997,Jun,SO2,9.0
veliki vrh,Savinjska,1997,Jun,SO2,20.0
zavodnje,Savinjska,1997,Jun,SO2,14.0
velenje,Savinjska,1997,Jun,SO2,5.0
graska gora,Koroška,1997,Jun,SO2,17.0
razbor,Posavska,1997,Jun,SO2,
skale,Savinjska,1997,Jun,SO2,12.0
kovk,Zasavska,1997,Jun,SO2,51.0
dobovec,Zasavska,1997,Jun,SO2,45.0
kum,Zasavska,1997,Jun,SO2,12.0
ravenska vas,Zasavska,1997,Jun,SO2,80.0
vnajnarje,Osrednjeslovenska,1997,Jun,SO2,14.0
eis celje,Savinjska,1997,Jun,SO2,18.0
eis krsko,Posavska,1997,Jun,SO2,45.0
ljubljana f.,Osrednjeslovenska,1997,Jun,NO2,31.0
maribor,Podravska,1997,Jun,NO2,34.0
celje,Savinjska,1997,Jun,NO2,
trbovlje,Zasavska,1997,Jun,NO2,26.0
zavodnje,Savinjska,1997,Jun,NO2,4.0
razbor,Posavska,1997,Jun,NO2,
skale,Savinjska,1997,Jun,NO2,7.0
kovk,Zasavska,1997,Jun,NO2,2.0
vnajnarje,Osrednjeslovenska,1997,Jun,NO2,3.0
eis celje,Savinjska,1997,Jun,NO2,35.0
ljubljana f.,Osrednjeslovenska,1997,Jun,NOX,49.0
maribor,Podravska,1997,Jun,NOX,47.0
celje,Savinjska,1997,Jun,NOX,
trbovlje,Zasavska,1997,Jun,NOX,44.0
zavodnje,Savinjska,1997,Jun,NOX,5.0
razbor,Posavska,1997,Jun,NOX,
skale,Savinjska,1997,Jun,NOX,8.0
kovk,Zasavska,1997,Jun,NOX,3.0
vnajnarje,Osrednjeslovenska,1997,Jun,NOX,4.0
ljubljana f.,Osrednjeslovenska,1997,Jul,SO2,24.0
ljubljana b.,Osrednjeslovenska,1997,Jul,SO2,48.0
maribor,Podravska,1997,Jul,SO2,9.0
celje,Savinjska,1997,Jul,SO2,13.0
trbovlje,Zasavska,1997,Jul,SO2,18.0
hrastnik,Zasavska,1997,Jul,SO2,13.0
zagorje,Zasavska,1997,Jul,SO2,9.0
sostanj,Savinjska,1997,Jul,SO2,28.0
topolsica,Savinjska,1997,Jul,SO2,11.0
veliki vrh,Savinjska,1997,Jul,SO2,37.0
zavodnje,Savinjska,1997,Jul,SO2,21.0
velenje,Savinjska,1997,Jul,SO2,4.0
graska gora,Koroška,1997,Jul,SO2,33.0
razbor,Posavska,1997,Jul,SO2,
skale,Savinjska,1997,Jul,SO2,15.0
kovk,Zasavska,1997,Jul,SO2,68.0
dobovec,Zasavska,1997,Jul,SO2,58.0
kum,Zasavska,1997,Jul,SO2,31.0
ravenska vas,Zasavska,1997,Jul,SO2,51.0
vnajnarje,Osrednjeslovenska,1997,Jul,SO2,21.0
eis celje,Savinjska,1997,Jul,SO2,17.0
eis krsko,Posavska,1997,Jul,SO2,47.0
ljubljana f.,Osrednjeslovenska,1997,Jul,NO2,30.0
maribor,Podravska,1997,Jul,NO2,30.0
celje,Savinjska,1997,Jul,NO2,
trbovlje,Zasavska,1997,Jul,NO2,26.0
zavodnje,Savinjska,1997,Jul,NO2,4.0
razbor,Posavska,1997,Jul,NO2,
skale,Savinjska,1997,Jul,NO2,5.0
kovk,Zasavska,1997,Jul,NO2,6.0
vnajnarje,Osrednjeslovenska,1997,Jul,NO2,4.0
eis celje,Savinjska,1997,Jul,NO2,36.0
ljubljana f.,Osrednjeslovenska,1997,Jul,NOX,48.0
maribor,Podravska,1997,Jul,NOX,41.0
celje,Savinjska,1997,Jul,NOX,
trbovlje,Zasavska,1997,Jul,NOX,44.0
zavodnje,Savinjska,1997,Jul,NOX,4.0
razbor,Posavska,1997,Jul,NOX,
skale,Savinjska,1997,Jul,NOX,5.0
kovk,Zasavska,1997,Jul,NOX,7.0
vnajnarje,Osrednjeslovenska,1997,Jul,NOX,3.0
ljubljana f.,Osrednjeslovenska,1997,Avg,SO2,6.0
