Postaja,Regija,Datum,SO2,PM10,NO2
sostanj,Savinjska,2006-03-31,10.0,,
topolsica,Savinjska,2006-03-31,4.0,,
velenje,Savinjska,2006-03-31,6.0,,
veliki vrh,Savinjska,2006-03-31,22.0,,
zavodnje,Savinjska,2006-03-31,9.0,,3.0
dobovec,Zasavska,2006-03-31,2.0,,
hrastnik,Zasavska,2006-03-31,9.0,,
kovk,Zasavska,2006-03-31,14.0,,12.0
kum,Zasavska,2006-03-31,7.0,,
prapretno,Zasavska,2006-03-31,,33.0,
ravenska vas,Zasavska,2006-03-31,7.0,,
trbovlje,Zasavska,2006-03-31,12.0,46.0,25.0
zagorje,Zasavska,2006-03-31,7.0,61.0,
nova gorica,Goriška,2006-04-30,2.0,24.0,20.0
iskrba,Jugovzhodna Slovenija,2006-04-30,,12.0,
graska gora,Koroška,2006-04-30,4.0,,
koper,Obalno-kraška,2006-04-30,,34.0,
ljubljana b.,Osrednjeslovenska,2006-04-30,6.0,,
ljubljana bez.,Osrednjeslovenska,2006-04-30,,25.0,
ljubljana bezigrad,Osrednjeslovenska,2006-04-30,,,26.0
oms lj. (vnajnarje),Osrednjeslovenska,2006-04-30,3.0,,
vnajnarje,Osrednjeslovenska,2006-04-30,,19.0,3.0
maribor,Podravska,2006-04-30,4.0,33.0,33.0
murska s.-rakican,Pomurska,2006-04-30,6.0,24.0,15.0
eis krsko,Posavska,2006-04-30,41.0,,
pesje,Posavska,2006-04-30,3.0,23.0,
celje,Savinjska,2006-04-30,7.0,25.0,22.0
eis celje,Savinjska,2006-04-30,0.0,,
eis teb,Savinjska,2006-04-30,16.0,,
eis teb (sv.mohor),Savinjska,2006-04-30,,,1.0
eis-celje,Savinjska,2006-04-30,,37.0,
skale,Savinjska,2006-04-30,2.0,20.0,7.0
sostanj,Savinjska,2006-04-30,4.0,,
topolsica,Savinjska,2006-04-30,2.0,,
velenje,Savinjska,2006-04-30,6.0,,
veliki vrh,Savinjska,2006-04-30,5.0,,
zavodnje,Savinjska,2006-04-30,2.0,,1.0
dobovec,Zasavska,2006-04-30,3.0,,
hrastnik,Zasavska,2006-04-30,4.0,,
kovk,Zasavska,2006-04-30,7.0,,11.0
kum,Zasavska,2006-04-30,1.0,,
prapretno,Zasavska,2006-04-30,,26.0,
ravenska vas,Zasavska,2006-04-30,13.0,,
trbovlje,Zasavska,2006-04-30,7.0,32.0,24.0
zagorje,Zasavska,2006-04-30,6.0,33.0,
nova gorica,Goriška,2006-05-31,2.0,29.0,17.0
iskrba,Jugovzhodna Slovenija,2006-05-31,,15.0,
graska gora,Koroška,2006-05-31,3.0,,
koper,Obalno-kraška,2006-05-31,,35.0,
ljubljana b.,Osrednjeslovenska,2006-05-31,5.0,,
ljubljana bez.,Osrednjeslovenska,2006-05-31,,26.0,
ljubljana bezigrad,Osrednjeslovenska,2006-05-31,,,19.0
oms lj. (vnajnarje),Osrednjeslovenska,2006-05-31,3.0,,
vnajnarje,Osrednjeslovenska,2006-05-31,,21.0,3.0
maribor,Podravska,2006-05-31,5.0,32.0,33.0
murska s.-rakican,Pomurska,2006-05-31,6.0,25.0,19.0
eis krsko,Posavska,2006-05-31,20.0,,
pesje,Posavska,2006-05-31,2.0,26.0,
celje,Savinjska,2006-05-31,8.0,27.0,22.0
eis celje,Savinjska,2006-05-31,0.0,,
eis teb,Savinjska,2006-05-31,10.0,,
eis teb (sv.mohor),Savinjska,2006-05-31,,,1.0
eis-celje,Savinjska,2006-05-31,,29.0,
skale,Savinjska,2006-05-31,2.0,24.0,6.0
sostanj,Savinjska,2006-05-31,7.0,,
topolsica,Savinjska,2006-05-31,3.0,,
velenje,Savinjska,2006-05-31,5.0,,
veliki vrh,Savinjska,2006-05-31,13.0,,
zavodnje,Savinjska,2006-05-31,3.0,,1.0
dobovec,Zasavska,2006-05-31,6.0,,
hrastnik,Zasavska,2006-05-31,4.0,,
kovk,Zasavska,2006-05-31,13.0,,9.0
kum,Zasavska,2006-05-31,5.0,,
prapretno,Zasavska,2006-05-31,,31.0,
ravenska vas,Zasavska,2006-05-31,16.0,,
trbovlje,Zasavska,2006-05-31,4.0,31.0,22.0
zagorje,Zasavska,2006-05-31,7.0,33.0,
nova gorica,Goriška,2006-06-30,2.0,36.0,19.0
iskrba,Jugovzhodna Slovenija,2006-06-30,,19.0,
graska gora,Koroška,2006-06-30,4.0,,
koper,Obalno-kraška,2006-06-30,,43.0,
ljubljana b.,Osrednjeslovenska,2006-06-30,3.0,,
ljubljana bez.,Osrednjeslovenska,2006-06-30,,30.0,
ljubljana bezigrad,Osrednjeslovenska,2006-06-30,,,20.0
oms lj. (vnajnarje),Osrednjeslovenska,2006-06-30,3.0,,
vnajnarje,Osrednjeslovenska,2006-06-30,,24.0,2.0
maribor,Podravska,2006-06-30,6.0,39.0,37.0
murska s.-rakican,Pomurska,2006-06-30,8.0,29.0,9.0
eis krsko,Posavska,2006-06-30,37.0,,
pesje,Posavska,2006-06-30,3.0,29.0,
celje,Savinjska,2006-06-30,8.0,31.0,21.0
eis celje,Savinjska,2006-06-30,0.0,,
eis teb,Savinjska,2006-06-30,13.0,,
eis teb (sv.mohor),Savinjska,2006-06-30,,,3.0
eis-celje,Savinjska,2006-06-30,,33.0,
skale,Savinjska,2006-06-30,2.0,27.0,5.0
sostanj,Savinjska,2006-06-30,9.0,,
topolsica,Savinjska,2006-06-30,4.0,,
velenje,Savinjska,2006-06-30,4.0,,
veliki vrh,Savinjska,2006-06-30,21.0,,
zavodnje,Savinjska,2006-06-30,9.0,,3.0
dobovec,Zasavska,2006-06-30,12.0,,
hrastnik,Zasavska,2006-06-30,5.0,,
kovk,Zasavska,2006-06-30,16.0,,7.0
kum,Zasavska,2006-06-30,3.0,,
prapretno,Zasavska,2006-06-30,,37.0,
ravenska vas,Zasavska,2006-06-30,18.0,,
trbovlje,Zasavska,2006-06-30,5.0,35.0,23.0
zagorje,Zasavska,2006-06-30,5.0,39.0,
nova gorica,Goriška,2006-07-31,2.0,32.0,15.0
iskrba,Jugovzhodna Slovenija,2006-07-31,,18.0,
graska gora,Koroška,2006-07-31,4.0,,
koper,Obalno-kraška,2006-07-31,,40.0,
ljubljana b.,Osrednjeslovenska,2006-07-31,3.0,,
ljubljana bez.,Osrednjeslovenska,2006-07-31,,30.0,
ljubljana bezigrad,Osrednjeslovenska,2006-07-31,,,20.0
oms lj. (vnajnarje),Osrednjeslovenska,2006-07-31,3.0,,
vnajnarje,Osrednjeslovenska,2006-07-31,,28.0,2.0
maribor,Podravska,2006-07-31,6.0,38.0,33.0
murska s.-rakican,Pomurska,2006-07-31,9.0,29.0,9.0
eis krsko,Posavska,2006-07-31,50.0,,
pesje,Posavska,2006-07-31,3.0,26.0,
celje,Savinjska,2006-07-31,4.0,28.0,19.0
eis celje,Savinjska,2006-07-31,0.0,,
eis teb,Savinjska,2006-07-31,5.0,,
eis teb (sv.mohor),Savinjska,2006-07-31,,,7.0
eis-celje,Savinjska,2006-07-31,,28.0,
skale,Savinjska,2006-07-31,2.0,24.0,5.0
sostanj,Savinjska,2006-07-31,7.0,,
topolsica,Savinjska,2006-07-31,6.0,,
velenje,Savinjska,2006-07-31,5.0,,
veliki vrh,Savinjska,2006-07-31,24.0,,
zavodnje,Savinjska,2006-07-31,8.0,,4.0
dobovec,Zasavska,2006-07-31,5.0,,
hrastnik,Zasavska,2006-07-31,4.0,,
kovk,Zasavska,2006-07-31,9.0,,10.0
kum,Zasavska,2006-07-31,7.0,,
prapretno,Zasavska,2006-07-31,,35.0,
ravenska vas,Zasavska,2006-07-31,20.0,,
trbovlje,Zasavska,2006-07-31,6.0,34.0,23.0
zagorje,Zasavska,2006-07-31,6.0,34.0,
nova gorica,Goriška,2006-08-31,1.0,24.0,16.0
iskrba,Jugovzhodna Slovenija,2006-08-31,,10.0,
graska gora,Koroška,2006-08-31,4.0,,
koper,Obalno-kraška,2006-08-31,,30.0,
ljubljana b.,Osrednjeslovenska,2006-08-31,2.0,,
ljubljana bez.,Osrednjeslovenska,2006-08-31,,22.0,
ljubljana bezigrad,Osrednjeslovenska,2006-08-31,,,23.0
oms lj. (vnajnarje),Osrednjeslovenska,2006-08-31,2.0,,
vnajnarje,Osrednjeslovenska,2006-08-31,,15.0,3.0
maribor,Podravska,2006-08-31,4.0,28.0,28.0
murska s.-rakican,Pomurska,2006-08-31,4.0,17.0,10.0
eis krsko,Posavska,2006-08-31,32.0,,
pesje,Posavska,2006-08-31,2.0,16.0,
celje,Savinjska,2006-08-31,2.0,19.0,16.0
eis celje,Savinjska,2006-08-31,0.0,,
eis teb,Savinjska,2006-08-31,8.0,,
eis teb (sv.mohor),Savinjska,2006-08-31,,,7.0
eis-celje,Savinjska,2006-08-31,,22.0,
skale,Savinjska,2006-08-31,2.0,15.0,4.0
sostanj,Savinjska,2006-08-31,10.0,,
topolsica,Savinjska,2006-08-31,2.0,,
velenje,Savinjska,2006-08-31,4.0,,
veliki vrh,Savinjska,2006-08-31,15.0,,
zavodnje,Savinjska,2006-08-31,3.0,,1.0
dobovec,Zasavska,2006-08-31,2.0,,
hrastnik,Zasavska,2006-08-31,2.0,,
kovk,Zasavska,2006-08-31,4.0,,11.0
kum,Zasavska,2006-08-31,6.0,,
prapretno,Zasavska,2006-08-31,,23.0,
ravenska vas,Zasavska,2006-08-31,15.0,,
trbovlje,Zasavska,2006-08-31,6.0,23.0,19.0
zagorje,Zasavska,2006-08-31,2.0,23.0,
nova gorica,Goriška,2006-09-30,3.0,30.0,20.0
iskrba,Jugovzhodna Slovenija,2006-09-30,,16.0,
graska gora,Koroška,2006-09-30,3.0,,
koper,Obalno-kraška,2006-09-30,,37.0,
ljubljana b.,Osrednjeslovenska,2006-09-30,5.0,,
ljubljana bez.,Osrednjeslovenska,2006-09-30,,32.0,
ljubljana bezigrad,Osrednjeslovenska,2006-09-30,,,27.0
oms lj. (vnajnarje),Osrednjeslovenska,2006-09-30,4.0,,
vnajnarje,Osrednjeslovenska,2006-09-30,,27.0,3.0
maribor,Podravska,2006-09-30,3.0,43.0,38.0
murska s.-rakican,Pomurska,2006-09-30,7.0,32.0,11.0
eis krsko,Posavska,2006-09-30,2.0,,
pesje,Posavska,2006-09-30,3.0,29.0,
celje,Savinjska,2006-09-30,5.0,33.0,26.0
eis celje,Savinjska,2006-09-30,0.0,,
eis teb,Savinjska,2006-09-30,11.0,,
eis teb (sv.mohor),Savinjska,2006-09-30,,,5.0
eis-celje,Savinjska,2006-09-30,,33.0,
skale,Savinjska,2006-09-30,1.0,27.0,3.0
sostanj,Savinjska,2006-09-30,8.0,,
topolsica,Savinjska,2006-09-30,5.0,,
velenje,Savinjska,2006-09-30,4.0,,
veliki vrh,Savinjska,2006-09-30,17.0,,
zavodnje,Savinjska,2006-09-30,10.0,,5.0
dobovec,Zasavska,2006-09-30,7.0,,
hrastnik,Zasavska,2006-09-30,1.0,,
kovk,Zasavska,2006-09-30,7.0,,7.0
kum,Zasavska,2006-09-30,2.0,,
prapretno,Zasavska,2006-09-30,,34.0,
ravenska vas,Zasavska,2006-09-30,17.0,,
trbovlje,Zasavska,2006-09-30,7.0,37.0,22.0
zagorje,Zasavska,2006-09-30,5.0,36.0,
nova gorica,Goriška,2006-10-31,3.0,37.0,25.0
iskrba,Jugovzhodna Slovenija,2006-10-31,,16.0,
graska gora,Koroška,2006-10-31,5.0,,
koper,Obalno-kraška,2006-10-31,,31.0,
ljubljana b.,Osrednjeslovenska,2006-10-31,3.0,,
ljubljana bez.,Osrednjeslovenska,2006-10-31,,39.0,
ljubljana bezigrad,Osrednjeslovenska,2006-10-31,,,28.0
oms lj. (vnajnarje),Osrednjeslovenska,2006-10-31,4.0,,
vnajnarje,Osrednjeslovenska,2006-10-31,,28.0,4.0
maribor,Podravska,2006-10-31,5.0,52.0,37.0
murska s.-rakican,Pomurska,2006-10-31,8.0,34.0,16.0
eis krsko,Posavska,2006-10-31,2.0,,
pesje,Posavska,2006-10-31,3.0,25.0,
celje,Savinjska,2006-10-31,11.0,36.0,24.0
eis celje,Savinjska,2006-10-31,0.0,,
eis teb,Savinjska,2006-10-31,13.0,,
eis teb (sv.mohor),Savinjska,2006-10-31,,,4.0
eis-celje,Savinjska,2006-10-31,,45.0,
skale,Savinjska,2006-10-31,2.0,23.0,1.0
sostanj,Savinjska,2006-10-31,10.0,,
topolsica,Savinjska,2006-10-31,3.0,,
velenje,Savinjska,2006-10-31,3.0,,
veliki vrh,Savinjska,2006-10-31,16.0,,
zavodnje,Savinjska,2006-10-31,6.0,,3.0
dobovec,Zasavska,2006-10-31,6.0,,
hrastnik,Zasavska,2006-10-31,3.0,,
kovk,Zasavska,2006-10-31,20.0,,12.0
kum,Zasavska,2006-10-31,2.0,,
prapretno,Zasavska,2006-10-31,,34.0,
ravenska vas,Zasavska,2006-10-31,15.0,,
trbovlje,Zasavska,2006-10-31,9.0,49.0,22.0
zagorje,Zasavska,2006-10-31,4.0,47.0,
nova gorica,Goriška,2006-11-30,6.0,45.0,33.0
iskrba,Jugovzhodna Slovenija,2006-11-30,,12.0,
graska gora,Koroška,2006-11-30,10.0,,
koper,Obalno-kraška,2006-11-30,,33.0,
ljubljana b.,Osrednjeslovenska,2006-11-30,5.0,,
ljubljana bez.,Osrednjeslovenska,2006-11-30,,34.0,
ljubljana bezigrad,Osrednjeslovenska,2006-11-30,,,35.0
oms lj. (vnajnarje),Osrednjeslovenska,2006-11-30,6.0,,
vnajnarje,Osrednjeslovenska,2006-11-30,,30.0,7.0
maribor,Podravska,2006-11-30,6.0,49.0,44.0
murska s.-rakican,Pomurska,2006-11-30,6.0,37.0,23.0
eis krsko,Posavska,2006-11-30,2.0,,
pesje,Posavska,2006-11-30,5.0,25.0,
celje,Savinjska,2006-11-30,6.0,40.0,29.0
eis celje,Savinjska,2006-11-30,1.0,,
eis teb,Savinjska,2006-11-30,13.0,,
eis teb (sv.mohor),Savinjska,2006-11-30,,,2.0
eis-celje,Savinjska,2006-11-30,,48.0,
skale,Savinjska,2006-11-30,6.0,21.0,0.0
sostanj,Savinjska,2006-11-30,7.0,,
topolsica,Savinjska,2006-11-30,3.0,,
velenje,Savinjska,2006-11-30,4.0,,
veliki vrh,Savinjska,2006-11-30,21.0,,
zavodnje,Savinjska,2006-11-30,9.0,,6.0
dobovec,Zasavska,2006-11-30,5.0,,
hrastnik,Zasavska,2006-11-30,3.0,,
kovk,Zasavska,2006-11-30,18.0,,15.0
kum,Zasavska,2006-11-30,8.0,,
prapretno,Zasavska,2006-11-30,,33.0,
ravenska vas,Zasavska,2006-11-30,16.0,,
trbovlje,Zasavska,2006-11-30,10.0,39.0,20.0
zagorje,Zasavska,2006-11-30,5.0,48.0,
nova gorica,Goriška,2006-12-31,5.0,41.0,31.0
iskrba,Jugovzhodna Slovenija,2006-12-31,,13.0,
graska gora,Koroška,2006-12-31,4.0,,
koper,Obalno-kraška,2006-12-31,,31.0,
ljubljana b.,Osrednjeslovenska,2006-12-31,4.0,,
ljubljana bez.,Osrednjeslovenska,2006-12-31,,37.0,
ljubljana bezigrad,Osrednjeslovenska,2006-12-31,,,32.0
oms lj. (vnajnarje),Osrednjeslovenska,2006-12-31,5.0,,
vnajnarje,Osrednjeslovenska,2006-12-31,,18.0,7.0
maribor,Podravska,2006-12-31,6.0,48.0,39.0
murska s.-rakican,Pomurska,2006-12-31,4.0,39.0,22.0
eis krsko,Posavska,2006-12-31,2.0,,
pesje,Posavska,2006-12-31,3.0,24.0,
celje,Savinjska,2006-12-31,7.0,40.0,30.0
eis celje,Savinjska,2006-12-31,2.0,,
eis teb,Savinjska,2006-12-31,8.0,,
eis teb (sv.mohor),Savinjska,2006-12-31,,,8.0
eis-celje,Savinjska,2006-12-31,,53.0,
skale,Savinjska,2006-12-31,2.0,23.0,24.0
sostanj,Savinjska,2006-12-31,14.0,,
topolsica,Savinjska,2006-12-31,2.0,,
velenje,Savinjska,2006-12-31,5.0,,
veliki vrh,Savinjska,2006-12-31,19.0,,
zavodnje,Savinjska,2006-12-31,4.0,,4.0
dobovec,Zasavska,2006-12-31,7.0,,
hrastnik,Zasavska,2006-12-31,7.0,,
kovk,Zasavska,2006-12-31,16.0,,11.0
kum,Zasavska,2006-12-31,6.0,,
prapretno,Zasavska,2006-12-31,,33.0,
ravenska vas,Zasavska,2006-12-31,23.0,,
trbovlje,Zasavska,2006-12-31,10.0,49.0,24.0
zagorje,Zasavska,2006-12-31,7.0,55.0,
gorenje polje,Goriška,2007-01-31,,43.0,
morsko,Goriška,2007-01-31,,42.0,
nova gorica,Goriška,2007-01-31,8.0,44.0,32.0
iskrba,Jugovzhodna Slovenija,2007-01-31,,13.0,
graska gora,Koroška,2007-01-31,7.0,,
koper,Obalno-kraška,2007-01-31,,36.0,
ljubljana b.,Osrednjeslovenska,2007-01-31,4.0,,
ljubljana bez.,Osrednjeslovenska,2007-01-31,,34.0,
ljubljana bezigrad,Osrednjeslovenska,2007-01-31,,,34.0
oms lj. (vnajnarje),Osrednjeslovenska,2007-01-31,11.0,,
vnajnarje,Osrednjeslovenska,2007-01-31,,20.0,9.0
maribor,Podravska,2007-01-31,5.0,45.0,46.0
murska s.-rakican,Pomurska,2007-01-31,6.0,37.0,25.0
pesje,Posavska,2007-01-31,4.0,23.0,
celje,Savinjska,2007-01-31,7.0,35.0,29.0
eis celje,Savinjska,2007-01-31,,,
eis teb (sv.mohor),Savinjska,2007-01-31,13.0,,7.0
skale,Savinjska,2007-01-31,6.0,27.0,18.0
sostanj,Savinjska,2007-01-31,6.0,,
topolsica,Savinjska,2007-01-31,3.0,,
velenje,Savinjska,2007-01-31,3.0,,
veliki vrh,Savinjska,2007-01-31,27.0,,
zavodnje,Savinjska,2007-01-31,11.0,,4.0
dobovec,Zasavska,2007-01-31,6.0,,
hrastnik,Zasavska,2007-01-31,7.0,,
kovk,Zasavska,2007-01-31,14.0,,20.0
kum,Zasavska,2007-01-31,4.0,,
prapretno,Zasavska,2007-01-31,,34.0,
ravenska vas,Zasavska,2007-01-31,12.0,,
trbovlje,Zasavska,2007-01-31,4.0,39.0,20.0
zagorje,Zasavska,2007-01-31,8.0,53.0,
gorenje polje,Goriška,2007-02-28,,35.0,
morsko,Goriška,2007-02-28,,,
nova gorica,Goriška,2007-02-28,5.0,36.0,29.0
iskrba,Jugovzhodna Slovenija,2007-02-28,,14.0,
graska gora,Koroška,2007-02-28,7.0,,
koper,Obalno-kraška,2007-02-28,,28.0,
ljubljana b.,Osrednjeslovenska,2007-02-28,6.0,,
ljubljana bez.,Osrednjeslovenska,2007-02-28,,39.0,
ljubljana bezigrad,Osrednjeslovenska,2007-02-28,,,38.0
oms lj. (vnajnarje),Osrednjeslovenska,2007-02-28,7.0,,
vnajnarje,Osrednjeslovenska,2007-02-28,,20.0,9.0
maribor,Podravska,2007-02-28,4.0,47.0,44.0
murska s.-rakican,Pomurska,2007-02-28,5.0,32.0,20.0
pesje,Posavska,2007-02-28,4.0,24.0,
celje,Savinjska,2007-02-28,7.0,38.0,28.0
eis celje,Savinjska,2007-02-28,,,
eis teb (sv.mohor),Savinjska,2007-02-28,24.0,,3.0
skale,Savinjska,2007-02-28,5.0,31.0,18.0
sostanj,Savinjska,2007-02-28,11.0,,
topolsica,Savinjska,2007-02-28,3.0,,
velenje,Savinjska,2007-02-28,4.0,,
veliki vrh,Savinjska,2007-02-28,17.0,,
zavodnje,Savinjska,2007-02-28,6.0,,7.0
dobovec,Zasavska,2007-02-28,6.0,,
hrastnik,Zasavska,2007-02-28,6.0,,
kovk,Zasavska,2007-02-28,14.0,,17.0
kum,Zasavska,2007-02-28,5.0,,
prapretno,Zasavska,2007-02-28,,39.0,
ravenska vas,Zasavska,2007-02-28,15.0,,
trbovlje,Zasavska,2007-02-28,5.0,47.0,22.0
zagorje,Zasavska,2007-02-28,6.0,58.0,
gorenje polje,Goriška,2007-03-31,,24.0,
morsko,Goriška,2007-03-31,,28.0,
nova gorica,Goriška,2007-03-31,5.0,34.0,23.0
iskrba,Jugovzhodna Slovenija,2007-03-31,,16.0,
graska gora,Koroška,2007-03-31,4.0,,
koper,Obalno-kraška,2007-03-31,,29.0,
ljubljana b.,Osrednjeslovenska,2007-03-31,5.0,,
ljubljana bez.,Osrednjeslovenska,2007-03-31,,33.0,
ljubljana bezigrad,Osrednjeslovenska,2007-03-31,,,32.0
oms lj. (vnajnarje),Osrednjeslovenska,2007-03-31,5.0,,
vnajnarje,Osrednjeslovenska,2007-03-31,,15.0,6.0
maribor,Podravska,2007-03-31,3.0,55.0,42.0
murska s.-rakican,Pomurska,2007-03-31,5.0,31.0,17.0
pesje,Posavska,2007-03-31,4.0,25.0,
celje,Savinjska,2007-03-31,5.0,37.0,27.0
eis celje,Savinjska,2007-03-31,,,
eis teb (sv.mohor),Savinjska,2007-03-31,26.0,,2.0
skale,Savinjska,2007-03-31,4.0,37.0,11.0
sostanj,Savinjska,2007-03-31,7.0,,
topolsica,Savinjska,2007-03-31,3.0,,
velenje,Savinjska,2007-03-31,2.0,,
veliki vrh,Savinjska,2007-03-31,12.0,,
zavodnje,Savinjska,2007-03-31,3.0,,2.0
dobovec,Zasavska,2007-03-31,5.0,,
hrastnik,Zasavska,2007-03-31,7.0,,
kovk,Zasavska,2007-03-31,10.0,,12.0
kum,Zasavska,2007-03-31,4.0,,
prapretno,Zasavska,2007-03-31,,33.0,
ravenska vas,Zasavska,2007-03-31,27.0,,
trbovlje,Zasavska,2007-03-31,7.0,48.0,28.0
zagorje,Zasavska,2007-03-31,6.0,53.0,
gorenje polje,Goriška,2007-04-30,,27.0,
morsko,Goriška,2007-04-30,,27.0,
nova gorica,Goriška,2007-04-30,8.0,40.0,20.0
iskrba,Jugovzhodna Slovenija,2007-04-30,,22.0,
graska gora,Koroška,2007-04-30,4.0,,
koper,Obalno-kraška,2007-04-30,,42.0,
ljubljana b.,Osrednjeslovenska,2007-04-30,3.0,,
ljubljana bez.,Osrednjeslovenska,2007-04-30,,33.0,
ljubljana bezigrad,Osrednjeslovenska,2007-04-30,,,26.0
oms lj. (vnajnarje),Osrednjeslovenska,2007-04-30,3.0,,
vnajnarje,Osrednjeslovenska,2007-04-30,,27.0,3.0
maribor,Podravska,2007-04-30,3.0,42.0,36.0
murska s.-rakican,Pomurska,2007-04-30,7.0,35.0,16.0
pesje,Posavska,2007-04-30,6.0,30.0,
celje,Savinjska,2007-04-30,3.0,35.0,20.0
eis celje,Savinjska,2007-04-30,,,
eis teb (sv.mohor),Savinjska,2007-04-30,18.0,,1.0
skale,Savinjska,2007-04-30,5.0,40.0,6.0
sostanj,Savinjska,2007-04-30,7.0,,
topolsica,Savinjska,2007-04-30,6.0,,
velenje,Savinjska,2007-04-30,1.0,,
veliki vrh,Savinjska,2007-04-30,15.0,,
zavodnje,Savinjska,2007-04-30,7.0,,0.0
dobovec,Zasavska,2007-04-30,3.0,,
hrastnik,Zasavska,2007-04-30,5.0,,
kovk,Zasavska,2007-04-30,3.0,,11.0
kum,Zasavska,2007-04-30,5.0,,
prapretno,Zasavska,2007-04-30,,33.0,
ravenska vas,Zasavska,2007-04-30,15.0,,
trbovlje,Zasavska,2007-04-30,5.0,43.0,25.0
zagorje,Zasavska,2007-04-30,5.0,35.0,
gorenje polje,Goriška,2007-05-31,,18.0,
morsko,Goriška,2007-05-31,,18.0,
nova gorica,Goriška,2007-05-31,8.0,26.0,19.0
iskrba,Jugovzhodna Slovenija,2007-05-31,,16.0,
graska gora,Koroška,2007-05-31,4.0,,
koper,Obalno-kraška,2007-05-31,,28.0,
ljubljana b.,Osrednjeslovenska,2007-05-31,1.0,,
ljubljana bez.,Osrednjeslovenska,2007-05-31,,23.0,
ljubljana bezigrad,Osrednjeslovenska,2007-05-31,,,19.0
oms lj. (vnajnarje),Osrednjeslovenska,2007-05-31,3.0,,
vnajnarje,Osrednjeslovenska,2007-05-31,,18.0,3.0
maribor,Podravska,2007-05-31,2.0,31.0,33.0
murska s.-rakican,Pomurska,2007-05-31,3.0,25.0,12.0
pesje,Posavska,2007-05-31,4.0,22.0,
celje,Savinjska,2007-05-31,1.0,24.0,15.0
eis celje,Savinjska,2007-05-31,,,
eis teb (sv.mohor),Savinjska,2007-05-31,9.0,,1.0
skale,Savinjska,2007-05-31,3.0,29.0,6.0
sostanj,Savinjska,2007-05-31,14.0,,
topolsica,Savinjska,2007-05-31,4.0,,
velenje,Savinjska,2007-05-31,2.0,,
veliki vrh,Savinjska,2007-05-31,13.0,,
zavodnje,Savinjska,2007-05-31,5.0,,1.0
dobovec,Zasavska,2007-05-31,0.0,,
hrastnik,Zasavska,2007-05-31,3.0,,
kovk,Zasavska,2007-05-31,3.0,,10.0
kum,Zasavska,2007-05-31,5.0,,
prapretno,Zasavska,2007-05-31,,23.0,
ravenska vas,Zasavska,2007-05-31,13.0,,
trbovlje,Zasavska,2007-05-31,2.0,25.0,16.0
zagorje,Zasavska,2007-05-31,5.0,27.0,
gorenje polje,Goriška,2007-06-30,,18.0,
morsko,Goriška,2007-06-30,,19.0,
nova gorica,Goriška,2007-06-30,5.0,28.0,19.0
iskrba,Jugovzhodna Slovenija,2007-06-30,,17.0,
graska gora,Koroška,2007-06-30,4.0,,
koper,Obalno-kraška,2007-06-30,,29.0,
ljubljana b.,Osrednjeslovenska,2007-06-30,2.0,,
ljubljana bez.,Osrednjeslovenska,2007-06-30,,25.0,
ljubljana bezigrad,Osrednjeslovenska,2007-06-30,,,18.0
oms lj. (vnajnarje),Osrednjeslovenska,2007-06-30,3.0,,
vnajnarje,Osrednjeslovenska,2007-06-30,,17.0,2.0
maribor,Podravska,2007-06-30,2.0,30.0,30.0
murska s.-rakican,Pomurska,2007-06-30,4.0,24.0,11.0
pesje,Posavska,2007-06-30,5.0,22.0,
celje,Savinjska,2007-06-30,6.0,23.0,17.0
eis celje,Savinjska,2007-06-30,,,
eis teb (sv.mohor),Savinjska,2007-06-30,8.0,,3.0
skale,Savinjska,2007-06-30,3.0,33.0,5.0
sostanj,Savinjska,2007-06-30,21.0,,
topolsica,Savinjska,2007-06-30,4.0,,
velenje,Savinjska,2007-06-30,2.0,,
veliki vrh,Savinjska,2007-06-30,13.0,,
zavodnje,Savinjska,2007-06-30,6.0,,2.0
dobovec,Zasavska,2007-06-30,9.0,,
hrastnik,Zasavska,2007-06-30,4.0,,
kovk,Zasavska,2007-06-30,8.0,,7.0
kum,Zasavska,2007-06-30,5.0,,
prapretno,Zasavska,2007-06-30,,25.0,
ravenska vas,Zasavska,2007-06-30,13.0,,
trbovlje,Zasavska,2007-06-30,2.0,26.0,19.0
zagorje,Zasavska,2007-06-30,2.0,27.0,
gorenje polje,Goriška,2007-07-31,,17.0,
morsko,Goriška,2007-07-31,,17.0,
nova gorica,Goriška,2007-07-31,7.0,28.0,19.0
iskrba,Jugovzhodna Slovenija,2007-07-31,,14.0,
graska gora,Koroška,2007-07-31,5.0,,
koper,Obalno-kraška,2007-07-31,,25.0,
ljubljana b.,Osrednjeslovenska,2007-07-31,2.0,,
ljubljana bez.,Osrednjeslovenska,2007-07-31,,24.0,
ljubljana bezigrad,Osrednjeslovenska,2007-07-31,,,19.0
oms lj. (vnajnarje),Osrednjeslovenska,2007-07-31,3.0,,
vnajnarje,Osrednjeslovenska,2007-07-31,,19.0,1.0
maribor,Podravska,2007-07-31,2.0,31.0,31.0
murska s.-rakican,Pomurska,2007-07-31,4.0,25.0,13.0
pesje,Posavska,2007-07-31,6.0,19.0,
celje,Savinjska,2007-07-31,6.0,23.0,19.0
eis celje,Savinjska,2007-07-31,,,
eis teb (sv.mohor),Savinjska,2007-07-31,14.0,,7.0
skale,Savinjska,2007-07-31,3.0,34.0,5.0
sostanj,Savinjska,2007-07-31,22.0,,
topolsica,Savinjska,2007-07-31,4.0,,
