Postaja,Regija,Datum,SO2,PM10,NO2
veliki vrh,Savinjska,1997-06-30,20.0,,
zavodnje,Savinjska,1997-06-30,14.0,,4.0
dobovec,Zasavska,1997-06-30,45.0,,
hrastnik,Zasavska,1997-06-30,18.0,,
kovk,Zasavska,1997-06-30,51.0,,2.0
kum,Zasavska,1997-06-30,12.0,,
ravenska vas,Zasavska,1997-06-30,80.0,,
trbovlje,Zasavska,1997-06-30,21.0,,26.0
zagorje,Zasavska,1997-06-30,27.0,,
graska gora,Koroška,1997-07-31,33.0,,
ljubljana b.,Osrednjeslovenska,1997-07-31,48.0,,
ljubljana f.,Osrednjeslovenska,1997-07-31,24.0,,30.0
vnajnarje,Osrednjeslovenska,1997-07-31,21.0,,4.0
maribor,Podravska,1997-07-31,9.0,,30.0
eis krsko,Posavska,1997-07-31,47.0,,
razbor,Posavska,1997-07-31,,,
celje,Savinjska,1997-07-31,13.0,,
eis celje,Savinjska,1997-07-31,17.0,,36.0
skale,Savinjska,1997-07-31,15.0,,5.0
sostanj,Savinjska,1997-07-31,28.0,,
topolsica,Savinjska,1997-07-31,11.0,,
velenje,Savinjska,1997-07-31,4.0,,
veliki vrh,Savinjska,1997-07-31,37.0,,
zavodnje,Savinjska,1997-07-31,21.0,,4.0
dobovec,Zasavska,1997-07-31,58.0,,
hrastnik,Zasavska,1997-07-31,13.0,,
kovk,Zasavska,1997-07-31,68.0,,6.0
kum,Zasavska,1997-07-31,31.0,,
ravenska vas,Zasavska,1997-07-31,51.0,,
trbovlje,Zasavska,1997-07-31,18.0,,26.0
zagorje,Zasavska,1997-07-31,9.0,,
graska gora,Koroška,1997-08-31,15.0,,
ljubljana b.,Osrednjeslovenska,1997-08-31,24.0,,
ljubljana f.,Osrednjeslovenska,1997-08-31,6.0,,
vnajnarje,Osrednjeslovenska,1997-08-31,10.0,,3.0
maribor,Podravska,1997-08-31,12.0,,31.0
eis krsko,Posavska,1997-08-31,14.0,,
razbor,Posavska,1997-08-31,,,
celje,Savinjska,1997-08-31,10.0,,
eis celje,Savinjska,1997-08-31,16.0,,38.0
skale,Savinjska,1997-08-31,7.0,,4.0
sostanj,Savinjska,1997-08-31,19.0,,
topolsica,Savinjska,1997-08-31,13.0,,
velenje,Savinjska,1997-08-31,3.0,,
veliki vrh,Savinjska,1997-08-31,46.0,,
zavodnje,Savinjska,1997-08-31,24.0,,4.0
dobovec,Zasavska,1997-08-31,63.0,,
hrastnik,Zasavska,1997-08-31,10.0,,
kovk,Zasavska,1997-08-31,75.0,,4.0
kum,Zasavska,1997-08-31,29.0,,
ravenska vas,Zasavska,1997-08-31,92.0,,
trbovlje,Zasavska,1997-08-31,21.0,,27.0
zagorje,Zasavska,1997-08-31,26.0,,
graska gora,Koroška,1997-09-30,25.0,,
ljubljana b.,Osrednjeslovenska,1997-09-30,15.0,,
ljubljana f.,Osrednjeslovenska,1997-09-30,8.0,,
vnajnarje,Osrednjeslovenska,1997-09-30,10.0,,2.0
maribor,Podravska,1997-09-30,14.0,,35.0
eis krsko,Posavska,1997-09-30,67.0,,
razbor,Posavska,1997-09-30,,,
celje,Savinjska,1997-09-30,13.0,,
eis celje,Savinjska,1997-09-30,15.0,,42.0
skale,Savinjska,1997-09-30,13.0,,6.0
sostanj,Savinjska,1997-09-30,29.0,,
topolsica,Savinjska,1997-09-30,21.0,,
velenje,Savinjska,1997-09-30,5.0,,
veliki vrh,Savinjska,1997-09-30,46.0,,
zavodnje,Savinjska,1997-09-30,41.0,,6.0
dobovec,Zasavska,1997-09-30,30.0,,
hrastnik,Zasavska,1997-09-30,17.0,,
kovk,Zasavska,1997-09-30,40.0,,3.0
kum,Zasavska,1997-09-30,10.0,,
ravenska vas,Zasavska,1997-09-30,108.0,,
trbovlje,Zasavska,1997-09-30,24.0,,32.0
zagorje,Zasavska,1997-09-30,33.0,,
graska gora,Koroška,1997-10-31,44.0,,
ljubljana b.,Osrednjeslovenska,1997-10-31,25.0,,
ljubljana f.,Osrednjeslovenska,1997-10-31,19.0,,
vnajnarje,Osrednjeslovenska,1997-10-31,21.0,,3.0
maribor,Podravska,1997-10-31,22.0,,42.0
eis krsko,Posavska,1997-10-31,28.0,,
razbor,Posavska,1997-10-31,,,
celje,Savinjska,1997-10-31,27.0,,
eis celje,Savinjska,1997-10-31,27.0,,45.0
skale,Savinjska,1997-10-31,19.0,,8.0
sostanj,Savinjska,1997-10-31,33.0,,
topolsica,Savinjska,1997-10-31,17.0,,
velenje,Savinjska,1997-10-31,7.0,,
veliki vrh,Savinjska,1997-10-31,43.0,,
zavodnje,Savinjska,1997-10-31,45.0,,8.0
dobovec,Zasavska,1997-10-31,52.0,,
hrastnik,Zasavska,1997-10-31,18.0,,
kovk,Zasavska,1997-10-31,92.0,,6.0
kum,Zasavska,1997-10-31,18.0,,
ravenska vas,Zasavska,1997-10-31,74.0,,
trbovlje,Zasavska,1997-10-31,29.0,,28.0
zagorje,Zasavska,1997-10-31,24.0,,
graska gora,Koroška,1997-11-30,28.0,,
ljubljana b.,Osrednjeslovenska,1997-11-30,23.0,,
ljubljana f.,Osrednjeslovenska,1997-11-30,25.0,,38.0
vnajnarje,Osrednjeslovenska,1997-11-30,18.0,,1.0
maribor,Podravska,1997-11-30,24.0,,41.0
eis krsko,Posavska,1997-11-30,42.0,,
razbor,Posavska,1997-11-30,,,
celje,Savinjska,1997-11-30,33.0,,
eis celje,Savinjska,1997-11-30,17.0,,
skale,Savinjska,1997-11-30,15.0,,10.0
sostanj,Savinjska,1997-11-30,44.0,,
topolsica,Savinjska,1997-11-30,20.0,,
velenje,Savinjska,1997-11-30,12.0,,
veliki vrh,Savinjska,1997-11-30,64.0,,
zavodnje,Savinjska,1997-11-30,63.0,,8.0
dobovec,Zasavska,1997-11-30,78.0,,
hrastnik,Zasavska,1997-11-30,25.0,,
kovk,Zasavska,1997-11-30,39.0,,11.0
kum,Zasavska,1997-11-30,38.0,,
ravenska vas,Zasavska,1997-11-30,86.0,,
trbovlje,Zasavska,1997-11-30,43.0,,34.0
zagorje,Zasavska,1997-11-30,26.0,,
graska gora,Koroška,1997-12-31,23.0,,
ljubljana b.,Osrednjeslovenska,1997-12-31,31.0,,
ljubljana f.,Osrednjeslovenska,1997-12-31,28.0,,43.0
vnajnarje,Osrednjeslovenska,1997-12-31,24.0,,1.0
maribor,Podravska,1997-12-31,27.0,,42.0
eis krsko,Posavska,1997-12-31,32.0,,
razbor,Posavska,1997-12-31,,,
celje,Savinjska,1997-12-31,37.0,,
eis celje,Savinjska,1997-12-31,37.0,,
skale,Savinjska,1997-12-31,15.0,,11.0
sostanj,Savinjska,1997-12-31,6.0,,
topolsica,Savinjska,1997-12-31,6.0,,
