Postaja,Regija,Datum,SO2,NO2
amp gaji,Savinjska,2013-01-31,55,87
amp gaji,Savinjska,2013-02-28,17,101
amp gaji,Savinjska,2013-03-31,36,110
amp gaji,Savinjska,2013-04-30,29,85
amp gaji,Savinjska,2013-05-31,21,54
amp gaji,Savinjska,2013-06-30,17,45
amp gaji,Savinjska,2013-07-31,19,38
amp gaji,Savinjska,2013-08-31,27,58
amp gaji,Savinjska,2013-09-30,11,41
amp gaji,Savinjska,2013-10-31,16,44
amp gaji,Savinjska,2013-11-30,21,58
amp gaji,Savinjska,2013-12-31,22,77
amp gaji,Savinjska,2014-01-31,26,69
amp gaji,Savinjska,2014-02-28,22,89
amp gaji,Savinjska,2014-03-31,23,89
amp gaji,Savinjska,2014-04-30,14,77
amp gaji,Savinjska,2014-05-31,28,51
amp gaji,Savinjska,2014-06-30,20,49
amp gaji,Savinjska,2014-07-31,16,41
amp gaji,Savinjska,2014-08-31,19,55
amp gaji,Savinjska,2014-09-30,34,54
amp gaji,Savinjska,2014-10-31,474,72
amp gaji,Savinjska,2014-11-30,31,72
amp gaji,Savinjska,2014-12-31,22,117
amp gaji,Savinjska,2015-01-31,12,162
amp gaji,Savinjska,2015-02-28,26,114
amp gaji,Savinjska,2015-03-31,27,92
amp gaji,Savinjska,2015-04-30,37,75
amp gaji,Savinjska,2015-05-31,33,56
amp gaji,Savinjska,2015-06-30,9,50
amp gaji,Savinjska,2015-07-31,33,54
amp gaji,Savinjska,2015-08-31,16,39
amp gaji,Savinjska,2015-09-30,14,59
amp gaji,Savinjska,2015-10-31,33,50
amp gaji,Savinjska,2015-11-30,20,81
amp gaji,Savinjska,2015-12-31,35,77
amp gaji,Savinjska,2016-01-31,94.0,103.0
amp gaji,Savinjska,2016-02-29,20.0,41.0
amp gaji,Savinjska,2016-03-31,31.0,53.0
amp gaji,Savinjska,2016-04-30,24.0,50.0
amp gaji,Savinjska,2016-05-31,31.0,40.0
amp gaji,Savinjska,2016-06-30,35.0,29.0
amp gaji,Savinjska,2016-07-31,13.0,28.0
amp gaji,Savinjska,2016-08-31,37.0,24.0
amp gaji,Savinjska,2016-09-30,27.0,43.0
amp gaji,Savinjska,2016-10-31,15.0,52.0
amp gaji,Savinjska,2016-11-30,26.0,75.0
amp gaji,Savinjska,2016-12-31,136.0,84.0
brestanica-sv.mohor,Posavska,2009-01-31,45.0,
brestanica-sv.mohor,Posavska,2009-02-28,28.0,
brestanica-sv.mohor,Posavska,2009-03-31,37.0,
brestanica-sv.mohor,Posavska,2009-04-30,30.0,
brestanica-sv.mohor,Posavska,2009-05-31,31.0,
brestanica-sv.mohor,Posavska,2009-06-30,29.0,
brestanica-sv.mohor,Posavska,2009-07-31,25.0,
brestanica-sv.mohor,Posavska,2009-08-31,35.0,
brestanica-sv.mohor,Posavska,2009-09-30,50.0,
brestanica-sv.mohor,Posavska,2009-10-31,33.0,
brestanica-sv.mohor,Posavska,2009-11-30,43.0,
brestanica-sv.mohor,Posavska,2009-12-31,82.0,
brestanica-sv.mohor,Posavska,2010-01-31,49,
brestanica-sv.mohor,Posavska,2010-02-28,45,
brestanica-sv.mohor,Posavska,2010-03-31,45,
brestanica-sv.mohor,Posavska,2010-04-30,32,
brestanica-sv.mohor,Posavska,2010-05-31,53,
brestanica-sv.mohor,Posavska,2010-06-30,65,
brestanica-sv.mohor,Posavska,2010-07-31,32,
brestanica-sv.mohor,Posavska,2010-08-31,62,
brestanica-sv.mohor,Posavska,2010-09-30,27,
brestanica-sv.mohor,Posavska,2010-10-31,23,
brestanica-sv.mohor,Posavska,2010-11-30,66,
brestanica-sv.mohor,Posavska,2010-12-31,46,
brestanica-sv.mohor,Posavska,2011-01-31,23,
brestanica-sv.mohor,Posavska,2011-02-28,48,
brestanica-sv.mohor,Posavska,2011-03-31,33,
brestanica-sv.mohor,Posavska,2011-04-30,9,
brestanica-sv.mohor,Posavska,2011-05-31,19,
brestanica-sv.mohor,Posavska,2011-06-30,30,
brestanica-sv.mohor,Posavska,2011-07-31,7,
brestanica-sv.mohor,Posavska,2011-08-31,12,
brestanica-sv.mohor,Posavska,2011-09-30,10,
brestanica-sv.mohor,Posavska,2011-10-31,14,
brestanica-sv.mohor,Posavska,2011-11-30,59,
brestanica-sv.mohor,Posavska,2011-12-31,152,
brestanica-sv.mohor,Posavska,2012-01-31,33,
brestanica-sv.mohor,Posavska,2012-02-29,37,
brestanica-sv.mohor,Posavska,2012-03-31,25,
brestanica-sv.mohor,Posavska,2012-04-30,18,
brestanica-sv.mohor,Posavska,2012-05-31,10,
brestanica-sv.mohor,Posavska,2012-06-30,16,
brestanica-sv.mohor,Posavska,2012-07-31,16,
brestanica-sv.mohor,Posavska,2012-08-31,8,
brestanica-sv.mohor,Posavska,2012-09-30,15,
brestanica-sv.mohor,Posavska,2012-10-31,10,
brestanica-sv.mohor,Posavska,2012-11-30,34,
brestanica-sv.mohor,Posavska,2012-12-31,13,
ce bolnica,Savinjska,2020-01-31,38.0,113.0
ce bolnica,Savinjska,2020-02-29,25.0,97.0
ce bolnica,Savinjska,2020-03-31,14.0,90.0
ce bolnica,Savinjska,2020-04-30,22.0,93.0
ce bolnica,Savinjska,2020-05-31,15.0,66.0
ce bolnica,Savinjska,2020-06-30,12.0,60.0
ce bolnica,Savinjska,2020-07-31,19.0,42.0
ce bolnica,Savinjska,2020-08-31,36.0,54.0
ce bolnica,Savinjska,2020-09-30,23.0,62.0
ce bolnica,Savinjska,2020-10-31,23.0,62.0
ce bolnica,Savinjska,2020-11-30,27.0,66.0
ce bolnica,Savinjska,2020-12-31,21.0,75.0
ce bolnica,Savinjska,2021-01-31,15.0,90.0
ce bolnica,Savinjska,2021-02-28,43.0,92.0
ce bolnica,Savinjska,2021-03-31,11.0,87.0
ce bolnica,Savinjska,2021-04-30,16.0,81.0
ce bolnica,Savinjska,2021-05-31,27.0,62.0
ce bolnica,Savinjska,2021-06-30,25.0,60.0
ce bolnica,Savinjska,2021-07-31,19.0,63.0
ce bolnica,Savinjska,2021-08-31,8.0,43.0
ce bolnica,Savinjska,2021-09-30,18.0,67.0
ce bolnica,Savinjska,2021-10-31,23.0,73.0
ce bolnica,Savinjska,2021-11-30,13.0,61.0
ce bolnica,Savinjska,2021-12-31,21.0,76.0
ce bolnica,Savinjska,2022-01-31,25.0,86.0
ce bolnica,Savinjska,2022-02-28,18.0,101.0
ce bolnica,Savinjska,2022-03-31,22.0,110.0
ce bolnica,Savinjska,2022-04-30,40.0,77.0
ce bolnica,Savinjska,2022-05-31,17.0,81.0
ce bolnica,Savinjska,2022-06-30,17.0,50.0
ce bolnica,Savinjska,2022-07-31,20.0,79.0
ce bolnica,Savinjska,2022-08-31,11.0,70.0
ce bolnica,Savinjska,2022-09-30,15.0,60.0
ce bolnica,Savinjska,2022-10-31,32.0,53.0
ce bolnica,Savinjska,2022-11-30,39.0,65.0
ce bolnica,Savinjska,2022-12-31,30.0,61.0
ce bolnica,Savinjska,2023-01-31,46,77
ce bolnica,Savinjska,2023-02-28,76,96
ce bolnica,Savinjska,2023-03-31,32,91
ce bolnica,Savinjska,2023-04-30,14,80
ce bolnica,Savinjska,2023-05-31,9,78
ce bolnica,Savinjska,2023-06-30,9,54
ce bolnica,Savinjska,2023-07-31,4,40
ce bolnica,Savinjska,2023-08-31,7,40
ce bolnica,Savinjska,2023-09-30,15,54
ce bolnica,Savinjska,2023-10-31,8,60
ce bolnica,Savinjska,2023-11-30,12,71
ce bolnica,Savinjska,2023-12-31,15,85
ce gaji,Savinjska,2017-01-31,24.0,116.0
ce gaji,Savinjska,2017-02-28,19.0,78.0
ce gaji,Savinjska,2017-03-31,28.0,70.0
ce gaji,Savinjska,2017-04-30,15.0,61.0
ce gaji,Savinjska,2017-05-31,42.0,47.0
ce gaji,Savinjska,2017-06-30,34.0,37.0
ce gaji,Savinjska,2017-07-31,17.0,46.0
ce gaji,Savinjska,2017-08-31,26.0,44.0
ce gaji,Savinjska,2017-09-30,28.0,50.0
ce gaji,Savinjska,2017-10-31,49.0,65.0
ce gaji,Savinjska,2017-11-30,33.0,77.0
ce gaji,Savinjska,2017-12-31,34.0,71.0
ce gaji,Savinjska,2018-01-31,38.0,71.0
ce gaji,Savinjska,2018-02-28,31.0,92.0
ce gaji,Savinjska,2018-03-31,30.0,105.0
ce gaji,Savinjska,2018-04-30,32.0,51.0
ce gaji,Savinjska,2018-05-31,28.0,43.0
ce gaji,Savinjska,2018-06-30,18.0,39.0
ce gaji,Savinjska,2018-07-31,22.0,28.0
ce gaji,Savinjska,2018-08-31,25.0,30.0
ce gaji,Savinjska,2018-09-30,20.0,43.0
ce gaji,Savinjska,2018-10-31,22.0,48.0
ce gaji,Savinjska,2018-11-30,16.0,66.0
ce gaji,Savinjska,2018-12-31,22.0,67.0
ce gaji,Savinjska,2019-01-31,17.0,79.0
ce gaji,Savinjska,2019-02-28,25.0,100.0
ce gaji,Savinjska,2019-03-31,30.0,59.0
ce gaji,Savinjska,2019-04-30,29.0,56.0
ce gaji,Savinjska,2019-05-31,34.0,32.0
ce gaji,Savinjska,2019-06-30,28.0,27.0
ce gaji,Savinjska,2019-07-31,31.0,28.0
ce gaji,Savinjska,2019-08-31,22.0,37.0
ce gaji,Savinjska,2019-09-30,20.0,39.0
ce gaji,Savinjska,2019-10-31,22.0,47.0
ce gaji,Savinjska,2019-11-30,24.0,46.0
ce gaji,Savinjska,2019-12-31,28.0,56.0
ce gaji,Savinjska,2020-01-31,31.0,68.0
ce gaji,Savinjska,2020-02-29,19.0,52.0
ce gaji,Savinjska,2020-03-31,29.0,37.0
ce gaji,Savinjska,2020-04-30,43.0,27.0
ce gaji,Savinjska,2020-05-31,41.0,40.0
ce gaji,Savinjska,2020-06-30,19.0,28.0
ce gaji,Savinjska,2020-07-31,19.0,
ce gaji,Savinjska,2020-08-31,23.0,
ce gaji,Savinjska,2020-09-30,7.0,
ce gaji,Savinjska,2020-10-31,30.0,
ce gaji,Savinjska,2020-11-30,39.0,
ce gaji,Savinjska,2020-12-31,33.0,65.0
ce gaji,Savinjska,2021-01-31,13.0,64.0
ce gaji,Savinjska,2021-02-28,97.0,64.0
ce gaji,Savinjska,2021-03-31,23.0,65.0
ce gaji,Savinjska,2021-04-30,14.0,57.0
ce gaji,Savinjska,2021-05-31,40.0,80.0
ce gaji,Savinjska,2021-06-30,34.0,39.0
ce gaji,Savinjska,2021-07-31,35.0,35.0
ce gaji,Savinjska,2021-08-31,12.0,31.0
ce gaji,Savinjska,2021-09-30,15.0,72.0
ce gaji,Savinjska,2021-10-31,16.0,41.0
ce gaji,Savinjska,2021-11-30,15.0,58.0
ce gaji,Savinjska,2021-12-31,17.0,59.0
ce gaji,Savinjska,2022-01-31,72.0,73.0
ce gaji,Savinjska,2022-02-28,37.0,82.0
ce gaji,Savinjska,2022-03-31,28.0,77.0
ce gaji,Savinjska,2022-04-30,22.0,60.0
ce gaji,Savinjska,2022-05-31,12.0,49.0
ce gaji,Savinjska,2022-06-30,15.0,38.0
ce gaji,Savinjska,2022-07-31,28.0,34.0
ce gaji,Savinjska,2022-08-31,15.0,36.0
ce gaji,Savinjska,2022-09-30,18.0,49.0
ce gaji,Savinjska,2022-10-31,48.0,54.0
ce gaji,Savinjska,2022-11-30,21.0,50.0
ce gaji,Savinjska,2022-12-31,30.0,57.0
ce gaji,Savinjska,2023-01-31,31,75
ce gaji,Savinjska,2023-02-28,24,77
ce gaji,Savinjska,2023-03-31,25,58
ce gaji,Savinjska,2023-04-30,11,63
ce gaji,Savinjska,2023-05-31,16,55
ce gaji,Savinjska,2023-06-30,8,38
ce gaji,Savinjska,2023-07-31,10,31
ce gaji,Savinjska,2023-08-31,12,37
ce gaji,Savinjska,2023-09-30,14,45
ce gaji,Savinjska,2023-10-31,8,52
ce gaji,Savinjska,2023-11-30,13,70
ce gaji,Savinjska,2023-12-31,8,62
celje,Savinjska,1997-01-31,393.0,95.0
celje,Savinjska,1997-02-28,307,62
celje,Savinjska,1997-03-31,975,111
celje,Savinjska,1997-04-30,235,
celje,Savinjska,1997-05-31,129,
celje,Savinjska,1997-06-30,263.0,
celje,Savinjska,1997-07-31,161.0,
celje,Savinjska,1997-08-31,138.0,
celje,Savinjska,1997-09-30,150.0,
celje,Savinjska,1997-10-31,299.0,
celje,Savinjska,1997-11-30,350.0,
celje,Savinjska,1997-12-31,211.0,
celje,Savinjska,1998-01-31,392.0,
celje,Savinjska,1998-02-28,623.0,/ 
celje,Savinjska,1998-03-31,149.0,198
celje,Savinjska,1998-04-30,147.0,109
celje,Savinjska,1998-05-31,129.0,101.0
celje,Savinjska,1998-06-30,126.0,78
celje,Savinjska,1998-07-31,87.0,72
celje,Savinjska,1998-08-31,11.0,
celje,Savinjska,1998-09-30,184.0,64.0
celje,Savinjska,1998-10-31,209.0,63
celje,Savinjska,1998-11-30,283.0,87
celje,Savinjska,1998-12-31,200.0,164.0
celje,Savinjska,1999-01-31,227.0,63.0
celje,Savinjska,1999-02-28,152.0,139.0
celje,Savinjska,1999-03-31,128.0,110.0
celje,Savinjska,1999-04-30,116.0,112.0
celje,Savinjska,1999-05-31,159.0,74.0
celje,Savinjska,1999-06-30,83.0,65.0
celje,Savinjska,1999-07-31,58.0,78.0
celje,Savinjska,1999-08-31,78.0,62.0
celje,Savinjska,1999-09-30,137.0,79.0
celje,Savinjska,1999-10-31,105.0,74.0
celje,Savinjska,1999-11-30,184.0,185.0
celje,Savinjska,1999-12-31,228.0,161.0
celje,Savinjska,2000-01-31,379.0,178.0
celje,Savinjska,2000-02-29,231.0,187.0
celje,Savinjska,2000-03-31,166.0,97.0
celje,Savinjska,2000-04-30,117.0,78.0
celje,Savinjska,2000-05-31,112.0,91.0
celje,Savinjska,2000-06-30,140.0,103.0
celje,Savinjska,2000-07-31,301.0,74.0
celje,Savinjska,2000-08-31,150.0,91.0
celje,Savinjska,2000-09-30,90.0,78.0
celje,Savinjska,2000-10-31,108.0,94.0
celje,Savinjska,2000-11-30,107.0,89.0
celje,Savinjska,2000-12-31,232.0,98.0
celje,Savinjska,2001-01-31,86.0,57.0
celje,Savinjska,2001-02-28,666.0,79.0
celje,Savinjska,2001-03-31,99.0,70.0
celje,Savinjska,2001-04-30,73.0,60.0
celje,Savinjska,2001-05-31,311.0,50.0
celje,Savinjska,2001-06-30,65.0,63.0
celje,Savinjska,2001-07-31,34.0,59.0
celje,Savinjska,2001-08-31,83.0,66.0
celje,Savinjska,2001-09-30,135.0,82.0
celje,Savinjska,2001-10-31,260.0,77.0
celje,Savinjska,2001-11-30,149.0,114.0
celje,Savinjska,2001-12-31,360.0,193.0
celje,Savinjska,2002-01-31,224.0,110
celje,Savinjska,2002-02-28,183.0,134
celje,Savinjska,2002-03-31,129.0,103
celje,Savinjska,2002-04-30,48.0,112
celje,Savinjska,2002-05-31,210.0,66
celje,Savinjska,2002-06-30,197.0,72
celje,Savinjska,2002-07-31,110.0,55
celje,Savinjska,2002-08-31,81.0,60
celje,Savinjska,2002-09-30,87.0,77
celje,Savinjska,2002-10-31,87.0,79
celje,Savinjska,2002-11-30,152.0,82
celje,Savinjska,2002-12-31,58.0,77
celje,Savinjska,2003-01-31,197.0,143
celje,Savinjska,2003-02-28,167.0,118
celje,Savinjska,2003-03-31,116.0,107
celje,Savinjska,2003-04-30,69.0,88
celje,Savinjska,2003-05-31,67.0,99
celje,Savinjska,2003-06-30,78.0,66
celje,Savinjska,2003-07-31,56.0,68
celje,Savinjska,2003-08-31,48.0,102
celje,Savinjska,2003-09-30,135.0,82
celje,Savinjska,2003-10-31,618.0,66
celje,Savinjska,2003-11-30,177.0,65
celje,Savinjska,2003-12-31,168.0,90
celje,Savinjska,2004-01-31,134.0,104.0
celje,Savinjska,2004-02-29,105.0,122.0
celje,Savinjska,2004-03-31,200.0,104.0
celje,Savinjska,2004-04-30,103.0,79.0
celje,Savinjska,2004-05-31,102.0,89.0
celje,Savinjska,2004-06-30,82.0,56.0
celje,Savinjska,2004-07-31,87.0,55.0
celje,Savinjska,2004-08-31,167.0,58.0
celje,Savinjska,2004-09-30,107.0,72.0
celje,Savinjska,2004-10-31,156.0,61.0
celje,Savinjska,2004-11-30,265.0,119.0
celje,Savinjska,2004-12-31,396.0,83.0
celje,Savinjska,2005-01-31,97.0,95.0
celje,Savinjska,2005-02-28,88.0,153.0
celje,Savinjska,2005-03-31,157.0,125.0
celje,Savinjska,2005-04-30,57.0,102.0
celje,Savinjska,2005-05-31,54.0,73.0
celje,Savinjska,2005-06-30,39.0,74.0
celje,Savinjska,2005-07-31,40.0,59.0
celje,Savinjska,2005-08-31,102.0,65.0
celje,Savinjska,2005-09-30,127.0,56.0
celje,Savinjska,2005-10-31,86.0,77.0
celje,Savinjska,2005-11-30,74.0,111.0
celje,Savinjska,2005-12-31,111.0,94.0
celje,Savinjska,2006-01-31,60.0,128
celje,Savinjska,2006-02-28,79.0,104
celje,Savinjska,2006-03-31,49.0,102
celje,Savinjska,2006-04-30,44.0,93
celje,Savinjska,2006-05-31,76.0,96
celje,Savinjska,2006-06-30,33.0,90
celje,Savinjska,2006-07-31,26.0,75
celje,Savinjska,2006-08-31,28.0,57
celje,Savinjska,2006-09-30,52.0,71
celje,Savinjska,2006-10-31,56.0,70
celje,Savinjska,2006-11-30,55.0,172
celje,Savinjska,2006-12-31,90.0,109
celje,Savinjska,2007-01-31,55.0,84
celje,Savinjska,2007-02-28,51.0,99
celje,Savinjska,2007-03-31,76.0,93
celje,Savinjska,2007-04-30,35.0,84
celje,Savinjska,2007-05-31,54.0,59
celje,Savinjska,2007-06-30,38.0,55
celje,Savinjska,2007-07-31,24.0,70
celje,Savinjska,2007-08-31,12.0,52
celje,Savinjska,2007-09-30,27.0,86
celje,Savinjska,2007-10-31,52.0,74
celje,Savinjska,2007-11-30,35.0,84
celje,Savinjska,2007-12-31,29.0,83
celje,Savinjska,2008-01-31,46,90
celje,Savinjska,2008-02-29,25,120
celje,Savinjska,2008-03-31,40,94
celje,Savinjska,2008-04-30,18,83
celje,Savinjska,2008-05-31,29,51
celje,Savinjska,2008-06-30,5,53
celje,Savinjska,2008-07-31,10,89
celje,Savinjska,2008-08-31,25,35
celje,Savinjska,2008-09-30,14,57
celje,Savinjska,2008-10-31,46,53
celje,Savinjska,2008-11-30,82,66
celje,Savinjska,2008-12-31,23,50
celje,Savinjska,2009-01-31,33.0,65
celje,Savinjska,2009-02-28,28.0,95
celje,Savinjska,2009-03-31,23.0,96
celje,Savinjska,2009-04-30,34.0,96
celje,Savinjska,2009-05-31,37.0,84
celje,Savinjska,2009-06-30,23.0,60
celje,Savinjska,2009-07-31,11.0,66
celje,Savinjska,2009-08-31,24.0,61
celje,Savinjska,2009-09-30,19.0,71
celje,Savinjska,2009-10-31,21.0,81
celje,Savinjska,2009-11-30,36.0,77
celje,Savinjska,2009-12-31,23.0,65
celje,Savinjska,2010-01-31,44,118
celje,Savinjska,2010-02-28,33,126
celje,Savinjska,2010-03-31,21,93
celje,Savinjska,2010-04-30,25,72
celje,Savinjska,2010-05-31,46,60
celje,Savinjska,2010-06-30,15,64
celje,Savinjska,2010-07-31,14,72
celje,Savinjska,2010-08-31,6,77
celje,Savinjska,2010-09-30,17,70
celje,Savinjska,2010-10-31,29,79
celje,Savinjska,2010-11-30,40,54
celje,Savinjska,2010-12-31,64,101
celje,Savinjska,2011-01-31,29,85
celje,Savinjska,2011-02-28,40,98
celje,Savinjska,2011-03-31,33,114
celje,Savinjska,2011-04-30,16,93
celje,Savinjska,2011-05-31,20,64
celje,Savinjska,2011-06-30,13,71
celje,Savinjska,2011-07-31,17,55
celje,Savinjska,2011-08-31,42,55
celje,Savinjska,2011-09-30,18,78
celje,Savinjska,2011-10-31,28,70
celje,Savinjska,2011-11-30,68,85
celje,Savinjska,2011-12-31,57,73
celje,Savinjska,2012-01-31,53,84.0
celje,Savinjska,2012-02-29,69,128.0
celje,Savinjska,2012-03-31,35,124.0
celje,Savinjska,2012-04-30,89,84.0
celje,Savinjska,2012-05-31,53,55.0
celje,Savinjska,2012-06-30,41,67.0
celje,Savinjska,2012-07-31,20,67.0
celje,Savinjska,2012-08-31,19,71.0
celje,Savinjska,2012-09-30,17,73.0
celje,Savinjska,2012-10-31,28,83.0
celje,Savinjska,2012-11-30,27,72.0
celje,Savinjska,2012-12-31,29,127.0
celje,Savinjska,2013-01-31,37,100
celje,Savinjska,2013-02-28,43,106
celje,Savinjska,2013-03-31,21,115
celje,Savinjska,2013-04-30,28,75
celje,Savinjska,2013-05-31,20,59
celje,Savinjska,2013-06-30,9,57
celje,Savinjska,2013-07-31,10,49
celje,Savinjska,2013-08-31,23,64
celje,Savinjska,2013-09-30,27,85
celje,Savinjska,2013-10-31,17,88
celje,Savinjska,2013-11-30,21,104
celje,Savinjska,2013-12-31,18,114
celje,Savinjska,2014-01-31,31,84
celje,Savinjska,2014-02-28,21,96
celje,Savinjska,2014-03-31,14,122
celje,Savinjska,2014-04-30,11,98
celje,Savinjska,2014-05-31,33,85
celje,Savinjska,2014-06-30,13,79
celje,Savinjska,2014-07-31,13,74
celje,Savinjska,2014-08-31,9,70
celje,Savinjska,2014-09-30,24,85
celje,Savinjska,2014-10-31,26,81
celje,Savinjska,2014-11-30,41,88
celje,Savinjska,2014-12-31,16,97
celje,Savinjska,2015-01-31,19,147
celje,Savinjska,2015-02-28,29,98
celje,Savinjska,2015-03-31,21,108
celje,Savinjska,2015-04-30,15,89
celje,Savinjska,2015-05-31,10,94
celje,Savinjska,2015-06-30,12,55
celje,Savinjska,2015-07-31,17,37
celje,Savinjska,2015-08-31,17,68
celje,Savinjska,2015-09-30,34,75
celje,Savinjska,2015-10-31,23,65
celje,Savinjska,2015-11-30,36,96
celje,Savinjska,2015-12-31,31,101
celje,Savinjska,2016-01-31,28.0,122.0
celje,Savinjska,2016-02-29,16.0,83.0
celje,Savinjska,2016-03-31,28.0,93.0
celje,Savinjska,2016-04-30,16.0,83.0
celje,Savinjska,2016-05-31,20.0,66.0
celje,Savinjska,2016-06-30,21.0,48.0
celje,Savinjska,2016-07-31,9.0,35.0
celje,Savinjska,2016-08-31,36.0,35.0
celje,Savinjska,2016-09-30,20.0,46.0
celje,Savinjska,2016-10-31,34.0,32.0
celje,Savinjska,2016-11-30,17.0,74.0
celje,Savinjska,2016-12-31,29.0,93.0
celje,Savinjska,2017-01-31,35.0,104.0
celje,Savinjska,2017-02-28,25.0,105.0
celje,Savinjska,2017-03-31,24.0,111.0
celje,Savinjska,2017-04-30,20.0,115.0
celje,Savinjska,2017-05-31,22.0,71.0
celje,Savinjska,2017-06-30,29.0,53.0
celje,Savinjska,2017-07-31,23.0,66.0
celje,Savinjska,2017-08-31,14.0,73.0
celje,Savinjska,2017-09-30,18.0,64.0
celje,Savinjska,2017-10-31,40.0,103.0
celje,Savinjska,2017-11-30,25.0,89.0
celje,Savinjska,2017-12-31,30.0,102.0
celje,Savinjska,2018-01-31,23.0,105.0
celje,Savinjska,2018-02-28,62.0,103.0
celje,Savinjska,2018-03-31,47.0,123.0
celje,Savinjska,2018-04-30,40.0,85.0
celje,Savinjska,2018-05-31,24.0,65.0
celje,Savinjska,2018-06-30,16.0,70.0
celje,Savinjska,2018-07-31,14.0,55.0
celje,Savinjska,2018-08-31,14.0,56.0
celje,Savinjska,2018-09-30,18.0,76.0
celje,Savinjska,2018-10-31,23.0,84.0
celje,Savinjska,2018-11-30,22.0,73.0
celje,Savinjska,2018-12-31,28.0,94.0
celje,Savinjska,2019-01-31,16.0,106.0
celje,Savinjska,2019-02-28,26.0,118.0
celje,Savinjska,2019-03-31,18.0,106.0
celje,Savinjska,2019-04-30,20.0,82.0
celje,Savinjska,2019-05-31,9.0,65.0
celje,Savinjska,2019-06-30,12.0,68.0
celje,Savinjska,2019-07-31,12.0,54.0
celje,Savinjska,2019-08-31,12.0,66.0
celje,Savinjska,2019-09-30,13.0,69.0
celje,Savinjska,2019-10-31,12.0,90.0
celje,Savinjska,2019-11-30,10.0,74.0
celje,Savinjska,2019-12-31,11.0,86.0
deskle,Goriška,2021-01-31,4.0,42.0
deskle,Goriška,2021-02-28,6.0,47.0
deskle,Goriška,2021-03-31,7.0,49.0
deskle,Goriška,2021-04-30,4.0,52.0
deskle,Goriška,2021-05-31,7.0,47.0
deskle,Goriška,2021-06-30,8.0,53.0
deskle,Goriška,2021-07-31,6.0,62.0
deskle,Goriška,2021-08-31,6.0,43.0
deskle,Goriška,2021-09-30,7.0,73.0
deskle,Goriška,2021-10-31,14.0,51.0
deskle,Goriška,2021-11-30,19.0,31.0
deskle,Goriška,2021-12-31,6.0,41.0
dobovec,Zasavska,1997-01-31,6072.0,
dobovec,Zasavska,1997-02-28,1863,
dobovec,Zasavska,1997-03-31,3013,
dobovec,Zasavska,1997-04-30,836,
dobovec,Zasavska,1997-05-31,1304,
dobovec,Zasavska,1997-06-30,1865.0,
dobovec,Zasavska,1997-07-31,2387.0,
dobovec,Zasavska,1997-08-31,2432.0,
dobovec,Zasavska,1997-09-30,939.0,
dobovec,Zasavska,1997-10-31,2940.0,
dobovec,Zasavska,1997-11-30,3843.0,
dobovec,Zasavska,1997-12-31,1500.0,
dobovec,Zasavska,1998-01-31,3781.0,
dobovec,Zasavska,1998-02-28,2273.0,
dobovec,Zasavska,1998-03-31,2312.0,
dobovec,Zasavska,1998-04-30,851.0,
dobovec,Zasavska,1998-05-31,2161.0,
dobovec,Zasavska,1998-06-30,947.0,
dobovec,Zasavska,1998-07-31,2689.0,
dobovec,Zasavska,1998-08-31,1912.0,
dobovec,Zasavska,1998-09-30,1616.0,
dobovec,Zasavska,1998-10-31,2279.0,
dobovec,Zasavska,1998-11-30,2461.0,
dobovec,Zasavska,1998-12-31,4548.0,
dobovec,Zasavska,1999-01-31,3761.0,
dobovec,Zasavska,1999-02-28,1426.0,
dobovec,Zasavska,1999-03-31,732.0,
dobovec,Zasavska,1999-04-30,2235.0,
dobovec,Zasavska,1999-05-31,1609.0,
dobovec,Zasavska,1999-06-30,88.0,
dobovec,Zasavska,1999-07-31,89.0,
dobovec,Zasavska,1999-08-31,976.0,
dobovec,Zasavska,1999-09-30,2142.0,
dobovec,Zasavska,1999-10-31,1919.0,
dobovec,Zasavska,1999-11-30,1861.0,
dobovec,Zasavska,1999-12-31,2039.0,
dobovec,Zasavska,2000-01-31,4073.0,
dobovec,Zasavska,2000-02-29,2278.0,
dobovec,Zasavska,2000-03-31,943.0,
dobovec,Zasavska,2000-04-30,915.0,
dobovec,Zasavska,2000-05-31,2238.0,
dobovec,Zasavska,2000-06-30,990.0,
dobovec,Zasavska,2000-07-31,387.0,
dobovec,Zasavska,2000-08-31,365.0,
dobovec,Zasavska,2000-09-30,556.0,
dobovec,Zasavska,2000-10-31,630.0,
dobovec,Zasavska,2000-11-30,2400.0,
dobovec,Zasavska,2000-12-31,1902.0,
dobovec,Zasavska,2001-01-31,1104.0,
dobovec,Zasavska,2001-02-28,1982.0,
dobovec,Zasavska,2001-03-31,838.0,
dobovec,Zasavska,2001-04-30,2784.0,
dobovec,Zasavska,2001-05-31,911.0,
dobovec,Zasavska,2001-06-30,1053.0,
dobovec,Zasavska,2001-07-31,138.0,
dobovec,Zasavska,2001-08-31,136.0,
dobovec,Zasavska,2001-09-30,1584.0,
dobovec,Zasavska,2001-10-31,3378.0,
dobovec,Zasavska,2001-11-30,2239.0,
dobovec,Zasavska,2001-12-31,3978.0,
dobovec,Zasavska,2002-01-31,4043.0,
dobovec,Zasavska,2002-02-28,1455.0,
dobovec,Zasavska,2002-03-31,1386.0,
dobovec,Zasavska,2002-04-30,1355.0,
dobovec,Zasavska,2002-05-31,1117.0,
dobovec,Zasavska,2002-06-30,1340.0,
dobovec,Zasavska,2002-07-31,964.0,
