Regija,Year,SO2,PM10,NO2,MRD
Goriška,2002,5.666666666666667,39.333333333333336,27.25,0.8
Goriška,2003,6.833333333333333,36.833333333333336,27.25,0.8
Goriška,2004,6.833333333333333,34.25,25.166666666666668,0.7
Goriška,2005,7.083333333333333,33.833333333333336,23.75,0.8
Goriška,2006,4.0,33.916666666666664,23.75,0.6
Goriška,2007,7.083333333333333,27.322580645161292,24.416666666666668,0.5
Goriška,2008,7.75,26.5,29.75,0.7
Goriška,2009,4.25,23.555555555555557,27.666666666666668,0.6
Jugovzhodna Slovenija,2010,1.290909090909091,23.041666666666668,1.9000000000000001,0.6
Jugovzhodna Slovenija,2011,1.0333333333333332,24.166666666666668,2.17,0.6
Jugovzhodna Slovenija,2012,5.666666666666667,21.833333333333332,2.0,0.7
Jugovzhodna Slovenija,2016,0.2833333333333333,18.666666666666668,1.75,0.6
Jugovzhodna Slovenija,2017,0.40833333333333327,19.625,1.6666666666666667,0.7
Jugovzhodna Slovenija,2018,1.1,19.708333333333332,2.0833333333333335,0.5
Jugovzhodna Slovenija,2019,0.7083333333333334,16.291666666666668,2.4166666666666665,0.4
Jugovzhodna Slovenija,2020,0.82,14.523809523809524,2.8,0.4
Jugovzhodna Slovenija,2021,0.82,14.208333333333334,6.5,0.3
Jugovzhodna Slovenija,2022,1.3333333333333333,14.875,6.333333333333333,0.3
Osrednjeslovenska,2002,8.25,41.916666666666664,17.25,0.7
Osrednjeslovenska,2003,10.583333333333334,46.166666666666664,19.041666666666668,0.7
Osrednjeslovenska,2004,8.125,40.666666666666664,17.565217391304348,0.6
Osrednjeslovenska,2005,6.583333333333333,36.416666666666664,16.041666666666668,0.6
Osrednjeslovenska,2006,5.0,30.791666666666668,17.291666666666668,0.6
Osrednjeslovenska,2007,4.125,26.583333333333332,16.333333333333332,0.5
Osrednjeslovenska,2008,2.5833333333333335,28.058823529411764,16.875,0.4
Osrednjeslovenska,2009,4.583333333333333,32.0625,30.444444444444443,0.5
Osrednjeslovenska,2010,3.3333333333333335,43.895833333333336,33.888888888888886,0.4
Osrednjeslovenska,2011,3.3611111111111107,32.583333333333336,31.055555555555557,0.5
Osrednjeslovenska,2012,4.138888888888889,29.729166666666668,28.083333333333332,0.5
Osrednjeslovenska,2013,3.1944444444444446,28.854166666666668,26.944444444444443,0.5
Osrednjeslovenska,2014,3.7777777777777777,25.3125,24.38888888888889,0.4
Osrednjeslovenska,2015,4.055555555555555,27.979166666666668,24.82857142857143,0.5
Osrednjeslovenska,2016,3.4166666666666665,26.520833333333332,23.416666666666668,0.5
Osrednjeslovenska,2017,4.194444444444445,26.466666666666665,32.5,0.5
Osrednjeslovenska,2018,3.076923076923077,25.93103448275862,34.476190476190474,0.4
Osrednjeslovenska,2019,4.291666666666667,22.5,34.56521739130435,0.4
Osrednjeslovenska,2020,3.5833333333333335,22.65277777777778,26.774193548387096,0.3
Osrednjeslovenska,2021,3.5833333333333335,23.341176470588234,25.916666666666668,0.2
Osrednjeslovenska,2022,2.5833333333333335,22.40277777777778,26.416666666666668,0.2
Podravska,2002,7.833333333333333,50.25,36.75,0.8
Podravska,2003,9.083333333333334,50.0,37.5,0.8
Podravska,2004,7.916666666666667,41.875,30.5,0.8
Podravska,2005,7.833333333333333,42.791666666666664,32.75,0.7
Podravska,2006,6.583333333333333,44.583333333333336,39.5,0.6
Podravska,2007,3.25,40.416666666666664,37.166666666666664,0.5
Podravska,2008,2.0833333333333335,34.208333333333336,33.583333333333336,0.6
Podravska,2009,5.416666666666667,30.416666666666668,32.583333333333336,0.6
Podravska,2011,2.983333333333334,30.625,23.083333333333332,0.6
Podravska,2012,4.166666666666667,26.625,23.166666666666668,0.6
Pomurska,2002,4.833333333333333,40.0,13.666666666666666,0.6
Pomurska,2003,5.583333333333333,43.166666666666664,14.75,1.1
Pomurska,2004,4.916666666666667,31.166666666666668,11.0,0.8
Pomurska,2005,5.166666666666667,37.0,14.333333333333334,0.9
Pomurska,2006,6.916666666666667,36.083333333333336,15.166666666666666,0.9
Pomurska,2007,5.25,30.166666666666668,16.916666666666668,0.6
Pomurska,2008,6.333333333333333,29.5,16.166666666666668,0.7
Posavska,2004,22.541666666666668,25.25,4.7272727272727275,0.6
Posavska,2009,8.166666666666666,22.166666666666668,6.583333333333333,0.5
Posavska,2010,10.375,47.75,2.5,0.6
Posavska,2011,4.1125,22.083333333333332,8.333333333333334,0.5
Posavska,2012,4.083333333333333,20.5,7.583333333333333,0.5
Savinjska,2002,23.86904761904762,46.25,20.083333333333332,0.7
Savinjska,2003,17.28723404255319,39.25,13.722222222222221,1.0
Savinjska,2004,10.942857142857143,32.44444444444444,17.181818181818183,0.9
Savinjska,2005,10.76,34.44444444444444,14.714285714285714,0.8
Savinjska,2006,7.62037037037037,35.833333333333336,11.083333333333334,0.7
Savinjska,2007,7.09375,32.458333333333336,9.75,0.6
Savinjska,2008,4.5476190476190474,25.958333333333332,9.145833333333334,0.6
Savinjska,2009,4.333333333333333,27.166666666666668,11.75,0.8
Savinjska,2010,4.821428571428571,42.0,13.055555555555555,0.7
Savinjska,2011,4.682142857142857,29.0,13.972222222222221,0.7
Savinjska,2012,5.607142857142857,26.583333333333332,14.027777777777779,0.9
Savinjska,2013,4.102803738317757,21.666666666666668,14.066666666666666,0.8
Savinjska,2014,4.148148148148148,21.266666666666666,14.533333333333333,0.8
Savinjska,2015,4.224299065420561,22.65,14.283333333333333,0.9
Savinjska,2016,3.6018518518518516,22.566666666666666,11.533333333333333,0.7
Savinjska,2017,4.777777777777778,24.055555555555557,15.152777777777779,0.8
Savinjska,2018,4.916666666666667,24.555555555555557,12.402777777777779,0.7
Savinjska,2019,4.194444444444445,21.51388888888889,10.86111111111111,0.6
Savinjska,2020,3.9722222222222223,19.625,9.91044776119403,0.5
Savinjska,2021,3.9722222222222223,18.879518072289155,10.630952380952381,0.4
Savinjska,2022,3.316666666666667,17.625,11.05952380952381,0.3
Zasavska,2002,30.227848101265824,47.083333333333336,17.125,1.1
Zasavska,2003,29.76923076923077,51.25,20.095238095238095,0.9
Zasavska,2004,26.61904761904762,38.97222222222222,19.75,0.9
Zasavska,2005,20.047619047619047,45.05555555555556,17.52173913043478,0.9
Zasavska,2006,8.297619047619047,41.05555555555556,17.666666666666668,0.7
Zasavska,2007,7.238095238095238,36.94444444444444,16.958333333333332,0.4
Zasavska,2008,7.238095238095238,36.72222222222222,17.5,0.6
