Postaja,Regija,Leto,Mesec,NO2
trbovlje,Zasavska,2002,Jun,22.0
nova gorica,Goriška,2002,Jun,25.0
murska s.-rakican,Pomurska,2002,Jun,11.0
skale,Savinjska,2002,Jun,6.0
kovk,Zasavska,2002,Jun,4.0
vnajnarje,Osrednjeslovenska,2002,Jun,3.0
ljubljana b.,Osrednjeslovenska,2002,Jul,19.0
maribor,Podravska,2002,Jul,30.0
celje,Savinjska,2002,Jul,15.0
trbovlje,Zasavska,2002,Jul,24.0
nova gorica,Goriška,2002,Jul,23.0
murska s.-rakican,Pomurska,2002,Jul,11.0
skale,Savinjska,2002,Jul,26.0
kovk,Zasavska,2002,Jul,4.0
vnajnarje,Osrednjeslovenska,2002,Jul,5.0
ljubljana b.,Osrednjeslovenska,2002,Avg,19.0
maribor,Podravska,2002,Avg,30.0
celje,Savinjska,2002,Avg,16.0
trbovlje,Zasavska,2002,Avg,23.0
nova gorica,Goriška,2002,Avg,13.0
murska s.-rakican,Pomurska,2002,Avg,11.0
skale,Savinjska,2002,Avg,21.0
kovk,Zasavska,2002,Avg,4.0
vnajnarje,Osrednjeslovenska,2002,Avg,5.0
ljubljana b.,Osrednjeslovenska,2002,Sep,24.0
maribor,Podravska,2002,Sep,33.0
celje,Savinjska,2002,Sep,22.0
trbovlje,Zasavska,2002,Sep,28.0
nova gorica,Goriška,2002,Sep,17.0
murska s.-rakican,Pomurska,2002,Sep,11.0
skale,Savinjska,2002,Sep,22.0
kovk,Zasavska,2002,Sep,5.0
vnajnarje,Osrednjeslovenska,2002,Sep,4.0
ljubljana b.,Osrednjeslovenska,2002,Okt,33.0
maribor,Podravska,2002,Okt,36.0
celje,Savinjska,2002,Okt,20.0
trbovlje,Zasavska,2002,Okt,28.0
nova gorica,Goriška,2002,Okt,22.0
murska s.-rakican,Pomurska,2002,Okt,13.0
skale,Savinjska,2002,Okt,22.0
kovk,Zasavska,2002,Okt,7.0
vnajnarje,Osrednjeslovenska,2002,Okt,6.0
ljubljana b.,Osrednjeslovenska,2002,Nov,36.0
maribor,Podravska,2002,Nov,36.0
celje,Savinjska,2002,Nov,26.0
trbovlje,Zasavska,2002,Nov,31.0
nova gorica,Goriška,2002,Nov,25.0
murska s.-rakican,Pomurska,2002,Nov,15.0
skale,Savinjska,2002,Nov,13.0
kovk,Zasavska,2002,Nov,9.0
vnajnarje,Osrednjeslovenska,2002,Nov,7.0
ljubljana b.,Osrednjeslovenska,2002,Dec,30.0
maribor,Podravska,2002,Dec,30.0
celje,Savinjska,2002,Dec,24.0
trbovlje,Zasavska,2002,Dec,29.0
nova gorica,Goriška,2002,Dec,26.0
murska s.-rakican,Pomurska,2002,Dec,16.0
skale,Savinjska,2002,Dec,15.0
kovk,Zasavska,2002,Dec,10.0
vnajnarje,Osrednjeslovenska,2002,Dec,11.0
ljubljana b.,Osrednjeslovenska,2003,Jan,57.0
maribor,Podravska,2003,Jan,50.0
celje,Savinjska,2003,Jan,44.0
trbovlje,Zasavska,2003,Jan,38.0
nova gorica,Goriška,2003,Jan,34.0
murska s.-rakican,Pomurska,2003,Jan,27.0
zavodnje,Savinjska,2003,Jan,3.0
skale,Savinjska,2003,Jan,17.0
kovk,Zasavska,2003,Jan,3.0
vnajnarje,Osrednjeslovenska,2003,Jan,10.0
ljubljana b.,Osrednjeslovenska,2003,Feb,50.0
maribor,Podravska,2003,Feb,52.0
celje,Savinjska,2003,Feb,48.0
trbovlje,Zasavska,2003,Feb,44.0
nova gorica,Goriška,2003,Feb,32.0
murska s.-rakican,Pomurska,2003,Feb,24.0
zavodnje,Savinjska,2003,Feb,7.0
skale,Savinjska,2003,Feb,13.0
kovk,Zasavska,2003,Feb,3.0
vnajnarje,Osrednjeslovenska,2003,Feb,6.0
ljubljana b.,Osrednjeslovenska,2003,Mar,39.0
maribor,Podravska,2003,Mar,47.0
celje,Savinjska,2003,Mar,33.0
trbovlje,Zasavska,2003,Mar,39.0
nova gorica,Goriška,2003,Mar,34.0
murska s.-rakican,Pomurska,2003,Mar,18.0
zavodnje,Savinjska,2003,Mar,12.0
skale,Savinjska,2003,Mar,12.0
kovk,Zasavska,2003,Mar,3.0
vnajnarje,Osrednjeslovenska,2003,Mar,6.0
ljubljana b.,Osrednjeslovenska,2003,Apr,26.0
maribor,Podravska,2003,Apr,34.0
celje,Savinjska,2003,Apr,22.0
trbovlje,Zasavska,2003,Apr,34.0
nova gorica,Goriška,2003,Apr,26.0
murska s.-rakican,Pomurska,2003,Apr,11.0
zavodnje,Savinjska,2003,Apr,3.0
skale,Savinjska,2003,Apr,8.0
kovk,Zasavska,2003,Apr,
vnajnarje,Osrednjeslovenska,2003,Apr,5.0
ljubljana b.,Osrednjeslovenska,2003,Maj,25.0
maribor,Podravska,2003,Maj,36.0
celje,Savinjska,2003,Maj,19.0
trbovlje,Zasavska,2003,Maj,33.0
nova gorica,Goriška,2003,Maj,24.0
murska s.-rakican,Pomurska,2003,Maj,12.0
zavodnje,Savinjska,2003,Maj,7.0
skale,Savinjska,2003,Maj,5.0
kovk,Zasavska,2003,Maj,
vnajnarje,Osrednjeslovenska,2003,Maj,4.0
ljubljana b.,Osrednjeslovenska,2003,Jun,21.0
maribor,Podravska,2003,Jun,36.0
celje,Savinjska,2003,Jun,18.0
trbovlje,Zasavska,2003,Jun,29.0
nova gorica,Goriška,2003,Jun,20.0
murska s.-rakican,Pomurska,2003,Jun,12.0
zavodnje,Savinjska,2003,Jun,7.0
skale,Savinjska,2003,Jun,4.0
kovk,Zasavska,2003,Jun,2.0
vnajnarje,Osrednjeslovenska,2003,Jun,4.0
ljubljana b.,Osrednjeslovenska,2003,Jul,20.0
maribor,Podravska,2003,Jul,29.0
celje,Savinjska,2003,Jul,16.0
trbovlje,Zasavska,2003,Jul,29.0
nova gorica,Goriška,2003,Jul,17.0
murska s.-rakican,Pomurska,2003,Jul,12.0
zavodnje,Savinjska,2003,Jul,4.0
skale,Savinjska,2003,Jul,4.0
kovk,Zasavska,2003,Jul,2.0
vnajnarje,Osrednjeslovenska,2003,Jul,3.0
ljubljana b.,Osrednjeslovenska,2003,Avg,25.0
maribor,Podravska,2003,Avg,28.0
celje,Savinjska,2003,Avg,20.0
trbovlje,Zasavska,2003,Avg,32.0
nova gorica,Goriška,2003,Avg,19.0
murska s.-rakican,Pomurska,2003,Avg,13.0
zavodnje,Savinjska,2003,Avg,4.0
skale,Savinjska,2003,Avg,5.0
kovk,Zasavska,2003,Avg,
vnajnarje,Osrednjeslovenska,2003,Avg,3.0
ljubljana b.,Osrednjeslovenska,2003,Sep,33.0
maribor,Podravska,2003,Sep,32.0
celje,Savinjska,2003,Sep,26.0
trbovlje,Zasavska,2003,Sep,31.0
nova gorica,Goriška,2003,Sep,26.0
murska s.-rakican,Pomurska,2003,Sep,13.0
zavodnje,Savinjska,2003,Sep,6.0
skale,Savinjska,2003,Sep,5.0
kovk,Zasavska,2003,Sep,2.0
vnajnarje,Osrednjeslovenska,2003,Sep,4.0
ljubljana b.,Osrednjeslovenska,2003,Okt,29.0
maribor,Podravska,2003,Okt,34.0
celje,Savinjska,2003,Okt,23.0
trbovlje,Zasavska,2003,Okt,27.0
nova gorica,Goriška,2003,Okt,29.0
murska s.-rakican,Pomurska,2003,Okt,11.0
zavodnje,Savinjska,2003,Okt,3.0
skale,Savinjska,2003,Okt,7.0
kovk,Zasavska,2003,Okt,4.0
vnajnarje,Osrednjeslovenska,2003,Okt,5.0
ljubljana b.,Osrednjeslovenska,2003,Nov,30.0
maribor,Podravska,2003,Nov,36.0
celje,Savinjska,2003,Nov,24.0
trbovlje,Zasavska,2003,Nov,23.0
nova gorica,Goriška,2003,Nov,30.0
murska s.-rakican,Pomurska,2003,Nov,11.0
zavodnje,Savinjska,2003,Nov,4.0
skale,Savinjska,2003,Nov,10.0
kovk,Zasavska,2003,Nov,5.0
vnajnarje,Osrednjeslovenska,2003,Nov,6.0
ljubljana b.,Osrednjeslovenska,2003,Dec,37.0
maribor,Podravska,2003,Dec,36.0
celje,Savinjska,2003,Dec,32.0
trbovlje,Zasavska,2003,Dec,31.0
nova gorica,Goriška,2003,Dec,36.0
murska s.-rakican,Pomurska,2003,Dec,13.0
zavodnje,Savinjska,2003,Dec,6.0
skale,Savinjska,2003,Dec,13.0
kovk,Zasavska,2003,Dec,8.0
vnajnarje,Osrednjeslovenska,2003,Dec,9.0
ljubljana b.,Osrednjeslovenska,2004,Jan,37.0
maribor,Podravska,2004,Jan,34.0
celje,Savinjska,2004,Jan,33.0
trbovlje,Zasavska,2004,Jan,27.0
nova gorica,Goriška,2004,Jan,33.0
murska s.-rakican,Pomurska,2004,Jan,14.0
zavodnje,Savinjska,2004,Jan,4.0
skale,Savinjska,2004,Jan,15.0
kovk,Zasavska,2004,Jan,22.0
sv.mohor,Posavska,2004,Jan,9.0
vnajnarje,Osrednjeslovenska,2004,Jan,9.0
eis celje,Savinjska,2004,Jan,50.0
ljubljana b.,Osrednjeslovenska,2004,Feb,42.0
maribor,Podravska,2004,Feb,36.0
celje,Savinjska,2004,Feb,38.0
trbovlje,Zasavska,2004,Feb,29.0
nova gorica,Goriška,2004,Feb,31.0
murska s.-rakican,Pomurska,2004,Feb,18.0
zavodnje,Savinjska,2004,Feb,8.0
skale,Savinjska,2004,Feb,14.0
kovk,Zasavska,2004,Feb,5.0
sv.mohor,Posavska,2004,Feb,7.0
vnajnarje,Osrednjeslovenska,2004,Feb,7.0
eis celje,Savinjska,2004,Feb,48.0
ljubljana b.,Osrednjeslovenska,2004,Mar,42.0
maribor,Podravska,2004,Mar,37.0
celje,Savinjska,2004,Mar,36.0
trbovlje,Zasavska,2004,Mar,30.0
nova gorica,Goriška,2004,Mar,26.0
murska s.-rakican,Pomurska,2004,Mar,10.0
zavodnje,Savinjska,2004,Mar,8.0
skale,Savinjska,2004,Mar,9.0
kovk,Zasavska,2004,Mar,11.0
sv.mohor,Posavska,2004,Mar,4.0
vnajnarje,Osrednjeslovenska,2004,Mar,5.0
eis celje,Savinjska,2004,Mar,50.0
ljubljana b.,Osrednjeslovenska,2004,Apr,29.0
maribor,Podravska,2004,Apr,33.0
celje,Savinjska,2004,Apr,26.0
trbovlje,Zasavska,2004,Apr,31.0
nova gorica,Goriška,2004,Apr,26.0
murska s.-rakican,Pomurska,2004,Apr,8.0
zavodnje,Savinjska,2004,Apr,4.0
skale,Savinjska,2004,Apr,8.0
kovk,Zasavska,2004,Apr,12.0
sv.mohor,Posavska,2004,Apr,4.0
vnajnarje,Osrednjeslovenska,2004,Apr,4.0
eis celje,Savinjska,2004,Apr,38.0
ljubljana b.,Osrednjeslovenska,2004,Maj,24.0
maribor,Podravska,2004,Maj,32.0
celje,Savinjska,2004,Maj,19.0
trbovlje,Zasavska,2004,Maj,26.0
nova gorica,Goriška,2004,Maj,20.0
murska s.-rakican,Pomurska,2004,Maj,10.0
zavodnje,Savinjska,2004,Maj,4.0
skale,Savinjska,2004,Maj,7.0
kovk,Zasavska,2004,Maj,13.0
sv.mohor,Posavska,2004,Maj,9.0
vnajnarje,Osrednjeslovenska,2004,Maj,3.0
eis celje,Savinjska,2004,Maj,31.0
ljubljana b.,Osrednjeslovenska,2004,Jun,22.0
maribor,Podravska,2004,Jun,24.0
celje,Savinjska,2004,Jun,15.0
trbovlje,Zasavska,2004,Jun,27.0
nova gorica,Goriška,2004,Jun,20.0
murska s.-rakican,Pomurska,2004,Jun,9.0
zavodnje,Savinjska,2004,Jun,4.0
skale,Savinjska,2004,Jun,5.0
kovk,Zasavska,2004,Jun,8.0
sv.mohor,Posavska,2004,Jun,
vnajnarje,Osrednjeslovenska,2004,Jun,3.0
eis celje,Savinjska,2004,Jun,
ljubljana b.,Osrednjeslovenska,2004,Jul,18.0
maribor,Podravska,2004,Jul,25.0
celje,Savinjska,2004,Jul,13.0
trbovlje,Zasavska,2004,Jul,25.0
nova gorica,Goriška,2004,Jul,18.0
murska s.-rakican,Pomurska,2004,Jul,8.0
zavodnje,Savinjska,2004,Jul,6.0
skale,Savinjska,2004,Jul,4.0
kovk,Zasavska,2004,Jul,8.0
sv.mohor,Posavska,2004,Jul,1.0
vnajnarje,Osrednjeslovenska,2004,Jul,3.0
eis celje,Savinjska,2004,Jul,22.0
ljubljana b.,Osrednjeslovenska,2004,Avg,18.0
maribor,Podravska,2004,Avg,28.0
celje,Savinjska,2004,Avg,13.0
trbovlje,Zasavska,2004,Avg,22.0
nova gorica,Goriška,2004,Avg,20.0
murska s.-rakican,Pomurska,2004,Avg,9.0
zavodnje,Savinjska,2004,Avg,4.0
skale,Savinjska,2004,Avg,4.0
kovk,Zasavska,2004,Avg,14.0
sv.mohor,Posavska,2004,Avg,2.0
vnajnarje,Osrednjeslovenska,2004,Avg,3.0
eis celje,Savinjska,2004,Avg,21.0
ljubljana b.,Osrednjeslovenska,2004,Sep,24.0
maribor,Podravska,2004,Sep,25.0
celje,Savinjska,2004,Sep,21.0
trbovlje,Zasavska,2004,Sep,25.0
nova gorica,Goriška,2004,Sep,20.0
murska s.-rakican,Pomurska,2004,Sep,10.0
zavodnje,Savinjska,2004,Sep,2.0
skale,Savinjska,2004,Sep,5.0
kovk,Zasavska,2004,Sep,6.0
sv.mohor,Posavska,2004,Sep,2.0
vnajnarje,Osrednjeslovenska,2004,Sep,3.0
eis celje,Savinjska,2004,Sep,
ljubljana b.,Osrednjeslovenska,2004,Okt,23.0
maribor,Podravska,2004,Okt,28.0
celje,Savinjska,2004,Okt,20.0
trbovlje,Zasavska,2004,Okt,24.0
nova gorica,Goriška,2004,Okt,20.0
murska s.-rakican,Pomurska,2004,Okt,10.0
zavodnje,Savinjska,2004,Okt,2.0
skale,Savinjska,2004,Okt,7.0
kovk,Zasavska,2004,Okt,14.0
sv.mohor,Posavska,2004,Okt,2.0
vnajnarje,Osrednjeslovenska,2004,Okt,
eis celje,Savinjska,2004,Okt,
ljubljana b.,Osrednjeslovenska,2004,Nov,31.0
maribor,Podravska,2004,Nov,33.0
celje,Savinjska,2004,Nov,28.0
trbovlje,Zasavska,2004,Nov,22.0
nova gorica,Goriška,2004,Nov,31.0
murska s.-rakican,Pomurska,2004,Nov,13.0
zavodnje,Savinjska,2004,Nov,4.0
skale,Savinjska,2004,Nov,12.0
kovk,Zasavska,2004,Nov,12.0
sv.mohor,Posavska,2004,Nov,5.0
vnajnarje,Osrednjeslovenska,2004,Nov,9.0
eis celje,Savinjska,2004,Nov,37.0
ljubljana b.,Osrednjeslovenska,2004,Dec,35.0
maribor,Podravska,2004,Dec,31.0
celje,Savinjska,2004,Dec,29.0
trbovlje,Zasavska,2004,Dec,30.0
nova gorica,Goriška,2004,Dec,37.0
murska s.-rakican,Pomurska,2004,Dec,13.0
zavodnje,Savinjska,2004,Dec,14.0
skale,Savinjska,2004,Dec,14.0
kovk,Zasavska,2004,Dec,31.0
sv.mohor,Posavska,2004,Dec,7.0
vnajnarje,Osrednjeslovenska,2004,Dec,10.0
eis celje,Savinjska,2004,Dec,
ljubljana b.,Osrednjeslovenska,2005,Jan,42.0
maribor,Podravska,2005,Jan,32.0
celje,Savinjska,2005,Jan,37.0
trbovlje,Zasavska,2005,Jan,26.0
nova gorica,Goriška,2005,Jan,34.0
murska s.-rakican,Pomurska,2005,Jan,14.0
zavodnje,Savinjska,2005,Jan,11.0
skale,Savinjska,2005,Jan,7.0
kovk,Zasavska,2005,Jan,12.0
eis teb,Savinjska,2005,Jan,8.0
vnajnarje,Osrednjeslovenska,2005,Jan,7.0
eis celje,Savinjska,2005,Jan,
ljubljana b.,Osrednjeslovenska,2005,Feb,35.0
maribor,Podravska,2005,Feb,40.0
celje,Savinjska,2005,Feb,43.0
trbovlje,Zasavska,2005,Feb,27.0
nova gorica,Goriška,2005,Feb,32.0
murska s.-rakican,Pomurska,2005,Feb,23.0
zavodnje,Savinjska,2005,Feb,8.0
skale,Savinjska,2005,Feb,9.0
kovk,Zasavska,2005,Feb,10.0
eis teb,Savinjska,2005,Feb,
vnajnarje,Osrednjeslovenska,2005,Feb,5.0
eis celje,Savinjska,2005,Feb,
ljubljana b.,Osrednjeslovenska,2005,Mar,35.0
maribor,Podravska,2005,Mar,43.0
celje,Savinjska,2005,Mar,43.0
trbovlje,Zasavska,2005,Mar,33.0
nova gorica,Goriška,2005,Mar,34.0
murska s.-rakican,Pomurska,2005,Mar,17.0
zavodnje,Savinjska,2005,Mar,4.0
skale,Savinjska,2005,Mar,5.0
kovk,Zasavska,2005,Mar,16.0
eis teb,Savinjska,2005,Mar,
vnajnarje,Osrednjeslovenska,2005,Mar,4.0
eis celje,Savinjska,2005,Mar,
ljubljana b.,Osrednjeslovenska,2005,Apr,24.0
maribor,Podravska,2005,Apr,30.0
celje,Savinjska,2005,Apr,18.0
trbovlje,Zasavska,2005,Apr,22.0
nova gorica,Goriška,2005,Apr,21.0
murska s.-rakican,Pomurska,2005,Apr,13.0
zavodnje,Savinjska,2005,Apr,2.0
skale,Savinjska,2005,Apr,3.0
kovk,Zasavska,2005,Apr,9.0
eis teb,Savinjska,2005,Apr,3.0
vnajnarje,Osrednjeslovenska,2005,Apr,3.0
eis celje,Savinjska,2005,Apr,
ljubljana b.,Osrednjeslovenska,2005,Maj,19.0
maribor,Podravska,2005,Maj,32.0
celje,Savinjska,2005,Maj,17.0
trbovlje,Zasavska,2005,Maj,24.0
nova gorica,Goriška,2005,Maj,21.0
murska s.-rakican,Pomurska,2005,Maj,9.0
zavodnje,Savinjska,2005,Maj,1.0
skale,Savinjska,2005,Maj,1.0
kovk,Zasavska,2005,Maj,
eis teb,Savinjska,2005,Maj,4.0
vnajnarje,Osrednjeslovenska,2005,Maj,2.0
eis celje,Savinjska,2005,Maj,43.0
ljubljana b.,Osrednjeslovenska,2005,Jun,26.0
maribor,Podravska,2005,Jun,28.0
celje,Savinjska,2005,Jun,16.0
trbovlje,Zasavska,2005,Jun,24.0
nova gorica,Goriška,2005,Jun,18.0
murska s.-rakican,Pomurska,2005,Jun,12.0
zavodnje,Savinjska,2005,Jun,2.0
skale,Savinjska,2005,Jun,1.0
kovk,Zasavska,2005,Jun,10.0
eis teb,Savinjska,2005,Jun,2.0
vnajnarje,Osrednjeslovenska,2005,Jun,3.0
eis celje,Savinjska,2005,Jun,32.0
ljubljana b.,Osrednjeslovenska,2005,Jul,22.0
maribor,Podravska,2005,Jul,25.0
celje,Savinjska,2005,Jul,16.0
trbovlje,Zasavska,2005,Jul,20.0
nova gorica,Goriška,2005,Jul,16.0
murska s.-rakican,Pomurska,2005,Jul,10.0
zavodnje,Savinjska,2005,Jul,1.0
skale,Savinjska,2005,Jul,0.0
kovk,Zasavska,2005,Jul,9.0
eis teb,Savinjska,2005,Jul,
vnajnarje,Osrednjeslovenska,2005,Jul,3.0
eis celje,Savinjska,2005,Jul,31.0
ljubljana b.,Osrednjeslovenska,2005,Avg,20.0
maribor,Podravska,2005,Avg,24.0
celje,Savinjska,2005,Avg,15.0
trbovlje,Zasavska,2005,Avg,19.0
nova gorica,Goriška,2005,Avg,13.0
murska s.-rakican,Pomurska,2005,Avg,10.0
zavodnje,Savinjska,2005,Avg,1.0
skale,Savinjska,2005,Avg,0.0
kovk,Zasavska,2005,Avg,8.0
eis teb,Savinjska,2005,Avg,1.0
vnajnarje,Osrednjeslovenska,2005,Avg,2.0
eis celje,Savinjska,2005,Avg,29.0
ljubljana b.,Osrednjeslovenska,2005,Sep,22.0
maribor,Podravska,2005,Sep,26.0
celje,Savinjska,2005,Sep,15.0
trbovlje,Zasavska,2005,Sep,17.0
nova gorica,Goriška,2005,Sep,20.0
murska s.-rakican,Pomurska,2005,Sep,11.0
zavodnje,Savinjska,2005,Sep,1.0
skale,Savinjska,2005,Sep,0.0
kovk,Zasavska,2005,Sep,8.0
eis teb,Savinjska,2005,Sep,3.0
vnajnarje,Osrednjeslovenska,2005,Sep,2.0
eis celje,Savinjska,2005,Sep,36.0
ljubljana b.,Osrednjeslovenska,2005,Okt,23.0
maribor,Podravska,2005,Okt,27.0
celje,Savinjska,2005,Okt,26.0
trbovlje,Zasavska,2005,Okt,25.0
nova gorica,Goriška,2005,Okt,24.0
murska s.-rakican,Pomurska,2005,Okt,15.0
zavodnje,Savinjska,2005,Okt,2.0
skale,Savinjska,2005,Okt,4.0
kovk,Zasavska,2005,Okt,10.0
eis teb,Savinjska,2005,Okt,
vnajnarje,Osrednjeslovenska,2005,Okt,3.0
eis celje,Savinjska,2005,Okt,
ljubljana b.,Osrednjeslovenska,2005,Nov,28.0
maribor,Podravska,2005,Nov,39.0
celje,Savinjska,2005,Nov,33.0
trbovlje,Zasavska,2005,Nov,24.0
nova gorica,Goriška,2005,Nov,22.0
murska s.-rakican,Pomurska,2005,Nov,20.0
zavodnje,Savinjska,2005,Nov,3.0
skale,Savinjska,2005,Nov,17.0
kovk,Zasavska,2005,Nov,14.0
eis teb,Savinjska,2005,Nov,
vnajnarje,Osrednjeslovenska,2005,Nov,4.0
eis celje,Savinjska,2005,Nov,48.0
ljubljana b.,Osrednjeslovenska,2005,Dec,40.0
maribor,Podravska,2005,Dec,47.0
celje,Savinjska,2005,Dec,39.0
trbovlje,Zasavska,2005,Dec,25.0
nova gorica,Goriška,2005,Dec,30.0
murska s.-rakican,Pomurska,2005,Dec,18.0
zavodnje,Savinjska,2005,Dec,5.0
skale,Savinjska,2005,Dec,15.0
kovk,Zasavska,2005,Dec,11.0
eis teb,Savinjska,2005,Dec,
vnajnarje,Osrednjeslovenska,2005,Dec,11.0
eis celje,Savinjska,2005,Dec,60.0
ljubljana bezigrad,Osrednjeslovenska,2006,Jan,45.0
maribor,Podravska,2006,Jan,55.0
celje,Savinjska,2006,Jan,51.0
trbovlje,Zasavska,2006,Jan,27.0
murska s.-rakican,Pomurska,2006,Jan,16.0
nova gorica,Goriška,2006,Jan,34.0
vnajnarje,Osrednjeslovenska,2006,Jan,9.0
zavodnje,Savinjska,2006,Jan,5.0
skale,Savinjska,2006,Jan,18.0
kovk,Zasavska,2006,Jan,19.0
eis teb (sv.mohor),Savinjska,2006,Jan,7.0
ljubljana bezigrad,Osrednjeslovenska,2006,Feb,45.0
maribor,Podravska,2006,Feb,53.0
celje,Savinjska,2006,Feb,46.0
trbovlje,Zasavska,2006,Feb,32.0
murska s.-rakican,Pomurska,2006,Feb,17.0
nova gorica,Goriška,2006,Feb,30.0
vnajnarje,Osrednjeslovenska,2006,Feb,9.0
zavodnje,Savinjska,2006,Feb,7.0
skale,Savinjska,2006,Feb,18.0
kovk,Zasavska,2006,Feb,17.0
eis teb (sv.mohor),Savinjska,2006,Feb,3.0
ljubljana bezigrad,Osrednjeslovenska,2006,Mar,37.0
maribor,Podravska,2006,Mar,44.0
celje,Savinjska,2006,Mar,31.0
trbovlje,Zasavska,2006,Mar,25.0
murska s.-rakican,Pomurska,2006,Mar,15.0
nova gorica,Goriška,2006,Mar,25.0
vnajnarje,Osrednjeslovenska,2006,Mar,6.0
zavodnje,Savinjska,2006,Mar,3.0
skale,Savinjska,2006,Mar,11.0
kovk,Zasavska,2006,Mar,12.0
eis teb (sv.mohor),Savinjska,2006,Mar,2.0
ljubljana bezigrad,Osrednjeslovenska,2006,Apr,26.0
maribor,Podravska,2006,Apr,33.0
celje,Savinjska,2006,Apr,22.0
trbovlje,Zasavska,2006,Apr,24.0
murska s.-rakican,Pomurska,2006,Apr,15.0
nova gorica,Goriška,2006,Apr,20.0
vnajnarje,Osrednjeslovenska,2006,Apr,3.0
zavodnje,Savinjska,2006,Apr,1.0
skale,Savinjska,2006,Apr,7.0
kovk,Zasavska,2006,Apr,11.0
eis teb (sv.mohor),Savinjska,2006,Apr,1.0
ljubljana bezigrad,Osrednjeslovenska,2006,Maj,19.0
maribor,Podravska,2006,Maj,33.0
celje,Savinjska,2006,Maj,22.0
trbovlje,Zasavska,2006,Maj,22.0
murska s.-rakican,Pomurska,2006,Maj,19.0
nova gorica,Goriška,2006,Maj,17.0
vnajnarje,Osrednjeslovenska,2006,Maj,3.0
zavodnje,Savinjska,2006,Maj,1.0
skale,Savinjska,2006,Maj,6.0
kovk,Zasavska,2006,Maj,9.0
eis teb (sv.mohor),Savinjska,2006,Maj,1.0
ljubljana bezigrad,Osrednjeslovenska,2006,Jun,20.0
maribor,Podravska,2006,Jun,37.0
celje,Savinjska,2006,Jun,21.0
trbovlje,Zasavska,2006,Jun,23.0
murska s.-rakican,Pomurska,2006,Jun,9.0
nova gorica,Goriška,2006,Jun,19.0
vnajnarje,Osrednjeslovenska,2006,Jun,2.0
zavodnje,Savinjska,2006,Jun,3.0
skale,Savinjska,2006,Jun,5.0
kovk,Zasavska,2006,Jun,7.0
eis teb (sv.mohor),Savinjska,2006,Jun,3.0
ljubljana bezigrad,Osrednjeslovenska,2006,Jul,20.0
maribor,Podravska,2006,Jul,33.0
celje,Savinjska,2006,Jul,19.0
trbovlje,Zasavska,2006,Jul,23.0
murska s.-rakican,Pomurska,2006,Jul,9.0
nova gorica,Goriška,2006,Jul,15.0
vnajnarje,Osrednjeslovenska,2006,Jul,2.0
zavodnje,Savinjska,2006,Jul,4.0
skale,Savinjska,2006,Jul,5.0
kovk,Zasavska,2006,Jul,10.0
eis teb (sv.mohor),Savinjska,2006,Jul,7.0
ljubljana bezigrad,Osrednjeslovenska,2006,Avg,23.0
maribor,Podravska,2006,Avg,28.0
celje,Savinjska,2006,Avg,16.0
trbovlje,Zasavska,2006,Avg,19.0
murska s.-rakican,Pomurska,2006,Avg,10.0
nova gorica,Goriška,2006,Avg,16.0
vnajnarje,Osrednjeslovenska,2006,Avg,3.0
zavodnje,Savinjska,2006,Avg,1.0
skale,Savinjska,2006,Avg,4.0
kovk,Zasavska,2006,Avg,11.0
eis teb (sv.mohor),Savinjska,2006,Avg,7.0
ljubljana bezigrad,Osrednjeslovenska,2006,Sep,27.0
maribor,Podravska,2006,Sep,38.0
celje,Savinjska,2006,Sep,26.0
trbovlje,Zasavska,2006,Sep,22.0
murska s.-rakican,Pomurska,2006,Sep,11.0
nova gorica,Goriška,2006,Sep,20.0
vnajnarje,Osrednjeslovenska,2006,Sep,3.0
zavodnje,Savinjska,2006,Sep,5.0
skale,Savinjska,2006,Sep,3.0
kovk,Zasavska,2006,Sep,7.0
eis teb (sv.mohor),Savinjska,2006,Sep,5.0
ljubljana bezigrad,Osrednjeslovenska,2006,Okt,28.0
maribor,Podravska,2006,Okt,37.0
celje,Savinjska,2006,Okt,24.0
trbovlje,Zasavska,2006,Okt,22.0
murska s.-rakican,Pomurska,2006,Okt,16.0
nova gorica,Goriška,2006,Okt,25.0
vnajnarje,Osrednjeslovenska,2006,Okt,4.0
zavodnje,Savinjska,2006,Okt,3.0
skale,Savinjska,2006,Okt,1.0
kovk,Zasavska,2006,Okt,12.0
eis teb (sv.mohor),Savinjska,2006,Okt,4.0
ljubljana bezigrad,Osrednjeslovenska,2006,Nov,35.0
maribor,Podravska,2006,Nov,44.0
celje,Savinjska,2006,Nov,29.0
trbovlje,Zasavska,2006,Nov,20.0
murska s.-rakican,Pomurska,2006,Nov,23.0
nova gorica,Goriška,2006,Nov,33.0
vnajnarje,Osrednjeslovenska,2006,Nov,7.0
zavodnje,Savinjska,2006,Nov,6.0
skale,Savinjska,2006,Nov,0.0
kovk,Zasavska,2006,Nov,15.0
eis teb (sv.mohor),Savinjska,2006,Nov,2.0
ljubljana bezigrad,Osrednjeslovenska,2006,Dec,32.0
maribor,Podravska,2006,Dec,39.0
celje,Savinjska,2006,Dec,30.0
trbovlje,Zasavska,2006,Dec,24.0
murska s.-rakican,Pomurska,2006,Dec,22.0
nova gorica,Goriška,2006,Dec,31.0
vnajnarje,Osrednjeslovenska,2006,Dec,7.0
zavodnje,Savinjska,2006,Dec,4.0
skale,Savinjska,2006,Dec,24.0
