Postaja,Regija,Leto,Mesec,NO2
trbovlje,Zasavska,1998,Mar,33.0
zavodnje,Savinjska,1998,Mar,6.0
skale,Savinjska,1998,Mar,10.0
kovk,Zasavska,1998,Mar,8.0
vnajnarje,Osrednjeslovenska,1998,Mar,1.0
eis celje,Savinjska,1998,Mar,55.0
skale,Savinjska,1998,Mar,48.0
ljubljana f.,Osrednjeslovenska,1998,Apr,31.0
maribor,Podravska,1998,Apr,50.0
celje,Savinjska,1998,Apr,26.0
trbovlje,Zasavska,1998,Apr,29.0
zavodnje,Savinjska,1998,Apr,5.0
skale,Savinjska,1998,Apr,9.0
kovk,Zasavska,1998,Apr,7.0
vnajnarje,Osrednjeslovenska,1998,Apr,0.0
eis celje,Savinjska,1998,Apr,45.0
skale,Savinjska,1998,Apr,47.0
ljubljana f.,Osrednjeslovenska,1998,Maj,
maribor,Podravska,1998,Maj,36.0
celje,Savinjska,1998,Maj,22.0
trbovlje,Zasavska,1998,Maj,30.0
zavodnje,Savinjska,1998,Maj,5.0
skale,Savinjska,1998,Maj,6.0
kovk,Zasavska,1998,Maj,3.0
vnajnarje,Osrednjeslovenska,1998,Maj,0.0
eis celje,Savinjska,1998,Maj,42.0
skale,Savinjska,1998,Maj,43.0
ljubljana f.,Osrednjeslovenska,1998,Jun,28.0
maribor,Podravska,1998,Jun,33.0
celje,Savinjska,1998,Jun,18.0
trbovlje,Zasavska,1998,Jun,22.0
zavodnje,Savinjska,1998,Jun,5.0
skale,Savinjska,1998,Jun,7.0
kovk,Zasavska,1998,Jun,8.0
vnajnarje,Osrednjeslovenska,1998,Jun,2.0
eis celje,Savinjska,1998,Jun,37.0
skale,Savinjska,1998,Jun,39.0
ljubljana f.,Osrednjeslovenska,1998,Jul,32.0
maribor,Podravska,1998,Jul,32.0
celje,Savinjska,1998,Jul,22.0
trbovlje,Zasavska,1998,Jul,23.0
zavodnje,Savinjska,1998,Jul,5.0
skale,Savinjska,1998,Jul,5.0
kovk,Zasavska,1998,Jul,5.0
vnajnarje,Osrednjeslovenska,1998,Jul,2.0
eis celje,Savinjska,1998,Jul,38.0
skale,Savinjska,1998,Jul,26.0
ljubljana f.,Osrednjeslovenska,1998,Avg,32.0
maribor,Podravska,1998,Avg,26.0
celje,Savinjska,1998,Avg,
trbovlje,Zasavska,1998,Avg,23.0
zavodnje,Savinjska,1998,Avg,5.0
skale,Savinjska,1998,Avg,4.0
kovk,Zasavska,1998,Avg,4.0
vnajnarje,Osrednjeslovenska,1998,Avg,1.0
eis celje,Savinjska,1998,Avg,
skale,Savinjska,1998,Avg,26.0
ljubljana f.,Osrednjeslovenska,1998,Sep,35.0
maribor,Podravska,1998,Sep,36.0
celje,Savinjska,1998,Sep,20.0
trbovlje,Zasavska,1998,Sep,23.0
zavodnje,Savinjska,1998,Sep,5.0
skale,Savinjska,1998,Sep,6.0
kovk,Zasavska,1998,Sep,5.0
vnajnarje,Osrednjeslovenska,1998,Sep,4.0
eis celje,Savinjska,1998,Sep,
skale,Savinjska,1998,Sep,60.0
ljubljana f.,Osrednjeslovenska,1998,Okt,44.0
maribor,Podravska,1998,Okt,36.0
celje,Savinjska,1998,Okt,23.0
trbovlje,Zasavska,1998,Okt,24.0
zavodnje,Savinjska,1998,Okt,7.0
skale,Savinjska,1998,Okt,8.0
kovk,Zasavska,1998,Okt,5.0
vnajnarje,Osrednjeslovenska,1998,Okt,5.0
eis celje,Savinjska,1998,Okt,48.0
skale,Savinjska,1998,Okt,40.0
ljubljana f.,Osrednjeslovenska,1998,Nov,47.0
maribor,Podravska,1998,Nov,36.0
celje,Savinjska,1998,Nov,32.0
trbovlje,Zasavska,1998,Nov,29.0
zavodnje,Savinjska,1998,Nov,7.0
skale,Savinjska,1998,Nov,9.0
kovk,Zasavska,1998,Nov,7.0
vnajnarje,Osrednjeslovenska,1998,Nov,5.0
eis celje,Savinjska,1998,Nov,54.0
skale,Savinjska,1998,Nov,46.0
ljubljana f.,Osrednjeslovenska,1998,Dec,60.0
maribor,Podravska,1998,Dec,45.0
celje,Savinjska,1998,Dec,58.0
trbovlje,Zasavska,1998,Dec,39.0
zavodnje,Savinjska,1998,Dec,13.0
skale,Savinjska,1998,Dec,15.0
kovk,Zasavska,1998,Dec,10.0
vnajnarje,Osrednjeslovenska,1998,Dec,10.0
eis celje,Savinjska,1998,Dec,
skale,Savinjska,1998,Dec,102.0
ljubljana f.,Osrednjeslovenska,1999,Jan,89.0
maribor,Podravska,1999,Jan,39.0
celje,Savinjska,1999,Jan,28.0
trbovlje,Zasavska,1999,Jan,29.0
zavodnje,Savinjska,1999,Jan,15.0
skale,Savinjska,1999,Jan,13.0
kovk,Zasavska,1999,Jan,16.0
