Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana B.,112.0,73.0,47.0,37.0,29.0,25.0,22.0,24.0,33.0,51.0,67.0,49.0
Maribor,106.0,84.0,59.0,63.0,45.0,46.0,41.0,41.0,50.0,66.0,72.0,67.0
Celje,72.0,69.0,48.0,32.0,20.0,19.0,18.0,21.0,32.0,35.0,51.0,42.0
Trbovlje,82.0,64.0,52.0,56.0,32.0,33.0,43.0,43.0,28.0,55.0,73.0,61.0
Nova Gorica,90.0,71.0,50.0,38.0,31.0,32.0,29.0,16.0,21.0,30.0,42.0,49.0
Murska S.-Rakičan,39.0,21.0,18.0,15.0,14.0,15.0,12.0,14.0,14.0,18.0,23.0,22.0
Zavodnje,,,,,,,,,,,,
Škale,26.0,18.0,15.0,7.0,12.0,6.0,25.0,21.0,21.0,22.0,14.0,19.0
Kovk,4.0,9.0,7.0,6.0,3.0,4.0,4.0,4.0,4.0,5.0,8.0,12.0
Vnajnarje,8.0,8.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,6.0,7.0,11.0
EIS Celje,,,,,,,,,,,,
